"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"OTTAWA (AÉROPORT)","ON","Normales","Température","Moyenne quotidienne (°C)","-10,0","-8,5","-2,4","5,9","13,6","18,7","21,2","20,1","15,3","8,2","1,7","-5,8","6,5","B"
"OTTAWA (AÉROPORT)","ON","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,2","2,7","2,5","1,7","1,8","1,2","1,3","1,1","1,5","1,4","2,1","2,4","1,3","B"
"OTTAWA (AÉROPORT)","ON","Normales","Température","Maximum quotidien (°C)","-5,5","-3,6","2,4","11,3","19,6","24,4","27,0","25,8","21,0","13,0","5,8","-1,9","11,6","B"
"OTTAWA (AÉROPORT)","ON","Normales","Température","Minimum quotidien (°C)","-14,3","-13,2","-7,1","0,5","7,5","12,9","15,4","14,3","9,6","3,4","-2,4","-9,6","1,4","B"
"OTTAWA (AÉROPORT)","ON","Normales","Température","Moyenne extrême la plus élevée (°C)","8,2","6,9","17,3","23,3","27,3","29,0","30,0","29,7","26,9","21,8","16,2","10,6","",""
"OTTAWA (AÉROPORT)","ON","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2007/01/05","1994/02/20","2012/03/22","2002/04/17","2010/05/26","1994/06/18","2011/07/21","2001/08/09","2007/09/07","2005/10/04","2020/11/10","2015/12/11",""," "
"OTTAWA (AÉROPORT)","ON","Normales","Température","Moyenne extrême la plus basse (°C)","-28,3","-25,4","-23,2","-9,5","1,2","8,5","12,9","10,3","2,9","-2,3","-14,5","-28,4","",""
"OTTAWA (AÉROPORT)","ON","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/15","1995/02/06","2003/03/03","1995/04/05","2020/05/09","1993/06/01","1992/07/21","2017/08/31","1991/09/30","2015/10/18","2018/11/22","1993/12/27",""," "
"OTTAWA (AÉROPORT)","ON","Normales","Température","Maximum extrême (°C)","12,9","12,4","27,4","31,0","35,8","35,1","36,9","36,9","35,1","27,7","23,4","17,9","",""
"OTTAWA (AÉROPORT)","ON","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","2005/01/13","2000/02/27","2012/03/21","2009/04/27","2010/05/26","1999/06/07","2020/07/10","2001/08/09","2002/09/09","2005/10/04","2020/11/10","2012/12/04",""," "
"OTTAWA (AÉROPORT)","ON","Normales","Température","Maximum extrême le plus bas (°C)","-25,9","-21,8","-17,4","-4,8","4,4","12,0","15,6","14,4","5,8","0,7","-10,2","-25,0","",""
"OTTAWA (AÉROPORT)","ON","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1992/01/16","1995/02/06","2003/03/03","1995/04/05","2010/05/09","1993/06/01","1992/07/03","1994/08/31","1992/09/30","2008/10/29","2018/11/22","1993/12/27",""," "
