"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"OTTAWA (CITÉ)","ON","Normales","Température","Moyenne quotidienne (°C)","-9,6","-8,1","-2,2","6,2","13,8","18,8","21,3","20,1","15,6","8,8","2,0","-5,1","6,8","A"
"OTTAWA (CITÉ)","ON","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,1","2,7","2,6","1,6","1,7","1,1","1,4","1,1","1,5","1,4","2,1","2,7","1,1","A"
"OTTAWA (CITÉ)","ON","Normales","Température","Maximum quotidien (°C)","-5,2","-3,3","2,5","11,2","19,4","24,2","26,7","25,6","21,1","13,3","5,8","-1,5","11,7","A"
"OTTAWA (CITÉ)","ON","Normales","Température","Minimum quotidien (°C)","-14,0","-12,9","-6,9","1,1","8,0","13,3","15,8","14,6","10,1","4,1","-1,8","-8,7","1,9","A"
"OTTAWA (CITÉ)","ON","Normales","Température","Moyenne extrême la plus élevée (°C)","7,8","7,3","17,1","23,8","27,6","28,8","29,5","31,1","27,6","21,5","14,6","11,4","",""
"OTTAWA (CITÉ)","ON","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2007/01/05","2017/02/23","2012/03/21","2002/04/17","2010/05/26","1999/06/07","2011/07/21","2001/08/09","2001/09/09","2005/10/04","2015/11/06","2001/12/06",""," "
"OTTAWA (CITÉ)","ON","Normales","Température","Moyenne extrême la plus basse (°C)","-29,2","-24,8","-22,8","-9,0","1,5","8,8","13,0","11,5","4,0","-1,7","-14,2","-27,8","",""
"OTTAWA (CITÉ)","ON","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/15","1995/02/06","2003/03/03","1995/04/05","2020/05/09","2009/06/01","1992/07/21","2017/08/31","1991/09/30","1997/10/23","2013/11/30","1993/12/27",""," "
"OTTAWA (CITÉ)","ON","Normales","Température","Maximum extrême (°C)","11,8","12,7","26,5","30,7","35,2","34,7","36,4","37,3","35,3","28,0","22,5","17,0","",""
"OTTAWA (CITÉ)","ON","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","2005/01/13","2017/02/23","2012/03/21","2009/04/27","2010/05/26","1999/06/07","2020/07/10","2001/08/09","2002/09/09","2005/10/04","2020/11/10","2015/12/24",""," "
