"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"BAIE-COMEAU","QC","Normales","Température","Moyenne quotidienne (°C)","-13,4","-12,4","-6,7","0,6","7,2","12,8","16,0","15,3","10,6","4,8","-1,2","-8,6","2,1","A"
"BAIE-COMEAU","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,8","2,9","2,6","1,6","1,1","1,0","0,9","0,9","1,1","1,3","1,7","2,4","2,2","A"
"BAIE-COMEAU","QC","Normales","Température","Maximum quotidien (°C)","-8,0","-6,7","-1,6","4,6","12,3","18,3","21,3","20,7","15,8","9,0","2,5","-4,0","7,0","A"
"BAIE-COMEAU","QC","Normales","Température","Minimum quotidien (°C)","-18,8","-18,1","-11,7","-3,4","2,0","7,3","10,7","9,9","5,4","0,6","-4,9","-13,0","-2,8","A"
"BAIE-COMEAU","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","3,4","4,4","5,0","10,7","20,2","22,0","23,4","23,0","20,8","15,1","12,0","7,0","",""
"BAIE-COMEAU","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1998/02/27","1998/03/29","1998/04/29","1999/05/30","2018/06/29","2005/07/19","1991/08/07","2010/09/02","2007/10/05","1996/11/09","2020/12/01",""," "
"BAIE-COMEAU","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-32,8","-28,7","-26,0","-14,0","-0,8","4,5","9,7","7,9","1,7","-4,9","-13,7","-30,2","",""
"BAIE-COMEAU","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1994/02/08","1992/03/01","2016/04/05","2002/05/09","2018/06/03","1992/07/03","2006/08/27","2000/09/28","2018/10/27","2007/11/24","1993/12/28",""," "
"BAIE-COMEAU","QC","Normales","Température","Maximum extrême (°C)","11,4","6,6","11,4","18,5","30,0","31,8","32,0","30,5","28,6","22,6","18,1","10,7","",""
"BAIE-COMEAU","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","1998/02/27","2010/03/16","1998/04/29","1999/05/30","2001/06/27","2013/07/15","1995/08/16","2010/09/02","2007/10/05","1996/11/09","2020/12/01",""," "
"BAIE-COMEAU","QC","Normales","Température","Maximum extrême le plus bas (°C)","-27,3","-24,5","-20,0","-8,6","2,2","7,1","12,3","10,9","6,3","-0,1","-9,2","-27,6","",""
"BAIE-COMEAU","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2014/01/02","1994/02/08","1992/03/01","2016/04/04","1992/05/03","1993/06/01","1992/07/05","2020/08/30","1997/09/25","2009/10/27","2018/11/22","1993/12/28",""," "
"BAIE-COMEAU","QC","Normales","Température","Minimum extrême le plus élevé (°C)","1,8","2,5","1,3","5,3","14,5","15,2","18,6","17,2","14,9","11,7","9,0","3,2","",""
"BAIE-COMEAU","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2010/01/03","2010/02/18","2013/03/26","2008/04/29","2020/05/29","2016/06/27","2005/07/19","2014/08/13","2014/09/02","2010/10/01","1999/11/03","2020/12/01",""," "
"BAIE-COMEAU","QC","Normales","Température","Minimum extrême (°C)","-40,1","-36,7","-32,2","-21,0","-7,5","-3,0","3,0","-0,7","-4,3","-10,4","-20,1","-33,3","",""
