"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Moyenne quotidienne (°C)","-11,2","-9,8","-4,0","3,7","10,9","16,5","19,6","18,7","14,2","7,5","0,5","-6,5","5,0","A"
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,4","2,9","2,3","1,8","1,7","1,1","1,2","1,2","1,3","1,6","2,1","2,7","2,2","A"
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Maximum quotidien (°C)","-6,3","-4,3","1,9","9,3","17,8","22,9","25,5","24,1","19,4","11,6","4,0","-2,6","10,3","A"
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Minimum quotidien (°C)","-16,0","-15,2","-9,8","-2,1","3,9","10,1","13,6","13,2","9,0","3,4","-3,0","-10,2","-0,3","A"
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","6,1","6,8","15,4","15,8","23,6","26,5","27,1","27,1","25,9","21,7","16,0","9,7","",""
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2018/01/11","1994/02/20","2012/03/21","1991/04/30","2010/05/26","1994/06/16","2013/07/17","2001/08/09","2010/09/01","2005/10/04","2020/11/10","2001/12/05",""," "
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-31,5","-29,1","-22,9","-11,0","-1,0","3,9","10,8","10,1","3,5","-2,9","-14,4","-30,5","",""
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/15","2016/02/13","2003/03/03","1995/04/04","2020/05/08","2007/06/05","1992/07/21","2014/08/14","1991/09/29","2020/10/30","2013/11/24","1993/12/26",""," "
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Maximum extrême (°C)","10,5","14,0","27,3","27,7","33,3","34,0","35,6","34,3","33,4","28,1","22,6","14,2","",""
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/14","1994/02/19","2012/03/21","2010/04/02","2010/05/26","1994/06/16","2005/07/12","2005/08/03","2002/09/08","2005/10/04","2020/11/09","2001/12/06",""," "
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-29,0","-25,4","-15,8","-10,0","1,6","6,0","15,0","11,2","5,0","-0,3","-11,8","-29,0","",""
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/15","2016/02/13","2003/03/03","1995/04/04","2020/05/08","1992/06/21","2001/07/05","2014/08/14","1992/09/29","1997/10/22","2013/11/24","1993/12/26",""," "
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","3,7","4,5","4,1","9,5","14,1","20,5","22,5","22,0","20,6","17,5","11,8","5,3","",""
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","1994/02/20","2012/03/22","1991/04/30","1999/05/18","1991/06/28","1993/07/06","1991/08/28","2010/09/01","2002/10/01","2020/11/10","2001/12/05",""," "
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Minimum extrême (°C)","-35,0","-33,5","-30,0","-19,4","-4,8","1,2","4,5","5,0","-1,0","-8,2","-17,5","-33,0","",""
"BARRAGE TEMISCAMINGUE","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/19","1994/02/08","2003/03/03","2003/04/07","2020/05/12","2002/06/03","1992/07/21","1992/08/13","1991/09/30","2020/10/31","1993/11/25","1993/12/27",""," "
"BARRAGE TEMISCAMINGUE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","7,8","6,8","15,4","20,3","26,7","30,6","31,7","31,1","26,1","21,7","16,0","11,0","",""
"BARRAGE TEMISCAMINGUE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1913/01/17","1994/02/20","2012/03/21","1915/04/26","1914/05/27","1927/06/29","1914/07/16","1914/08/06","1945/09/10","1968/10/16","2020/11/10","1982/12/03",""," "
