"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"CAP-MADELEINE","QC","Normales","Température","Moyenne quotidienne (°C)","-9,6","-9,4","-4,5","1,8","7,7","13,0","16,6","16,2","12,3","6,4","1,1","-4,8","3,9","A"
"CAP-MADELEINE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,5","2,8","1,9","1,0","1,2","1,0","1,1","0,9","1,0","1,3","1,5","2,1","2,6","A"
"CAP-MADELEINE","QC","Normales","Température","Maximum quotidien (°C)","-5,9","-5,6","-0,9","5,2","11,6","17,1","20,3","19,7","15,9","9,5","4,0","-1,7","7,4","A"
"CAP-MADELEINE","QC","Normales","Température","Minimum quotidien (°C)","-13,4","-13,1","-8,1","-1,6","3,8","9,0","12,9","12,7","8,5","3,4","-1,8","-7,8","0,4","A"
"CAP-MADELEINE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","10,6","7,7","11,9","16,1","22,5","24,4","26,0","24,9","23,3","19,7","15,6","10,4","",""
"CAP-MADELEINE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/22","2009/04/25","2020/05/29","2006/06/19","2018/07/25","2012/08/05","2001/09/10","2004/10/09","2006/11/17","2020/12/01",""," "
"CAP-MADELEINE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-26,3","-24,5","-19,1","-9,8","-0,8","5,4","8,0","9,3","2,6","-1,9","-9,0","-23,5","",""
"CAP-MADELEINE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1993/02/06","2014/03/04","1994/04/02","1992/05/03","1994/06/01","2015/07/20","2002/08/31","2000/09/28","2018/10/27","1995/11/30","1993/12/28",""," "
"CAP-MADELEINE","QC","Normales","Température","Maximum extrême (°C)","15,4","13,4","21,4","26,0","29,5","32,7","31,4","32,0","32,1","25,3","24,6","16,7","",""
"CAP-MADELEINE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","2013/01/31","2000/02/28","2012/03/22","2009/04/25","1992/05/13","2006/06/19","2004/07/22","2012/08/05","2001/09/10","2005/10/04","2020/11/10","2020/12/25",""," "
