"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"CAP-TOURMENTE","QC","Normales","Température","Moyenne quotidienne (°C)","-10,1","-8,8","-3,4","4,0","11,3","16,5","19,5","18,8","14,4","7,7","1,2","-6,1","5,4","A"
"CAP-TOURMENTE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,6","2,5","2,3","1,5","1,5","1,0","0,9","0,9","1,1","1,4","1,8","2,4","2,1","A"
"CAP-TOURMENTE","QC","Normales","Température","Maximum quotidien (°C)","-5,4","-3,7","1,3","8,8","16,9","22,1","25,0","24,2","19,5","12,2","4,9","-2,0","10,3","A"
"CAP-TOURMENTE","QC","Normales","Température","Minimum quotidien (°C)","-14,8","-13,9","-8,1","-0,9","5,7","10,9","14,0","13,3","9,2","3,1","-2,6","-10,2","0,5","A"
"CAP-TOURMENTE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","5,4","8,2","11,0","18,8","25,7","26,1","27,2","26,1","27,1","20,0","14,2","11,6","",""
"CAP-TOURMENTE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","2000/02/27","2012/03/21","2012/04/16","2020/05/29","2003/06/26","2002/07/02","2009/08/18","2010/09/01","2005/10/04","2020/11/11","2020/12/01",""," "
"CAP-TOURMENTE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-27,4","-25,9","-20,7","-13,7","2,6","7,5","12,6","11,4","5,5","-1,9","-13,0","-28,0","",""
"CAP-TOURMENTE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","2003/02/14","2007/03/07","1995/04/05","2019/05/01","2020/06/01","2010/07/01","1994/08/30","1997/09/24","2020/10/31","2018/11/22","1993/12/27",""," "
"CAP-TOURMENTE","QC","Normales","Température","Maximum extrême (°C)","12,7","12,9","20,2","27,6","32,6","34,0","35,1","33,5","32,7","25,4","20,5","17,2","",""
"CAP-TOURMENTE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2012/04/16","2020/05/28","2003/06/26","2006/07/14","2012/08/05","2010/09/01","2005/10/03","2020/11/10","2020/12/01",""," "
"CAP-TOURMENTE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-23,1","-22,4","-17,4","-9,9","5,8","10,0","15,6","14,7","8,2","1,8","-7,9","-26,3","",""
"CAP-TOURMENTE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/26","1995/02/06","2017/03/11","1995/04/05","2011/05/05","1994/06/02","1998/07/01","2009/08/29","1997/09/26","2008/10/22","2018/11/22","1993/12/27",""," "
"CAP-TOURMENTE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","2,6","3,4","2,7","9,9","20,0","19,4","21,1","21,3","21,4","15,1","10,8","6,0","",""
"CAP-TOURMENTE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","2000/02/27","2009/03/29","2012/04/16","2020/05/29","1996/06/11","2002/07/02","2009/08/18","2010/09/01","2005/10/04","1997/11/02","2020/12/01",""," "
