"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"CHARTERIS","QC","Normales","Température","Moyenne quotidienne (°C)","-11,6","-10,2","-3,7","5,1","12,5","17,4","19,6","18,6","14,3","7,5","0,7","-7,0","5,3","C"
"CHARTERIS","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,4","3,0","2,9","1,5","1,7","1,2","1,2","1,1","1,6","1,6","2,1","3,1","3,1","C"
"CHARTERIS","QC","Normales","Température","Maximum quotidien (°C)","-6,2","-4,2","2,2","10,8","19,3","23,9","26,4","25,1","20,4","12,4","4,8","-2,6","11,0","A"
"CHARTERIS","QC","Normales","Température","Minimum quotidien (°C)","-16,9","-16,1","-9,5","-1,2","5,5","10,6","13,1","12,2","7,9","2,3","-3,8","-11,3","-0,6","A"
"CHARTERIS","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","7,0","8,1","15,5","22,3","25,3","27,5","28,5","28,5","25,5","22,2","14,8","10,5","",""
"CHARTERIS","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2008/01/08","2017/02/23","2012/03/21","2002/04/17","2010/05/26","1999/06/07","2001/07/24","2006/08/01","2010/09/01","2005/10/04","2015/11/06","2015/12/24",""," "
"CHARTERIS","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-31,0","-28,8","-24,3","-10,3","1,2","7,4","11,3","10,0","1,3","-3,3","-16,3","-29,8","",""
"CHARTERIS","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/15","2016/02/13","2003/03/03","1995/04/05","2017/05/08","2009/06/01","2007/07/01","2009/08/27","1991/09/30","2013/10/29","1995/11/24","1993/12/27",""," "
"CHARTERIS","QC","Normales","Température","Maximum extrême (°C)","12,0","13,7","27,5","32,0","34,5","34,0","36,0","36,5","35,5","28,3","22,1","15,5","",""
"CHARTERIS","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","2018/01/12","2017/02/23","2012/03/21","2002/04/16","2010/05/26","1994/06/18","2020/07/09","2001/08/09","2002/09/09","2005/10/04","2020/11/09","2015/12/24",""," "
"CHARTERIS","QC","Normales","Température","Maximum extrême le plus bas (°C)","-29,0","-26,0","-16,5","-5,5","3,6","11,5","16,0","13,5","6,5","0,0","-10,2","-26,0","",""
"CHARTERIS","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/15","2016/02/13","2003/03/03","2016/04/03","2017/05/08","1992/06/21","1992/07/03","1994/08/31","1991/09/29","2020/10/27","2018/11/22","1993/12/26",""," "
"CHARTERIS","QC","Normales","Température","Minimum extrême le plus élevé (°C)","5,0","4,0","5,5","14,0","18,8","21,5","24,0","23,0","21,0","17,0","12,5","6,5","",""
"CHARTERIS","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","1994/02/20","2010/03/13","1992/04/22","2018/05/31","1999/06/07","2001/07/24","2012/08/05","2002/09/21","2014/10/15","2001/11/02","2001/12/06",""," "
"CHARTERIS","QC","Normales","Température","Minimum extrême (°C)","-39,5","-36,5","-35,0","-19,5","-8,7","-2,0","2,0","2,0","-5,5","-12,5","-28,0","-36,0","",""
"CHARTERIS","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1991/01/25","1992/02/12","2007/03/07","1995/04/07","2020/05/12","2020/06/01","1992/07/02","2009/08/27","1991/09/30","2020/10/31","2018/11/23","1993/12/27",""," "
"CHARTERIS","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","7,0","8,1","15,5","22,3","25,3","28,0","28,5","28,5","25,5","22,2","14,8","10,5","",""
"CHARTERIS","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2008/01/08","2017/02/23","2012/03/21","2002/04/17","2010/05/26","1988/06/20","2001/07/24","2006/08/01","2010/09/01","2005/10/04","2015/11/06","2015/12/24",""," "
"CHARTERIS","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-31,0","-28,8","-24,3","-11,0","1,0","3,5","11,0","6,8","1,3","-3,3","-16,3","-29,8","",""
"CHARTERIS","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/15","2016/02/13","2003/03/03","1982/04/06","1986/05/03","1980/06/10","1982/07/03","1982/08/28","1991/09/30","2013/10/29","1995/11/24","1993/12/27",""," "
"CHARTERIS","QC","Long terme","Température","Maximum extrême (°C)","12,0","13,7","27,5","32,0","34,5","35,5","36,0","36,5","35,5","28,3","22,1","15,5","",""
"CHARTERIS","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","2018/01/12","2017/02/23","2012/03/21","2002/04/16","2010/05/26","1988/06/14","1988/07/08","2001/08/09","2002/09/09","2005/10/04","2020/11/09","2015/12/24",""," "
"CHARTERIS","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-29,0","-26,0","-16,5","-7,0","3,6","9,0","16,0","13,5","6,5","0,0","-10,2","-26,0","",""
"CHARTERIS","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/15","2016/02/13","2003/03/03","1982/04/06","2017/05/08","1980/06/10","1986/07/13","1986/08/28","1991/09/29","2020/10/27","2018/11/22","1993/12/26",""," "
"CHARTERIS","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","5,0","4,5","6,5","14,0","18,8","22,0","24,0","23,5","21,0","17,0","12,5","6,5","",""
"CHARTERIS","QC","Long terme","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","1981/02/23","1981/03/30","1990/04/30","2018/05/31","1988/06/20","2001/07/24","1989/08/04","2002/09/21","2014/10/15","2001/11/02","2001/12/06",""," "
"CHARTERIS","QC","Long terme","Température","Minimum extrême (°C)","-42,0","-36,5","-35,0","-19,5","-8,7","-2,0","2,0","-1,0","-5,5","-12,5","-28,0","-38,0","",""
"CHARTERIS","QC","Long terme","Température","Minimum extrême (°C) (aaaa/mm/jj)","1981/01/03","1992/02/12","2007/03/07","1995/04/07","2020/05/12","1980/06/10","1982/07/03","1982/08/22","1991/09/30","2020/10/31","2018/11/23","1980/12/25",""," "
"CHARTERIS","QC","Normales","Précipitation","Chute de pluie (mm)","8,3","4,7","","60,8","84,3","95,3","103,8","97,3","85,1","92,9","64,0","","",""
"CHARTERIS","QC","Normales","Précipitation","Chute de neige (cm)","41,5","35,1","30,9","8,3","0,2","0,0","0,0","0,0","0,0","2,2","19,4","44,9","182,4","D"
"CHARTERIS","QC","Normales","Précipitation","Précipitation (mm)","","","","71,6","85,9","95,3","103,8","97,3","85,1","94,9","84,6","","",""
"CHARTERIS","QC","Normales","Précipitation","Couverture de neige moyenne (cm)","26","36","31","4","0","0","0","0","0","0","2","14","9","A"
"CHARTERIS","QC","Normales","Précipitation","Couverture de neige médiane (cm)","26","35","30","2","0","0","0","0","0","0","1","14","9","A"
"CHARTERIS","QC","Normales","Précipitation","Couverture de neige, fin de mois (cm)","31","36","17","0","0","0","0","0","0","0","6","20","9","A"
"CHARTERIS","QC","Normales","Précipitation","Extrême quotidien de pluie (mm)","17,8","22,2","25,0","38,0","45,2","62,6","55,8","65,2","52,8","65,8","43,6","30,8","",""
"CHARTERIS","QC","Normales","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","2010/01/24","2009/02/11","2004/03/05","2011/04/10","2009/05/28","2002/06/11","1992/07/17","1992/08/28","2008/09/14","2017/10/29","2011/11/29","2020/12/24",""," "
"CHARTERIS","QC","Normales","Précipitation","Extrême quotidien de neige (cm)","15,0","20,4","32,0","17,8","2,2","0,0","0,0","0,0","0,0","12,0","21,0","30,0","",""
"CHARTERIS","QC","Normales","Précipitation","Extrême quotidien de neige (cm) (aaaa/mm/jj)","2004/01/17","2010/02/25","2008/03/08","2009/04/06","2020/05/07","1991/06/01","1991/07/01","1991/08/01","1991/09/28","1992/10/18","1995/11/27","2000/12/11",""," "
"CHARTERIS","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm)","20,4","25,0","32,0","38,0","45,2","62,6","55,8","65,2","52,8","65,8","43,6","30,8","",""
"CHARTERIS","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","1999/01/22","2010/02/25","2008/03/08","2011/04/10","2009/05/28","2002/06/11","1992/07/17","1992/08/28","2008/09/14","2017/10/29","2011/11/29","2020/12/24",""," "
"CHARTERIS","QC","Normales","Précipitation","Extrême quotidien couverture de neige (cm)","71","76","104","70","4","0","0","0","0","12","31","74","",""
"CHARTERIS","QC","Normales","Précipitation","Extrême quotidien couverture de neige (cm) (aaaa/mm/jj)","2009/01/29","2019/02/14","2008/03/09","2008/04/01","2020/05/08","1991/06/01","1991/07/01","1991/08/01","1991/09/01","1992/10/19","1995/11/28","2007/12/20",""," "
"CHARTERIS","QC","Long terme","Précipitation","Extrême quotidien de pluie (mm)","17,8","22,2","25,0","38,0","45,2","62,6","55,8","65,2","83,6","65,8","43,6","30,8","",""
"CHARTERIS","QC","Long terme","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","2010/01/24","2009/02/11","2004/03/05","2011/04/10","2009/05/28","2002/06/11","1992/07/17","1992/08/28","1989/09/22","2017/10/29","2011/11/29","2020/12/24",""," "
"CHARTERIS","QC","Long terme","Précipitation","Extrême quotidien de neige (cm)","15,0","20,4","32,0","17,8","2,2","0,0","0,0","0,0","0,0","14,0","21,0","30,0","",""
"CHARTERIS","QC","Long terme","Précipitation","Extrême quotidien de neige (cm) (aaaa/mm/jj)","2004/01/17","2010/02/25","2008/03/08","2009/04/06","2020/05/07","1980/06/08","1981/07/01","1980/08/01","1980/09/01","1981/10/22","1995/11/27","2000/12/11",""," "
"CHARTERIS","QC","Long terme","Précipitation","Extrême quotidien de précipitation (mm)","20,4","25,0","32,0","38,0","45,2","62,6","55,8","65,2","83,6","65,8","43,6","30,8","",""
"CHARTERIS","QC","Long terme","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","1999/01/22","2010/02/25","2008/03/08","2011/04/10","2009/05/28","2002/06/11","1992/07/17","1992/08/28","1989/09/22","2017/10/29","2011/11/29","2020/12/24",""," "
"CHARTERIS","QC","Long terme","Précipitation","Extrême quotidien couverture de neige (cm)","71","76","104","70","4","0","0","0","0","12","31","74","",""
"CHARTERIS","QC","Long terme","Précipitation","Extrême quotidien couverture de neige (cm) (aaaa/mm/jj)","2009/01/29","2019/02/14","2008/03/09","2008/04/01","2020/05/08","1981/06/01","1981/07/01","1980/08/01","1980/09/01","1992/10/19","1995/11/28","2007/12/20",""," "
"CHARTERIS","QC","Normales","Jours avec ...","Pluie verglaçante ou bruine verglaçante","1,9","1,1","0,89","0,23","0,0","0,0","0,0","0,0","0,0","0,0","1,0","1,8","7,0","A"
"CHARTERIS","QC","Normales","Jours avec ...","Orages","0,0","0,04","0,29","0,77","1,6","2,7","3,6","3,8","1,5","0,64","0,14","0,03","15,1","A"
"CHARTERIS","QC","Normales","Jours avec ...","Grêle","0,0","0,0","0,0","0,07","0,38","0,13","0,10","0,04","0,0","0,11","0,0","0,0","0,83","A"
"CHARTERIS","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -30 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","A"
"CHARTERIS","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -20 °C","1,2","0,18","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,32","1,7","A"
"CHARTERIS","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -10 °C","9,6","5,3","1,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,04","4,4","20,4","A"
"CHARTERIS","QC","Normales","Jours avec température maximale","Jours avec température maximale <= 0 °C","24,7","20,9","11,1","1,0","0,0","0,0","0,0","0,0","0,0","0,04","6,7","19,4","83,8","A"
"CHARTERIS","QC","Normales","Jours avec température maximale","Jours avec température maximale > 0 °C","6,3","7,4","19,9","29,0","31,0","30,0","31,0","31,0","30,0","31,0","23,3","11,6","281,5","A"
"CHARTERIS","QC","Normales","Jours avec température maximale","Jours avec température maximale > 10 °C","0,10","0,18","3,2","15,4","29,3","30,0","31,0","31,0","29,4","19,5","5,0","0,32","194,4","A"
"CHARTERIS","QC","Normales","Jours avec température maximale","Jours avec température maximale > 20 °C","0,0","0,0","0,22","2,6","13,1","23,8","29,4","27,8","15,1","2,6","0,19","0,0","114,8","A"
"CHARTERIS","QC","Normales","Jours avec température maximale","Jours avec température maximale > 30 °C","0,0","0,0","0,0","0,10","0,89","3,0","4,9","2,1","0,64","0,0","0,0","0,0","11,6","A"
