"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"FLEURY","QC","Normales","Température","Moyenne quotidienne (°C)","-10,5","-8,6","-2,7","5,8","13,2","18,4","20,2","19,3","15,1","8,4","1,9","-5,9","6,2","C"
"FLEURY","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,1","2,7","2,5","1,4","1,7","1,1","1,1","0,9","1,4","1,7","1,7","2,7","3,1","C"
"FLEURY","QC","Normales","Température","Maximum quotidien (°C)","-5,8","-3,8","1,8","10,5","19,1","23,9","26,0","25,0","20,7","13,0","5,5","-2,0","11,2","A"
"FLEURY","QC","Normales","Température","Minimum quotidien (°C)","-14,8","-13,6","-7,3","0,6","7,4","12,7","14,9","13,7","9,4","3,6","-2,0","-9,3","1,3","A"
"FLEURY","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","9,0","7,0","16,0","21,3","27,3","28,5","29,5","27,3","26,5","21,3","16,3","12,3","",""
"FLEURY","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","2012/03/22","2012/04/16","2010/05/26","2012/06/21","2002/07/03","2001/08/07","2002/09/09","2002/10/02","2002/11/11","2001/12/06",""," "
"FLEURY","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-28,5","-27,3","-23,0","-10,8","3,3","9,0","13,0","9,5","2,8","-2,3","-14,8","-27,8","",""
"FLEURY","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1993/02/07","2003/03/03","1995/04/05","1996/05/12","2003/06/01","1997/07/19","1994/08/31","1992/09/30","1992/10/31","1995/11/30","1993/12/27",""," "
"FLEURY","QC","Normales","Température","Maximum extrême (°C)","14,0","10,0","25,5","30,5","35,1","34,5","34,6","33,0","33,5","26,5","21,6","16,5","",""
"FLEURY","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","2012/03/21","2009/04/27","2020/05/27","2001/06/15","2020/07/10","2001/08/08","2002/09/09","2005/10/04","2020/11/10","2015/12/24",""," "
"FLEURY","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,0","-22,0","-19,0","-6,5","4,0","10,0","15,2","13,5","5,5","1,5","-10,5","-25,0","",""
"FLEURY","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/26","1995/02/06","2003/03/03","1995/04/05","1996/05/12","2003/06/01","2017/07/24","1994/08/31","1992/09/30","1992/10/29","1995/11/29","1993/12/27",""," "
