"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"GASPE","QC","Normales","Température","Moyenne quotidienne (°C)","-11,1","-10,8","-5,4","1,4","7,6","13,2","17,1","16,6","11,9","6,0","0,2","-6,3","3,4","C"
"GASPE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,3","2,5","2,2","1,2","1,4","1,2","1,2","1,0","1,2","1,3","1,6","2,2","1,8","C"
"GASPE","QC","Normales","Température","Maximum quotidien (°C)","-5,6","-4,8","0,4","6,4","13,9","19,7","23,5","23,0","18,4","11,1","4,4","-1,9","9,0","C"
"GASPE","QC","Normales","Température","Minimum quotidien (°C)","-16,7","-16,7","-11,1","-3,5","1,3","6,6","10,7","10,0","5,5","0,8","-4,0","-10,7","-2,3","C"
"GASPE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","4,4","7,6","10,9","15,1","23,9","27,9","27,7","27,2","24,6","20,4","14,5","7,6","",""
"GASPE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1992/01/24","2000/02/28","2012/03/22","2012/04/17","2020/05/29","2006/06/19","2018/07/25","1998/08/10","2001/09/10","2005/10/04","2006/11/17","2020/12/25",""," "
"GASPE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-28,1","-25,5","-21,4","-13,7","-1,1","3,9","7,1","8,7","1,5","-2,6","-12,8","-25,9","",""
"GASPE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1994/02/08","1992/03/01","1994/04/02","1992/05/03","1997/06/04","2009/07/06","2002/08/30","2000/09/28","2018/10/27","1995/11/30","1993/12/29",""," "
"GASPE","QC","Normales","Température","Maximum extrême (°C)","12,2","13,7","21,1","24,8","31,8","36,0","34,5","34,6","33,2","28,1","22,6","12,6","",""
"GASPE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","2005/01/14","2000/02/27","2012/03/22","2009/04/25","2010/05/23","2003/06/27","2013/07/15","2002/08/15","2001/09/09","2011/10/09","2020/11/10","2020/12/25",""," "
"GASPE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-23,6","-22,6","-18,8","-7,3","0,6","6,5","10,9","11,9","7,5","0,7","-7,7","-21,6","",""
"GASPE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2014/01/02","1994/02/08","1992/03/01","1994/04/02","1992/05/03","2004/06/03","1992/07/06","2020/08/30","1997/09/26","1993/10/25","2018/11/22","1993/12/28",""," "
"GASPE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","1,6","3,6","2,9","6,3","15,9","22,6","22,8","21,0","20,7","14,0","10,5","4,0","",""
"GASPE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2010/01/03","2000/02/28","2004/03/26","1993/04/10","2020/05/29","2006/06/19","2018/07/25","1998/08/10","2020/09/29","2017/10/08","1999/11/03","2010/12/14",""," "
"GASPE","QC","Normales","Température","Minimum extrême (°C)","-35,2","-32,0","-30,1","-20,1","-6,7","-3,6","0,7","0,0","-5,0","-9,1","-19,6","-32,2","",""
"GASPE","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/20","1997/02/17","2008/03/01","1994/04/02","2007/05/16","2000/06/05","2009/07/07","2002/08/31","2000/09/28","1998/10/27","1995/11/30","1993/12/29",""," "
"GASPE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","5,7","7,6","10,9","16,3","23,9","27,9","27,7","27,2","24,6","20,4","14,5","7,6","",""
"GASPE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1986/01/27","2000/02/28","2012/03/22","1987/04/21","2020/05/29","2006/06/19","2018/07/25","1998/08/10","2001/09/10","2005/10/04","1977/11/03","2020/12/25",""," "
"GASPE","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-28,7","-25,5","-21,4","-13,7","-3,1","3,9","7,1","7,8","1,5","-4,3","-14,5","-25,9","",""
"GASPE","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1981/01/04","1994/02/08","1992/03/01","1994/04/02","1972/05/02","1997/06/04","2009/07/06","1986/08/30","2000/09/28","1986/10/26","1989/11/26","1993/12/29",""," "
"GASPE","QC","Long terme","Température","Maximum extrême (°C)","12,2","13,7","21,1","27,5","31,8","36,0","34,8","34,6","33,2","28,1","22,6","13,3","",""
"GASPE","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","2005/01/14","2000/02/27","2012/03/22","1987/04/21","2010/05/23","2003/06/27","1983/07/05","2002/08/15","2001/09/09","2011/10/09","2020/11/10","1973/12/17",""," "
"GASPE","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-24,2","-22,6","-18,8","-7,3","0,6","6,5","9,9","11,7","5,9","-0,3","-10,3","-21,6","",""
"GASPE","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1981/01/04","1994/02/08","1992/03/01","1994/04/02","1992/05/03","2004/06/03","1988/07/01","1968/08/29","1977/09/30","1978/10/24","1978/11/27","1993/12/28",""," "
"GASPE","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","1,6","3,6","3,3","6,9","16,1","22,6","22,8","21,7","20,7","14,0","10,5","4,0","",""
"GASPE","QC","Long terme","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2010/01/03","2000/02/28","1979/03/25","1979/04/28","1970/05/02","2006/06/19","2018/07/25","1970/08/01","2020/09/29","2017/10/08","1999/11/03","2010/12/14",""," "
"GASPE","QC","Long terme","Température","Minimum extrême (°C)","-35,5","-32,0","-30,1","-20,1","-11,7","-3,9","0,7","-1,9","-5,0","-11,8","-21,1","-32,2","",""
"GASPE","QC","Long terme","Température","Minimum extrême (°C) (aaaa/mm/jj)","1984/01/22","1997/02/17","2008/03/01","1994/04/02","1972/05/03","1990/06/01","2009/07/07","1986/08/30","1978/09/30","1986/10/27","1989/11/26","1993/12/29",""," "
"GASPE","QC","Normales","Précipitation","Chute de pluie (mm)","17,3","6,6","29,0","48,2","86,4","78,7","100,3","91,2","90,2","124,5","75,6","50,0","797,8","C"
"GASPE","QC","Normales","Précipitation","Chute de neige (cm)","79,6","74,3","79,2","38,5","5,4","0,0","0,0","0,0","0,0","4,4","31,5","72,4","385,3","C"
"GASPE","QC","Normales","Précipitation","Précipitation (mm)","87,6","72,9","103,9","87,5","92,2","78,7","100,3","91,2","91,3","130,1","105,0","120,2","1161,0","C"
"GASPE","QC","Normales","Précipitation","Couverture de neige moyenne (cm)","33","52","56","24","0","0","0","0","0","0","3","15","15","C"
"GASPE","QC","Normales","Précipitation","Couverture de neige médiane (cm)","33","50","56","25","0","0","0","0","0","0","1","15","15","C"
"GASPE","QC","Normales","Précipitation","Couverture de neige, fin de mois (cm)","41","55","48","1","0","0","0","0","0","1","7","20","14","C"
"GASPE","QC","Normales","Précipitation","Extrême quotidien de pluie (mm)","42,6","24,4","44,2","104,2","74,4","83,4","66,6","69,6","84,4","110,2","81,4","111,0","",""
"GASPE","QC","Normales","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","2016/01/11","2002/02/27","2000/03/28","2005/04/25","1997/05/16","2016/06/13","2014/07/05","2007/08/08","2010/09/09","2006/10/21","1995/11/15","2010/12/15",""," "
"GASPE","QC","Normales","Précipitation","Extrême quotidien de neige (cm)","74,0","61,6","52,4","38,6","19,6","0,0","0,0","0,0","0,0","28,0","60,2","44,0","",""
"GASPE","QC","Normales","Précipitation","Extrême quotidien de neige (cm) (aaaa/mm/jj)","2007/01/19","1995/02/05","2008/03/02","2000/04/12","1996/05/12","1991/06/01","1991/07/01","1991/08/01","1991/09/01","2000/10/29","2002/11/18","1994/12/29",""," "
"GASPE","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm)","74,0","62,0","58,8","104,2","74,4","83,4","66,6","69,6","84,4","110,2","81,4","111,0","",""
"GASPE","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","2007/01/19","1995/02/05","2007/03/17","2005/04/25","1997/05/16","2016/06/13","2014/07/05","2007/08/08","2010/09/09","2006/10/21","1995/11/15","2010/12/15",""," "
"GASPE","QC","Normales","Précipitation","Extrême quotidien couverture de neige (cm)","133","190","244","135","14","0","0","0","0","25","54","78","",""
"GASPE","QC","Normales","Précipitation","Extrême quotidien couverture de neige (cm) (aaaa/mm/jj)","1995/01/25","1995/02/16","1995/03/11","1995/04/02","2020/05/05","1991/06/01","1991/07/01","1991/08/01","1991/09/01","2000/10/29","2002/11/19","2013/12/24",""," "
"GASPE","QC","Long terme","Précipitation","Extrême quotidien de pluie (mm)","51,9","39,6","58,6","144,2","74,4","83,4","137,8","71,2","84,4","110,2","81,4","111,0","",""
"GASPE","QC","Long terme","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","1979/01/27","1973/02/03","1980/03/18","1980/04/24","1997/05/16","2016/06/13","1980/07/06","1980/08/15","2010/09/09","2006/10/21","1995/11/15","2010/12/15",""," "
"GASPE","QC","Long terme","Précipitation","Extrême quotidien de neige (cm)","74,0","61,6","52,4","44,4","19,6","0,0","0,0","0,0","0,0","28,0","60,2","44,0","",""
"GASPE","QC","Long terme","Précipitation","Extrême quotidien de neige (cm) (aaaa/mm/jj)","2007/01/19","1995/02/05","2008/03/02","1986/04/09","1996/05/12","1968/06/01","1968/07/01","1968/08/01","1968/09/01","2000/10/29","2002/11/18","1994/12/29",""," "
"GASPE","QC","Long terme","Précipitation","Extrême quotidien de précipitation (mm)","74,0","62,0","88,6","144,2","74,4","83,4","137,8","71,2","84,4","110,2","81,4","111,0","",""
"GASPE","QC","Long terme","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","2007/01/19","1995/02/05","1985/03/13","1980/04/24","1997/05/16","2016/06/13","1980/07/06","1980/08/15","2010/09/09","2006/10/21","1995/11/15","2010/12/15",""," "
"GASPE","QC","Long terme","Précipitation","Extrême quotidien couverture de neige (cm)","158","190","244","135","14","0","0","0","0","25","57","88","",""
"GASPE","QC","Long terme","Précipitation","Extrême quotidien couverture de neige (cm) (aaaa/mm/jj)","1981/01/14","1995/02/16","1995/03/11","1995/04/02","2020/05/05","1978/06/01","1978/07/01","1978/08/01","1977/09/01","2000/10/29","1986/11/23","1980/12/31",""," "
"GASPE","QC","Normales","Jours avec ...","Pluie verglaçante ou bruine verglaçante","1,6","1,0","1,7","0,83","0,0","0,0","0,0","0,0","0,0","0,03","0,50","1,7","7,4","A"
"GASPE","QC","Normales","Jours avec ...","Orages","0,0","0,03","0,03","0,03","0,43","2,0","4,2","2,6","0,43","0,07","0,04","0,0","9,9","A"
"GASPE","QC","Normales","Jours avec ...","Grêle","0,07","0,0","0,03","0,07","0,0","0,03","0,03","0,03","0,0","0,0","0,0","0,07","0,33","A"
"GASPE","QC","Normales","Jours avec ...","Brouillard, brouillard glacé, frimas","0,80","0,97","1,4","2,9","2,7","3,7","5,0","2,8","2,3","2,7","1,8","1,4","28,3","A"
"GASPE","QC","Normales","Jours avec ...","Fumée ou brume sêche","0,30","0,03","0,0","0,17","0,10","0,33","0,57","0,53","0,73","0,20","0,29","0,20","3,5","A"
"GASPE","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -30 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"GASPE","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -20 °C","0,04","0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,04","0,21","C"
"GASPE","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -10 °C","7,4","5,0","0,86","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,9","15,1","C"
"GASPE","QC","Normales","Jours avec température maximale","Jours avec température maximale <= 0 °C","25,7","22,6","13,6","1,8","0,0","0,0","0,0","0,0","0,0","0,0","5,4","20,5","89,5","C"
"GASPE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 0 °C","5,3","5,7","17,5","28,3","31,0","30,0","31,0","31,0","30,0","31,0","24,6","10,5","275,8","C"
"GASPE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 10 °C","0,30","0,09","0,55","6,0","23,0","29,3","31,0","31,0","29,4","16,8","4,2","0,43","172,2","C"
"GASPE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 20 °C","0,0","0,0","0,05","0,17","4,2","14,2","23,9","23,7","9,9","1,4","0,0","0,0","77,5","C"
"GASPE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 30 °C","0,0","0,0","0,0","0,0","0,17","0,82","1,3","1,3","0,21","0,0","0,0","0,0","3,8","C"
"GASPE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 35 °C","0,0","0,0","0,0","0,0","0,0","0,09","0,0","0,0","0,0","0,0","0,0","0,0","0,09","C"
"GASPE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 40 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"GASPE","QC","Normales","Jours avec température minimale","Jours avec température minimale > 20 °C","0,0","0,0","0,0","0,0","0,0","0,09","0,09","0,08","0,04","0,0","0,0","0,0","0,30","C"
"GASPE","QC","Normales","Jours avec température minimale","Jours avec température minimale > 10 °C","0,0","0,0","0,0","0,0","0,48","6,6","17,1","15,1","4,8","0,48","0,10","0,0","44,7","C"
"GASPE","QC","Normales","Jours avec température minimale","Jours avec température minimale > 0 °C","0,22","0,43","1,2","4,8","18,6","28,5","31,0","30,9","26,2","16,3","6,1","1,3","165,4","C"
"GASPE","QC","Normales","Jours avec température minimale","Jours avec température minimale <= 2 °C","31,0","28,2","30,9","29,2","18,7","4,5","0,09","0,20","7,0","19,3","27,1","30,7","226,9","C"
"GASPE","QC","Normales","Jours avec température minimale","Jours avec température minimale <= 0 °C","30,7","27,8","29,8","25,3","12,4","1,6","0,0","0,08","3,8","14,7","23,9","29,7","199,8","C"
"GASPE","QC","Normales","Jours avec température minimale","Jours avec température minimale < -2 °C","30,4","27,0","27,7","18,6","5,6","0,23","0,0","0,0","0,58","9,1","19,5","28,3","167,1","C"
"GASPE","QC","Normales","Jours avec température minimale","Jours avec température minimale < -10 °C","25,3","22,5","15,2","1,6","0,0","0,0","0,0","0,0","0,0","0,0","3,5","16,7","84,8","C"
"GASPE","QC","Normales","Jours avec température minimale","Jours avec température minimale < -20 °C","10,5","10,8","3,8","0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,1","27,3","C"
"GASPE","QC","Normales","Jours avec température minimale","Jours avec température minimale < -30 °C","0,61","0,35","0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,04","1,0","C"
"GASPE","QC","Normales","Jours avec température minimale","Jours avec température minimale < -40 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"GASPE","QC","Normales","Jours avec pluie","Jours avec pluie >= 0,2 mm","2,5","1,7","3,9","8,0","13,3","13,0","15,9","12,7","11,8","14,5","9,1","4,9","111,2","C"
"GASPE","QC","Normales","Jours avec pluie","Jours avec pluie >= 5 mm","1,0","0,36","1,6","2,5","4,6","4,7","6,4","5,0","4,4","5,9","3,2","1,8","41,5","C"
"GASPE","QC","Normales","Jours avec pluie","Jours avec pluie >= 10 mm","0,64","0,18","0,96","1,3","2,5","2,5","3,4","2,7","2,9","3,9","2,3","1,2","24,5","C"
"GASPE","QC","Normales","Jours avec pluie","Jours avec pluie >= 25 mm","0,12","0,0","0,32","0,38","0,92","0,57","0,64","0,88","0,88","1,3","0,86","0,67","7,5","C"
"GASPE","QC","Normales","Jours avec pluie","Jours avec pluie >= 50 mm","0,0","0,0","0,0","0,08","0,13","0,09","0,08","0,20","0,25","0,25","0,29","0,21","1,6","C"
"GASPE","QC","Normales","Jours avec pluie","Jours avec pluie >= 100 mm","0,0","0,0","0,0","0,04","0,0","0,0","0,0","0,0","0,0","0,04","0,0","0,08","0,16","C"
"GASPE","QC","Normales","Jours avec neige","Jours avec neige >= 0,2 cm","13,8","11,4","11,4","6,5","1,1","0,0","0,0","0,0","0,0","1,1","7,1","13,7","65,9","C"
"GASPE","QC","Normales","Jours avec neige","Jours avec neige >= 5 cm","4,4","4,0","4,5","2,5","0,38","0,0","0,0","0,0","0,0","0,25","1,9","4,1","22,0","C"
"GASPE","QC","Normales","Jours avec neige","Jours avec neige >= 10 cm","2,6","2,4","2,5","1,0","0,21","0,0","0,0","0,0","0,0","0,17","0,81","2,3","11,9","C"
"GASPE","QC","Normales","Jours avec neige","Jours avec neige >= 25 cm","0,52","0,74","0,80","0,33","0,0","0,0","0,0","0,0","0,0","0,04","0,14","0,50","3,1","C"
"GASPE","QC","Normales","Jours avec neige","Jours avec neige >= 40 cm","0,12","0,22","0,24","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05","0,04","0,67","C"
"GASPE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 0,2 mm","14,9","12,0","13,5","12,1","13,5","13,0","15,9","12,7","11,9","15,0","13,9","16,1","164,5","C"
"GASPE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 1 mm","10,5","8,3","10,0","9,2","10,1","10,1","12,1","10,3","9,1","11,0","10,4","11,6","122,7","C"
"GASPE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 5 mm","4,7","3,8","5,6","5,2","5,0","4,7","6,4","5,0","4,5","6,1","4,8","5,6","61,4","C"
"GASPE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 10 mm","3,0","2,3","3,6","2,8","2,8","2,5","3,4","2,7","3,0","4,0","3,0","3,3","36,4","C"
"GASPE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 25 mm","0,76","0,68","1,0","0,75","0,92","0,57","0,64","0,88","0,92","1,3","1,0","1,3","10,8","C"
"GASPE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 50 mm","0,04","0,05","0,08","0,08","0,13","0,09","0,08","0,20","0,24","0,29","0,30","0,24","1,8","C"
"GASPE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 100 mm","0,0","0,0","0,0","0,04","0,0","0,0","0,0","0,0","0,0","0,04","0,0","0,08","0,16","C"
"GASPE","QC","Normales","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 1 cm","31,0","28,3","30,8","23,5","0,59","0,0","0,0","0,0","0,0","0,64","8,5","26,5","149,7","C"
"GASPE","QC","Normales","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 5 cm","27,8","28,1","29,0","19,6","0,14","0,0","0,0","0,0","0,0","0,32","4,5","22,4","131,9","C"
"GASPE","QC","Normales","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 10 cm","26,0","27,4","28,3","17,0","0,0","0,0","0,0","0,0","0,0","0,14","3,1","17,4","119,3","C"
"GASPE","QC","Normales","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 20 cm","22,8","24,4","26,8","12,7","0,0","0,0","0,0","0,0","0,0","0,05","0,85","8,4","96,0","C"
"GASPE","QC","Normales","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 30 cm","16,5","20,8","22,3","9,5","0,0","0,0","0,0","0,0","0,0","0,0","0,20","4,4","73,8","C"
"GASPE","QC","Normales","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 50 cm","5,2","12,3","16,4","5,2","0,0","0,0","0,0","0,0","0,0","0,0","0,05","0,87","40,0","C"
"GASPE","QC","Normales","Jours avec épaisseur de neige","Jours avec épaisseur de neige >= 100 cm","0,71","1,9","3,6","0,83","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,0","C"
"GASPE","QC","Normales","Vent","Vitesse horaire moyenne du vent (km/h)","11,8","11,9","12,5","12,0","11,0","10,1","9,1","9,0","9,7","10,9","11,1","12,1","10,9","A"
"GASPE","QC","Normales","Vent","Direction dominante du vent","O","O","O","O","E","E","E","O","O","O","O","O","O","A"
"GASPE","QC","Normales","Vent","Jours avec vitesse du vent >= 52 km/h","0,68","0,57","0,33","0,50","0,17","0,0","0,04","0,05","0,21","0,39","0,59","0,71","4,2","C"
"GASPE","QC","Normales","Vent","Jours avec vitesse du vent >= 63 km/h","0,12","0,26","0,04","0,04","0,04","0,0","0,0","0,0","0,13","0,09","0,27","0,21","1,2","C"
"GASPE","QC","Normales","Vent","Jours avec vitesse des rafales de vent >= 90 km/h","0,18","0,05","0,09","0,05","0,0","0,0","0,0","0,0","0,05","0,0","0,0","0,16","0,58","D"
"GASPE","QC","Normales","Vent","Vitesse extrême du vent (km/h)","70,0","63,0","61,0","67,0","48,0","52,0","44,0","46,0","55,0","61,0","56,0","67,0","",""
"GASPE","QC","Normales","Vent","Vitesse extrême du vent (km/h) (aaaa/mm/jj hh:mi)","1996/01/24 22:00","2001/02/10 18:00","2002/03/23 12:00","2019/04/04 14:00","2018/05/05 12:00","2019/06/12 15:00","2001/07/02 09:00","2009/08/27 13:00","2019/09/07 23:00","2018/10/16 16:00","1993/11/29 01:00","2004/12/24 01:00",""," "
"GASPE","QC","Normales","Vent","Direction de la vitesse extrême du vent","S","O","O","O","O","O","O","O","N","O","SE","S","",""
"GASPE","QC","Normales","Vent","Direction de la vitesse extrême du vent (aaaa/mm/jj hh:mi)","1996/01/24 22:00","2001/02/10 18:00","2002/03/23 12:00","2019/04/04 14:00","2018/05/05 12:00","2019/06/12 15:00","2001/07/02 09:00","2009/08/27 13:00","2019/09/07 23:00","2018/10/16 16:00","1993/11/29 01:00","2004/12/24 01:00",""," "
"GASPE","QC","Normales","Vent","Vitesse extrême des rafales de vent (km/h)","100,0","91,0","111,0","96,0","91,0","85,0","87,0","80,0","96,0","83,0","93,0","113,0","",""
"GASPE","QC","Normales","Vent","Vitesse extrême des rafales de vent (km/h) (aaaa/mm/jj)","1996/01/19","2001/02/10","1998/03/10","2019/04/04","2018/05/05","2019/06/12","1994/07/26","2004/08/01","2020/09/30","2015/10/30","1993/11/29","2002/12/08",""," "
"GASPE","QC","Normales","Vent","Direction des rafales de vent extrême","S","O","S","O","O","O","SO","SO","S","O","SO","O","",""
