"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"GRANBY","QC","Normales","Température","Moyenne quotidienne (°C)","-9,1","-7,4","-2,2","5,9","13,1","18,3","20,4","19,5","15,4","8,6","2,2","-4,9","6,6","C"
"GRANBY","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,4","2,7","2,2","1,6","1,7","1,2","1,2","1,0","1,5","1,8","1,8","2,7","3,1","C"
"GRANBY","QC","Normales","Température","Maximum quotidien (°C)","-4,6","-3,2","2,2","10,5","18,7","23,3","25,6","24,6","20,3","12,8","5,8","-1,0","11,3","A"
"GRANBY","QC","Normales","Température","Minimum quotidien (°C)","-13,4","-11,9","-6,4","0,9","8,0","13,0","15,7","14,8","10,6","4,6","-1,5","-8,4","2,2","A"
"GRANBY","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","13,8","10,1","18,0","22,0","25,8","27,5","30,5","27,0","26,3","21,5","17,3","14,0","",""
"GRANBY","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","2018/02/21","2012/03/22","2004/04/30","2010/05/26","1994/06/18","2010/07/08","2002/08/14","2002/09/09","2005/10/05","2015/11/06","2015/12/24",""," "
"GRANBY","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-29,5","-27,8","-22,5","-11,5","1,0","8,5","12,8","11,3","1,5","-1,8","-12,5","-28,3","",""
"GRANBY","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1993/02/06","2003/03/03","1995/04/05","1997/05/07","1994/06/02","1992/07/22","1994/08/31","1992/09/30","2000/10/29","1996/11/24","1993/12/27",""," "
"GRANBY","QC","Normales","Température","Maximum extrême (°C)","17,5","18,0","25,0","30,0","34,5","33,5","35,0","33,5","33,0","27,0","23,0","19,0","",""
"GRANBY","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2017/02/25","2012/03/21","2009/04/27","2020/05/27","2003/06/26","2020/07/10","2002/08/14","1999/09/04","2005/10/05","2020/11/10","2015/12/24",""," "
"GRANBY","QC","Normales","Température","Maximum extrême le plus bas (°C)","-26,0","-25,0","-19,0","-7,0","3,5","10,5","15,0","13,5","4,0","0,0","-10,9","-25,0","",""
"GRANBY","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/15","1993/02/06","2007/03/06","1995/04/05","2010/05/09","2003/06/01","1997/07/19","1994/08/31","1992/09/30","2008/10/29","2018/11/22","1993/12/27",""," "
"GRANBY","QC","Normales","Température","Minimum extrême le plus élevé (°C)","10,0","6,5","13,0","17,0","22,0","24,0","27,5","22,5","22,0","19,0","16,0","10,0","",""
"GRANBY","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1995/01/15","1994/02/20","2012/03/22","2002/04/17","2020/05/27","2005/06/13","2010/07/08","2009/08/21","2010/09/02","2002/10/02","2020/11/11","2020/12/25",""," "
"GRANBY","QC","Normales","Température","Minimum extrême (°C)","-33,0","-34,0","-27,5","-16,0","-3,0","2,0","4,5","6,5","-3,0","-7,0","-20,0","-31,5","",""
"GRANBY","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/26","1993/02/07","2007/03/07","1995/04/05","1995/05/07","2009/06/01","1992/07/02","1992/08/12","1991/09/30","2020/10/31","2018/11/22","1993/12/27",""," "
"GRANBY","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","13,8","12,5","18,0","22,8","25,8","28,3","30,5","30,0","26,4","22,8","18,9","14,0","",""
"GRANBY","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","1981/02/22","2012/03/22","1976/04/19","2010/05/26","1949/06/17","2010/07/08","1948/08/27","1948/09/13","1979/10/22","1948/11/06","2015/12/24",""," "
"GRANBY","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-29,8","-27,8","-24,3","-13,7","-0,8","5,8","10,3","9,0","1,5","-3,1","-13,6","-28,3","",""
"GRANBY","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1981/01/03","1993/02/06","1989/03/07","1954/04/03","1986/05/03","1980/06/09","1988/07/01","1982/08/28","1992/09/30","1966/10/30","1949/11/28","1993/12/27",""," "
"GRANBY","QC","Long terme","Température","Maximum extrême (°C)","17,5","18,0","25,0","30,0","34,5","34,4","36,1","35,6","33,0","28,9","23,9","19,0","",""
"GRANBY","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2017/02/25","2012/03/21","2009/04/27","2020/05/27","1949/06/13","1949/07/28","1948/08/27","1999/09/04","1949/10/12","1950/11/02","2015/12/24",""," "
