"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"LAUZON","QC","Normales","Température","Moyenne quotidienne (°C)","-12,1","-10,1","-4,6","3,3","11,2","16,6","19,2","18,2","13,7","6,8","0,4","-7,8","4,6","C"
"LAUZON","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,1","2,3","1,8","1,3","1,6","1,1","1,1","0,8","1,2","1,4","1,6","2,5","4,3","C"
"LAUZON","QC","Normales","Température","Maximum quotidien (°C)","-7,1","-5,0","0,3","7,8","17,1","22,3","24,9","23,8","19,0","11,0","3,9","-3,4","9,6","A"
"LAUZON","QC","Normales","Température","Minimum quotidien (°C)","-16,6","-15,4","-9,2","-1,9","5,3","10,6","13,7","12,7","8,2","2,4","-3,6","-11,5","-0,4","B"
"LAUZON","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","5,8","4,5","9,5","19,0","24,0","27,0","29,0","25,8","25,9","18,8","14,3","6,8","",""
"LAUZON","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","2012/03/22","2012/04/16","2007/05/25","2003/06/26","1991/07/20","1998/08/09","2010/09/01","2002/10/02","1999/11/03","2001/12/06",""," "
"LAUZON","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-31,0","-25,8","-22,5","-14,0","1,5","7,5","11,3","10,5","2,0","-3,3","-15,0","-30,3","",""
"LAUZON","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1993/02/06","1992/03/01","1995/04/05","1997/05/03","2002/06/03","1992/07/03","2009/08/28","1991/09/29","2002/10/31","1993/11/25","1993/12/27",""," "
"LAUZON","QC","Normales","Température","Maximum extrême (°C)","12,5","10,5","17,5","27,5","32,9","35,0","34,0","34,0","33,5","25,5","23,5","14,0","",""
"LAUZON","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2009/02/27","2006/03/31","2004/04/30","2020/05/27","2003/06/26","1991/07/19","2002/08/14","2002/09/09","2005/10/03","1999/11/03","2001/12/06",""," "
"LAUZON","QC","Normales","Température","Maximum extrême le plus bas (°C)","-26,0","-22,5","-18,1","-10,0","3,5","9,0","15,5","13,4","3,5","0,0","-11,0","-28,5","",""
"LAUZON","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/19","1993/02/06","2017/03/11","1995/04/05","1992/05/03","2015/06/02","1992/07/04","2020/08/29","1991/09/29","2008/10/22","2012/11/30","1993/12/27",""," "
"LAUZON","QC","Normales","Température","Minimum extrême le plus élevé (°C)","3,0","1,5","3,0","11,0","22,0","22,0","24,0","21,0","22,0","15,0","9,0","2,5","",""
"LAUZON","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/06","1996/02/22","2012/03/22","2012/04/16","2020/05/29","1994/06/17","1991/07/20","2001/08/10","2007/09/08","2007/10/04","1997/11/02","2020/12/25",""," "
"LAUZON","QC","Normales","Température","Minimum extrême (°C)","-39,0","-35,5","-32,0","-18,0","-5,0","-1,5","4,5","2,5","-5,0","-9,7","-21,5","-33,0","",""
"LAUZON","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/26","1993/02/21","1992/03/01","1995/04/05","2005/05/13","2002/06/04","2005/07/31","2002/08/28","2000/09/29","2018/10/27","1993/11/25","1993/12/29",""," "
"LAUZON","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","5,8","7,0","10,8","20,5","24,0","27,0","29,0","25,8","25,9","20,0","14,3","7,8","",""
"LAUZON","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1981/02/22","1987/03/31","1987/04/21","2007/05/25","2003/06/26","1991/07/20","1998/08/09","2010/09/01","1983/10/02","1999/11/03","1982/12/04",""," "
"LAUZON","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-31,0","-25,8","-23,8","-14,0","0,5","6,3","11,3","9,8","2,0","-3,3","-15,0","-30,3","",""
"LAUZON","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1993/02/06","1989/03/07","1995/04/05","1986/05/03","1980/06/09","1992/07/03","1986/08/28","1991/09/29","2002/10/31","1993/11/25","1993/12/27",""," "
"LAUZON","QC","Long terme","Température","Maximum extrême (°C)","12,5","11,0","18,0","29,5","32,9","35,0","34,5","34,0","33,5","25,5","23,5","14,0","",""
