"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"LENNOXVILLE","QC","Normales","Température","Moyenne quotidienne (°C)","-9,5","-8,3","-2,6","5,1","12,2","17,2","19,7","18,7","14,5","7,7","1,7","-5,2","5,9","A"
"LENNOXVILLE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,1","3,0","2,5","1,4","1,5","1,0","1,2","0,9","1,2","1,6","1,8","2,5","1,0","A"
"LENNOXVILLE","QC","Normales","Température","Maximum quotidien (°C)","-4,1","-2,3","3,1","10,8","18,6","23,3","25,7","24,8","20,7","13,0","6,2","-0,7","11,6","A"
"LENNOXVILLE","QC","Normales","Température","Minimum quotidien (°C)","-14,9","-14,3","-8,3","-0,6","5,7","11,0","13,6","12,7","8,2","2,5","-2,8","-9,6","0,3","A"
"LENNOXVILLE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","11,5","10,3","14,3","19,7","25,4","27,4","28,2","26,5","26,0","21,3","17,1","11,6","",""
"LENNOXVILLE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","2018/02/21","2012/03/21","2004/04/30","2020/05/27","2012/06/21","2002/07/03","2009/08/18","2010/09/01","2014/10/15","1996/11/08","2015/12/24",""," "
"LENNOXVILLE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-30,7","-26,5","-21,4","-12,3","0,7","7,0","11,3","8,3","1,0","-2,5","-14,9","-25,8","",""
"LENNOXVILLE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","2003/02/15","2007/03/06","1995/04/05","1997/05/07","2007/06/06","1992/07/02","2006/08/09","1992/09/30","2020/10/30","2018/11/22","1993/12/27",""," "
"LENNOXVILLE","QC","Normales","Température","Maximum extrême (°C)","17,0","18,2","25,8","29,6","34,9","34,0","34,0","32,9","33,8","27,2","22,9","17,7","",""
"LENNOXVILLE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2017/02/25","2012/03/21","2010/04/03","2020/05/27","1994/06/18","1991/07/20","2002/08/14","2002/09/09","2005/10/05","2020/11/10","2020/12/01",""," "
"LENNOXVILLE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-24,7","-24,0","-18,7","-8,0","1,9","10,4","13,3","14,0","3,0","-0,4","-11,4","-22,5","",""
"LENNOXVILLE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/14","1995/02/06","2007/03/06","1995/04/05","1997/05/07","2000/06/11","1997/07/19","2000/08/17","1992/09/30","2000/10/29","2018/11/22","1993/12/27",""," "
"LENNOXVILLE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","6,0","4,7","6,9","12,7","18,9","22,9","23,7","21,0","20,7","17,2","12,6","7,3","",""
"LENNOXVILLE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1995/01/15","2000/02/23","2016/03/31","2004/04/30","2020/05/28","2012/06/21","2002/07/03","1995/08/16","2010/09/01","2017/10/08","1996/11/08","2001/12/01",""," "
"LENNOXVILLE","QC","Normales","Température","Minimum extrême (°C)","-38,5","-39,0","-32,0","-16,5","-4,0","0,2","1,5","2,5","-3,7","-8,8","-24,4","-32,4","",""
"LENNOXVILLE","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/27","1993/02/07","1992/03/02","1995/04/05","1994/05/03","2020/06/02","1992/07/02","2006/08/09","2020/09/21","2020/10/31","2018/11/23","2013/12/17",""," "
"LENNOXVILLE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","11,5","11,5","15,0","20,8","25,6","28,1","28,6","28,1","26,0","22,5","17,3","12,0","",""
"LENNOXVILLE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","1981/02/21","1945/03/28","1938/04/28","1962/05/19","1931/06/20","1952/07/15","1955/08/05","2010/09/01","1979/10/22","1975/11/08","1934/12/01",""," "
"LENNOXVILLE","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-31,4","-32,5","-25,0","-13,4","-1,1","4,7","10,5","7,8","0,3","-5,0","-18,1","-37,5","",""
"LENNOXVILLE","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1915/01/30","1934/02/09","1950/03/03","1923/04/01","1943/05/01","1945/06/02","1988/07/01","1915/08/27","1939/09/27","1933/10/26","1917/11/27","1933/12/30",""," "
"LENNOXVILLE","QC","Long terme","Température","Maximum extrême (°C)","17,0","18,2","25,8","30,6","34,9","35,0","37,2","36,1","33,9","29,4","23,9","18,9","",""
"LENNOXVILLE","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2017/02/25","2012/03/21","1941/04/20","2020/05/27","1948/06/28","1921/07/08","1935/08/18","1931/09/13","1932/10/04","1938/11/07","1941/12/05",""," "
