"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Moyenne quotidienne (°C)","-9,2","-8,0","-2,0","6,2","13,9","19,0","21,7","20,6","16,0","8,9","2,3","-5,0","7,0","A"
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,0","2,9","2,4","1,5","1,7","1,1","1,3","1,2","1,5","1,5","1,9","2,4","1,4","A"
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Maximum quotidien (°C)","-5,0","-3,4","2,4","11,3","19,4","24,2","26,7","25,7","21,1","13,2","6,1","-1,2","11,7","A"
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Minimum quotidien (°C)","-13,5","-12,4","-6,5","1,1","8,3","13,8","16,7","15,6","10,9","4,5","-1,7","-8,7","2,3","A"
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","7,3","7,2","17,4","21,7","28,2","28,6","30,1","28,5","27,6","21,0","15,0","11,9","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2008/01/09","2000/02/27","2012/03/21","2012/04/16","2020/05/27","2012/06/21","2020/07/10","2001/08/09","2010/09/01","2005/10/04","1996/11/08","2001/12/06",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-26,5","-25,6","-22,8","-9,8","3,0","9,1","14,4","12,8","3,3","-1,2","-13,6","-27,3","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","1993/02/06","2003/03/03","1995/04/05","2020/05/09","2020/06/01","2007/07/01","1992/08/20","1992/09/30","1992/10/31","2018/11/22","1993/12/27",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Maximum extrême (°C)","13,1","11,4","25,8","29,4","36,6","34,8","36,1","36,2","33,5","26,8","22,4","18,0","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2002/02/26","2012/03/21","2009/04/27","2020/05/27","2020/06/22","2020/07/10","2001/08/08","1999/09/04","2018/10/09","2020/11/10","2001/12/06",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Maximum extrême le plus bas (°C)","-23,9","-22,4","-18,8","-5,1","5,1","12,2","17,7","14,5","6,3","1,9","-9,4","-23,9","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/14","1995/02/06","2003/03/03","1995/04/05","2002/05/14","2003/06/01","1993/07/22","1994/08/31","1992/09/30","2008/10/29","2018/11/22","1993/12/27",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Minimum extrême le plus élevé (°C)","4,4","3,8","9,8","14,4","21,6","23,8","24,8","23,6","23,0","18,2","12,3","6,4","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","1994/02/20","2012/03/22","2012/04/16","2020/05/28","2012/06/21","2011/07/22","2002/08/15","2010/09/02","2014/10/15","2001/11/02","2015/12/11",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Minimum extrême (°C)","-31,8","-30,3","-26,9","-14,5","-1,9","2,8","7,1","6,2","-1,8","-5,9","-17,8","-30,6","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/27","1993/02/06","1992/03/02","1995/04/05","1997/05/08","2020/06/01","1992/07/02","1993/08/22","1991/09/30","1992/10/31","2018/11/22","1993/12/27",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","9,7","10,3","17,4","23,1","28,2","28,6","30,1","30,3","27,6","21,1","17,0","12,5","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1950/01/04","1981/02/22","2012/03/21","1990/04/27","2020/05/27","1959/06/29","2020/07/10","1975/08/01","2010/09/01","1979/10/22","1948/11/06","1951/12/06",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-30,9","-27,5","-24,2","-10,8","0,0","7,0","12,8","8,9","2,8","-2,3","-15,0","-28,6","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1957/01/15","1943/02/15","1950/03/03","1954/04/03","1978/05/01","1980/06/09","1979/07/05","1965/08/29","1951/09/30","1969/10/23","1949/11/27","1942/12/20",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Maximum extrême (°C)","13,9","15,0","25,8","30,0","36,6","35,0","36,1","37,6","33,5","28,3","22,4","18,0","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1950/01/25","1981/02/22","2012/03/21","1990/04/27","2020/05/27","1964/06/30","2020/07/10","1975/08/01","1999/09/04","1968/10/02","2020/11/10","2001/12/06",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-27,2","-24,4","-20,0","-7,2","2,2","10,6","15,1","11,7","6,3","0,6","-11,1","-25,0","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1981/01/03","1967/02/12","1950/03/03","1954/04/03","1947/05/01","1947/06/08","1981/07/29","1965/08/29","1992/09/30","1969/10/22","1958/11/30","1942/12/20",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","7,2","5,6","12,2","16,1","21,6","25,0","25,6","25,6","23,3","18,2","13,3","8,3","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1950/01/04","1981/02/22","1945/03/29","1990/04/27","2020/05/28","1966/06/30","1955/07/10","1944/08/05","1959/09/08","2014/10/15","1954/11/20","1951/12/06",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Minimum extrême (°C)","-37,8","-33,9","-29,4","-15,0","-4,4","0,7","6,1","3,3","-2,2","-7,2","-19,4","-32,4","",""
"MONTREAL TRUDEAU (AÉROPORT)","QC","Long terme","Température","Minimum extrême (°C) (aaaa/mm/jj)","1957/01/15","1943/02/15","1950/03/04","1954/04/04","1974/05/02","1986/06/03","1982/07/03","1957/08/28","1951/09/30","1972/10/20","1949/11/27","1980/12/25",""," "
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Précipitation","Chute de pluie (mm)","32,8","16,9","37,3","74,9","85,6","83,6","91,2","93,6","89,2","101,6","67,4","44,2","818,3","C"
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Précipitation","Chute de neige (cm)","52,0","47,1","37,1","14,8","0,0","0,0","0,0","0,0","0,0","1,1","16,3","48,2","216,6","C"
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Précipitation","Précipitation (mm)","85,8","65,5","77,2","90,0","85,6","83,6","91,1","93,6","89,2","103,1","84,2","91,9","1040,9","C"
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Précipitation","Couverture de neige moyenne (cm)","10","14","10","1","0","0","0","0","0","0","1","7","3","C"
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Précipitation","Couverture de neige médiane (cm)","10","14","9","0","0","0","0","0","0","0","0","6","3","C"
"MONTREAL TRUDEAU (AÉROPORT)","QC","Normales","Précipitation","Couverture de neige, fin de mois (cm)","11","11","4","0","0","0","0","0","0","0","1","10","3","C"
