"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"RICHMOND","QC","Normales","Température","Moyenne quotidienne (°C)","-10,0","-8,6","-2,9","5,1","12,4","17,4","19,5","18,9","14,6","8,0","1,6","-5,7","5,9","C"
"RICHMOND","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,3","3,1","2,6","1,4","1,6","1,0","1,2","1,0","1,4","1,7","1,8","2,4","2,7","C"
"RICHMOND","QC","Normales","Température","Maximum quotidien (°C)","-4,7","-2,9","2,6","10,5","18,8","23,4","25,6","24,7","20,4","12,9","5,7","-1,3","11,3","A"
"RICHMOND","QC","Normales","Température","Minimum quotidien (°C)","-15,0","-14,3","-8,3","-0,7","6,0","11,3","14,1","13,1","8,8","3,0","-2,9","-9,8","0,4","C"
"RICHMOND","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","12,0","10,1","13,5","19,0","25,0","27,5","28,8","26,3","26,5","21,5","17,5","12,5","",""
"RICHMOND","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","2018/02/21","2012/03/21","2002/04/16","2010/05/26","2012/06/21","2002/07/03","2001/08/07","2010/09/01","2014/10/15","1996/11/08","2001/12/06",""," "
"RICHMOND","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-31,0","-28,3","-22,8","-12,5","1,3","6,5","11,3","10,8","1,5","-2,5","-15,0","-27,8","",""
"RICHMOND","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","2003/02/15","2003/03/03","1995/04/05","1997/05/07","2003/06/01","2007/07/01","2009/08/27","1992/09/30","1992/10/31","2012/11/30","1993/12/27",""," "
"RICHMOND","QC","Normales","Température","Maximum extrême (°C)","16,0","17,2","26,0","30,0","34,4","33,5","34,3","33,5","33,0","28,0","23,0","18,3","",""
"RICHMOND","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2018/02/21","2012/03/21","2009/04/27","2020/05/27","2001/06/15","2020/07/10","2002/08/14","2002/09/09","2005/10/05","2020/11/10","2020/12/01",""," "
"RICHMOND","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,0","-23,5","-19,0","-8,0","3,5","9,0","14,0","14,0","3,5","0,0","-10,7","-25,0","",""
"RICHMOND","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/26","1993/02/06","2003/03/03","1995/04/05","1997/05/07","2003/06/01","1997/07/19","2000/08/17","1992/09/30","2008/10/29","2018/11/22","1993/12/27",""," "
"RICHMOND","QC","Normales","Température","Minimum extrême le plus élevé (°C)","8,0","4,0","8,3","15,0","21,0","22,0","25,0","23,0","21,0","18,0","13,5","9,8","",""
"RICHMOND","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/08","2011/04/28","2020/05/29","2004/06/09","1995/07/14","2001/08/10","2007/09/08","2014/10/15","1996/11/08","2020/12/25",""," "
"RICHMOND","QC","Normales","Température","Minimum extrême (°C)","-40,5","-42,0","-33,0","-17,0","-4,0","-0,5","2,5","3,5","-3,5","-9,3","-20,7","-31,5","",""
"RICHMOND","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/27","1993/02/07","2007/03/07","1995/04/05","1994/05/03","2001/06/01","1992/07/02","2003/08/31","2000/09/29","2020/10/31","2019/11/17","1993/12/29",""," "
"RICHMOND","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","12,0","11,5","13,5","22,0","26,1","28,6","28,8","28,5","26,5","21,5","17,5","13,8","",""
"RICHMOND","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1981/02/21","2012/03/21","1990/04/27","1880/05/27","1878/06/30","2002/07/03","1983/08/06","2010/09/01","2014/10/15","1996/11/08","1982/12/04",""," "
"RICHMOND","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-31,7","-30,0","-24,2","-15,3","-1,7","6,0","8,9","8,6","0,6","-7,3","-20,0","-31,4","",""
"RICHMOND","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1887/01/09","1886/02/04","1887/03/01","1878/04/09","1903/05/02","1983/06/08","1898/07/12","1885/08/26","1897/09/27","1885/10/31","1881/11/28","1879/12/21",""," "
"RICHMOND","QC","Long terme","Température","Maximum extrême (°C)","16,0","17,2","26,0","30,0","34,4","33,5","35,6","34,4","33,9","28,0","23,0","22,2","",""
"RICHMOND","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2018/02/21","2012/03/21","2009/04/27","2020/05/27","2001/06/15","1901/07/17","1899/08/22","1900/09/04","2005/10/05","2020/11/10","1901/12/15",""," "
