"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"ROUYN","QC","Normales","Température","Moyenne quotidienne (°C)","-15,1","-13,3","-6,8","1,4","10,1","15,8","18,3","16,7","12,6","5,3","-2,5","-10,2","2,7","A"
"ROUYN","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,2","3,2","2,7","2,3","2,0","1,3","1,3","1,2","1,3","1,7","2,7","3,1","2,0","A"
"ROUYN","QC","Normales","Température","Maximum quotidien (°C)","-10,0","-7,7","-1,0","6,8","16,1","21,6","23,7","21,9","17,5","9,2","1,0","-6,1","7,8","A"
"ROUYN","QC","Normales","Température","Minimum quotidien (°C)","-20,1","-18,9","-12,5","-4,0","4,1","9,9","12,9","11,5","7,6","1,4","-5,9","-14,3","-2,4","A"
"ROUYN","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","3,7","4,9","18,2","17,6","26,1","26,2","29,0","28,0","26,2","20,1","15,7","6,3","",""
"ROUYN","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2007/01/05","2000/02/23","2012/03/21","2001/04/30","2010/05/25","2001/06/15","2005/07/12","2001/08/06","2002/09/08","2002/10/01","2020/11/10","2001/12/05",""," "
"ROUYN","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-33,0","-31,6","-25,1","-15,2","-5,3","2,9","8,5","8,4","1,1","-6,7","-21,9","-30,8","",""
"ROUYN","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","2016/02/13","2003/03/03","2016/04/04","2020/05/08","2007/06/05","2009/07/13","2018/08/29","2000/09/28","2020/10/30","1995/11/27","2004/12/20",""," "
"ROUYN","QC","Normales","Température","Maximum extrême (°C)","8,2","10,0","25,6","27,0","33,0","32,9","36,4","34,4","33,5","26,7","18,8","12,3","",""
"ROUYN","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/14","2000/02/23","2012/03/21","2010/04/03","2010/05/25","2005/06/24","2005/07/12","2001/08/06","2002/09/08","2011/10/08","2020/11/09","2001/12/06",""," "
"ROUYN","QC","Normales","Température","Maximum extrême le plus bas (°C)","-27,9","-27,7","-17,7","-10,7","-2,2","4,8","10,8","10,0","1,9","-3,6","-16,1","-26,5","",""
"ROUYN","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2014/01/01","1995/02/05","2017/03/10","2016/04/03","2020/05/08","2007/06/05","2013/07/07","2014/08/14","2009/09/30","2002/10/31","1995/11/27","1998/12/30",""," "
"ROUYN","QC","Normales","Température","Minimum extrême le plus élevé (°C)","2,1","1,6","10,8","9,3","19,2","20,2","22,5","21,5","19,8","16,0","13,3","2,5","",""
"ROUYN","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","2000/02/26","2012/03/21","2008/04/22","2010/05/25","2007/06/15","2002/07/02","2001/08/06","2017/09/24","2002/10/01","2020/11/10","2001/12/05",""," "
"ROUYN","QC","Normales","Température","Minimum extrême (°C)","-40,1","-36,4","-33,1","-22,4","-8,9","-1,4","2,7","0,0","-3,8","-11,7","-27,7","-38,2","",""
"ROUYN","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2014/01/02","2016/02/13","2003/03/03","2016/04/04","2020/05/05","2000/06/07","2001/07/01","1999/08/03","2000/09/28","2020/10/30","1995/11/27","2004/12/20",""," "
"ROUYN","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","3,7","4,9","18,2","17,6","26,1","26,2","29,0","28,0","26,2","20,1","15,7","6,3","",""
"ROUYN","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2007/01/05","2000/02/23","2012/03/21","2001/04/30","2010/05/25","2001/06/15","2005/07/12","2001/08/06","2002/09/08","2002/10/01","2020/11/10","2001/12/05",""," "
"ROUYN","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-33,0","-31,6","-25,1","-15,2","-5,3","2,9","8,5","8,4","1,1","-6,7","-21,9","-30,8","",""
"ROUYN","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","2016/02/13","2003/03/03","2016/04/04","2020/05/08","2007/06/05","2009/07/13","2018/08/29","2000/09/28","2020/10/30","1995/11/27","2004/12/20",""," "
"ROUYN","QC","Long terme","Température","Maximum extrême (°C)","8,2","10,0","25,6","27,0","33,0","32,9","36,4","34,4","33,5","26,7","18,8","12,3","",""
"ROUYN","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/14","2000/02/23","2012/03/21","2010/04/03","2010/05/25","2005/06/24","2005/07/12","2001/08/06","2002/09/08","2011/10/08","2020/11/09","2001/12/06",""," "
"ROUYN","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-27,9","-27,7","-17,7","-10,7","-2,2","4,8","10,8","10,0","1,9","-3,6","-16,1","-26,5","",""
"ROUYN","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2014/01/01","1995/02/05","2017/03/10","2016/04/03","2020/05/08","2007/06/05","2013/07/07","2014/08/14","2009/09/30","2002/10/31","1995/11/27","1998/12/30",""," "
"ROUYN","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","2,1","1,6","10,8","9,3","19,2","20,2","22,5","21,5","19,8","16,0","13,3","2,5","",""
"ROUYN","QC","Long terme","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","2000/02/26","2012/03/21","2008/04/22","2010/05/25","2007/06/15","2002/07/02","2001/08/06","2017/09/24","2002/10/01","2020/11/10","2001/12/05",""," "
"ROUYN","QC","Long terme","Température","Minimum extrême (°C)","-40,1","-36,4","-33,1","-22,4","-8,9","-1,4","2,7","0,0","-3,8","-11,7","-27,7","-38,2","",""
"ROUYN","QC","Long terme","Température","Minimum extrême (°C) (aaaa/mm/jj)","2014/01/02","2016/02/13","2003/03/03","2016/04/04","2020/05/05","2000/06/07","2001/07/01","1999/08/03","2000/09/28","2020/10/30","1995/11/27","2004/12/20",""," "
"ROUYN","QC","Normales","Précipitation","Précipitation (mm)","61,5","48,2","51,5","69,7","68,4","78,7","101,4","97,1","94,4","94,4","","","",""
"ROUYN","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm)","29,4","22,2","26,1","34,7","38,6","56,3","62,8","49,2","60,9","46,1","42,2","33,4","",""
"ROUYN","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","1995/01/14","2001/02/25","2004/03/26","2020/04/10","1996/05/18","1999/06/29","2016/07/21","1999/08/03","2010/09/24","2011/10/15","2013/11/01","2015/12/14",""," "
"ROUYN","QC","Long terme","Précipitation","Extrême quotidien de précipitation (mm)","29,4","22,2","26,1","34,7","38,6","56,3","62,8","49,2","60,9","46,1","42,2","33,4","",""
"ROUYN","QC","Long terme","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","1995/01/14","2001/02/25","2004/03/26","2020/04/10","1996/05/18","1999/06/29","2016/07/21","1999/08/03","2010/09/24","2011/10/15","2013/11/01","2015/12/14",""," "
"ROUYN","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -30 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"ROUYN","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -20 °C","3,2","0,64","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,82","4,6","C"
"ROUYN","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -10 °C","15,3","10,3","3,2","0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,91","8,3","38,1","C"
"ROUYN","QC","Normales","Jours avec température maximale","Jours avec température maximale <= 0 °C","28,0","24,5","16,8","4,3","0,19","0,0","0,0","0,0","0,0","1,1","12,7","25,3","112,8","C"
"ROUYN","QC","Normales","Jours avec température maximale","Jours avec température maximale > 0 °C","3,0","3,8","14,3","25,7","30,8","30,0","31,0","31,0","30,0","30,0","17,3","5,7","252,5","C"
"ROUYN","QC","Normales","Jours avec température maximale","Jours avec température maximale > 10 °C","0,0","0,0","1,5","8,6","25,1","29,4","31,0","31,0","27,6","12,3","2,2","0,05","168,7","C"
"ROUYN","QC","Normales","Jours avec température maximale","Jours avec température maximale > 20 °C","0,0","0,0","0,13","0,83","8,8","18,4","25,0","20,7","10,3","1,8","0,0","0,0","85,9","C"
"ROUYN","QC","Normales","Jours avec température maximale","Jours avec température maximale > 30 °C","0,0","0,0","0,0","0,0","0,43","1,3","2,3","0,76","0,33","0,0","0,0","0,0","5,1","C"
"ROUYN","QC","Normales","Jours avec température maximale","Jours avec température maximale > 35 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,04","0,0","0,0","0,0","0,0","0,0","0,04","C"
"ROUYN","QC","Normales","Jours avec température maximale","Jours avec température maximale > 40 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"ROUYN","QC","Normales","Jours avec température minimale","Jours avec température minimale > 20 °C","0,0","0,0","0,0","0,0","0,0","0,08","0,46","0,17","0,0","0,0","0,0","0,0","0,71","C"
"ROUYN","QC","Normales","Jours avec température minimale","Jours avec température minimale > 10 °C","0,0","0,0","0,04","0,0","4,6","15,2","24,0","20,2","8,1","1,4","0,04","0,0","73,5","C"
"ROUYN","QC","Normales","Jours avec température minimale","Jours avec température minimale > 0 °C","0,24","0,18","1,4","7,4","23,4","29,7","31,0","31,0","29,1","18,3","4,9","0,79","177,4","C"
"ROUYN","QC","Normales","Jours avec température minimale","Jours avec température minimale <= 2 °C","31,0","28,3","30,4","26,8","12,0","1,4","0,0","0,04","2,7","18,7","27,9","30,9","210,1","C"
"ROUYN","QC","Normales","Jours avec température minimale","Jours avec température minimale <= 0 °C","30,8","28,1","29,6","22,6","7,6","0,32","0,0","0,04","0,87","12,7","25,1","30,2","187,9","C"
"ROUYN","QC","Normales","Jours avec température minimale","Jours avec température minimale < -2 °C","30,4","27,8","27,6","17,8","3,2","0,0","0,0","0,0","0,09","5,1","21,0","29,1","162,2","C"
"ROUYN","QC","Normales","Jours avec température minimale","Jours avec température minimale < -10 °C","26,2","24,1","19,0","4,0","0,0","0,0","0,0","0,0","0,0","0,0","6,6","20,5","100,6","C"
"ROUYN","QC","Normales","Jours avec température minimale","Jours avec température minimale < -20 °C","16,0","13,6","6,2","0,13","0,0","0,0","0,0","0,0","0,0","0,0","0,50","7,3","43,7","C"
"ROUYN","QC","Normales","Jours avec température minimale","Jours avec température minimale < -30 °C","3,4","1,9","0,15","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,42","5,8","C"
"ROUYN","QC","Normales","Jours avec température minimale","Jours avec température minimale < -40 °C","0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,04","C"
"ROUYN","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 0,2 mm","16,9","14,4","12,7","12,2","12,7","12,5","12,4","12,9","11,6","15,9","","","",""
"ROUYN","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 1 mm","16,9","14,4","12,7","12,2","12,7","12,5","12,4","12,9","11,6","15,9","","","",""
"ROUYN","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 5 mm","3,9","2,9","3,5","3,9","4,1","4,8","5,5","5,6","5,5","5,9","","","",""
"ROUYN","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 10 mm","1,1","0,82","1,2","2,3","1,6","2,3","3,3","3,5","3,2","3,2","","","",""
"ROUYN","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 25 mm","0,13","0,0","0,06","0,47","0,53","0,42","0,81","0,69","0,82","0,40","","","",""
"ROUYN","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 50 mm","0,0","0,0","0,0","0,0","0,0","0,11","0,25","0,0","0,06","0,0","","","",""
"ROUYN","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 100 mm","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","","","",""
"ROUYN","QC","Normales","Vent","Vitesse horaire moyenne du vent (km/h)","12,2","12,9","13,4","14,1","13,6","11,9","11,5","11,0","11,7","13,2","13,4","12,3","12,6","A"
"ROUYN","QC","Normales","Vent","Direction dominante du vent","NO","NO","N","N","N","S","SO","SO","S","S","S","S","S","A"
"ROUYN","QC","Normales","Vent","Jours avec vitesse des rafales de vent >= 90 km/h","0,0","0,05","0,0","0,05","0,0","0,0","0,05","0,05","0,0","0,0","0,05","0,05","0,30","C"
"ROUYN","QC","Normales","Vent","Vitesse extrême du vent (km/h)","48,0","56,0","52,0","48,0","52,0","52,0","44,0","46,0","43,0","52,0","54,0","54,0","",""
"ROUYN","QC","Normales","Vent","Vitesse extrême du vent (km/h) (aaaa/mm/jj hh:mi)","2000/01/16 08:00","1999/02/08 22:00","2002/03/10 07:00","1994/04/16 02:00","2000/05/13 17:00","2001/06/19 13:00","1996/07/20 11:00","1994/08/28 13:00","2018/09/21 20:00","2008/10/14 08:00","1999/11/24 13:00","2001/12/06 15:00",""," "
"ROUYN","QC","Normales","Vent","Direction de la vitesse extrême du vent","NO","S","SO","SO","SO","SO","NO","SO","O","O","SO","SO","",""
"ROUYN","QC","Normales","Vent","Direction de la vitesse extrême du vent (aaaa/mm/jj hh:mi)","2000/01/16 08:00","1999/02/08 22:00","2002/03/10 07:00","1994/04/16 02:00","2000/05/13 17:00","2001/06/19 13:00","1996/07/20 11:00","1994/08/28 13:00","2018/09/21 20:00","2008/10/14 08:00","1999/11/24 13:00","2001/12/06 15:00",""," "
"ROUYN","QC","Normales","Vent","Vitesse extrême des rafales de vent (km/h)","82,0","117,0","85,0","95,0","76,0","89,0","91,0","106,0","82,0","78,0","104,0","91,0","",""
"ROUYN","QC","Normales","Vent","Vitesse extrême des rafales de vent (km/h) (aaaa/mm/jj)","1996/01/27","1999/02/08","2002/03/10","2010/04/03","1997/05/05","2001/06/19","2006/07/17","2010/08/15","2018/09/21","2007/10/03","1998/11/19","2015/12/24",""," "
"ROUYN","QC","Normales","Vent","Direction des rafales de vent extrême","S","S","SO","O","S","SO","NO","O","NO","SO","E","SO","",""
"ROUYN","QC","Normales","Vent","Direction des rafales de vent extrême (aaaa/mm/jj)","1996/01/27","1999/02/08","2002/03/10","2010/04/03","1997/05/05","2001/06/19","2006/07/17","2010/08/15","2018/09/21","2007/10/03","1998/11/19","2015/12/24",""," "
"ROUYN","QC","Long terme","Vent","Vitesse extrême du vent (km/h)","48,0","56,0","52,0","48,0","52,0","52,0","44,0","46,0","43,0","52,0","54,0","54,0","",""
"ROUYN","QC","Long terme","Vent","Vitesse extrême du vent (km/h) (aaaa/mm/jj hh:mi)","2000/01/16 08:00","1999/02/08 22:00","2002/03/10 07:00","1994/04/16 02:00","2000/05/13 17:00","2001/06/19 13:00","1996/07/20 11:00","1994/08/28 13:00","2018/09/21 20:00","2008/10/14 08:00","1999/11/24 13:00","2001/12/06 15:00",""," "
"ROUYN","QC","Long terme","Vent","Direction de la vitesse extrême du vent","NO","S","SO","SO","SO","SO","NO","SO","O","O","SO","SO","",""
"ROUYN","QC","Long terme","Vent","Direction de la vitesse extrême du vent (aaaa/mm/jj hh:mi)","2000/01/16 08:00","1999/02/08 22:00","2002/03/10 07:00","1994/04/16 02:00","2000/05/13 17:00","2001/06/19 13:00","1996/07/20 11:00","1994/08/28 13:00","2018/09/21 20:00","2008/10/14 08:00","1999/11/24 13:00","2001/12/06 15:00",""," "
"ROUYN","QC","Long terme","Vent","Vitesse extrême des rafales de vent (km/h)","82,0","117,0","85,0","95,0","76,0","89,0","91,0","106,0","82,0","78,0","104,0","91,0","",""
"ROUYN","QC","Long terme","Vent","Vitesse extrême des rafales de vent (km/h) (aaaa/mm/jj)","1996/01/27","1999/02/08","2002/03/10","2010/04/03","1997/05/05","2001/06/19","2006/07/17","2010/08/15","2018/09/21","2007/10/03","1998/11/19","2015/12/24",""," "
"ROUYN","QC","Long terme","Vent","Direction des rafales de vent extrême","S","S","SO","O","S","SO","NO","O","NO","SO","E","SO","",""
"ROUYN","QC","Long terme","Vent","Direction des rafales de vent extrême (aaaa/mm/jj)","1996/01/27","1999/02/08","2002/03/10","2010/04/03","1997/05/05","2001/06/19","2006/07/17","2010/08/15","2018/09/21","2007/10/03","1998/11/19","2015/12/24",""," "
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessus de 24 °C","0,0","0,0","0,0","0,0","0,2","0,6","2,6","0,7","0,2","0,0","0,0","0,0","4,3","C"
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessus de 18 °C","0,0","0,0","0,0","0,0","5,4","26,7","50,8","28,1","10,0","0,2","0,0","0,0","121,0","C"
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessus de 15 °C","0,0","0,0","0,2","0,4","18,5","66,4","114,3","76,2","29,4","2,2","0,0","0,0","307,5","C"
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessus de 10 °C","0,0","0,0","0,9","4,0","70,6","178,2","260,9","209,7","104,5","17,5","0,9","0,0","847,1","C"
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessus de 5 °C","0,0","0,0","3,3","25,0","171,5","320,9","415,7","364,4","232,8","66,0","7,5","0,1","1607,1","C"
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessus de 0 °C","0,9","1,6","19,0","90,9","312,4","470,7","570,7","519,4","381,7","176,2","39,6","2,9","2586,0","C"
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessous de 0 °C","460,6","372,6","229,8","48,3","1,5","0,0","0,0","0,0","0,0","5,7","109,7","318,5","1546,6","C"
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessous de 5 °C","614,7","512,4","369,1","132,4","15,5","0,2","0,0","0,0","1,1","50,5","227,6","470,7","2394,1","C"
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessous de 10 °C","769,7","653,9","521,7","261,3","69,6","7,6","0,1","0,3","22,8","156,9","371,0","625,6","3460,6","C"
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessous de 15 °C","924,7","795,3","675,9","407,7","172,6","45,8","8,6","21,9","97,7","296,6","520,1","780,6","4747,4","C"
"ROUYN","QC","Normales","Degrés-jours","Degrés-jours Au-dessous de 18 °C","1017,7","880,1","768,8","497,3","252,4","96,0","38,0","66,7","168,3","387,6","610,1","873,6","5656,7","C"
"ROUYN","QC","Normales","Quintiles","Quintile 1 (limite inférieure)","23,0","17,0","11,4","26,2","20,9","39,8","44,1","43,4","31,7","35,8","46,1","33,3","",""
"ROUYN","QC","Normales","Quintiles","Quintile 1 (limite supérieure)","37,7","29,0","33,8","34,0","46,6","44,4","60,4","73,9","66,2","63,7","62,8","46,8","",""
"ROUYN","QC","Normales","Quintiles","Quintile 2 (limite supérieure)","52,7","35,1","41,0","46,6","60,7","70,2","80,8","85,9","78,6","75,2","68,4","53,6","",""
"ROUYN","QC","Normales","Quintiles","Quintile 3 (limite supérieure)","64,0","44,8","55,7","80,8","68,0","78,8","92,7","95,4","95,8","89,1","80,6","62,5","",""
"ROUYN","QC","Normales","Quintiles","Quintile 4 (limite supérieure)","75,7","55,8","68,0","84,6","89,7","103,1","129,9","116,2","108,7","116,2","89,7","73,9","",""
"ROUYN","QC","Normales","Quintiles","Quintile 5 (limite supérieure)","102,0","104,4","98,3","135,0","128,9","145,2","213,9","210,7","205,6","200,8","138,1","107,7","",""
"ROUYN","QC","Normales","Humidex","Jours avec humidex >= 30","0,0","0,0","0,0","0,0","0,81","3,8","7,0","4,5","1,8","0,0","0,0","0,0","17,9","A"
"ROUYN","QC","Normales","Humidex","Jours avec humidex >= 35","0,0","0,0","0,0","0,0","0,19","1,0","1,7","0,70","0,15","0,0","0,0","0,0","3,8","A"
"ROUYN","QC","Normales","Humidex","Jours avec humidex >= 40","0,0","0,0","0,0","0,0","0,0","0,19","0,11","0,04","0,0","0,0","0,0","0,0","0,34","A"
"ROUYN","QC","Normales","Humidex","Indice humidex extrême","8,1","10,0","27,6","27,3","38,6","43,2","43,3","41,6","39,2","28,1","21,0","12,8","",""
