"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"ST-ANICET","QC","Normales","Température","Moyenne quotidienne (°C)","-8,7","-7,5","-1,6","6,6","14,0","19,1","21,2","20,3","16,2","9,5","3,0","-4,2","7,3","C"
"ST-ANICET","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,2","3,2","2,6","1,4","1,6","1,1","1,1","1,0","1,5","1,6","1,8","2,5","3,5","C"
"ST-ANICET","QC","Normales","Température","Maximum quotidien (°C)","-4,1","-2,7","2,8","11,3","19,5","24,3","26,7","25,8","21,6","14,0","6,6","-0,3","12,1","A"
"ST-ANICET","QC","Normales","Température","Minimum quotidien (°C)","-13,0","-12,1","-6,2","1,6","8,5","13,8","16,2","15,0","11,0","4,9","-1,0","-7,6","2,6","A"
"ST-ANICET","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","9,8","10,5","17,5","23,5","27,0","28,5","29,5","29,3","27,3","23,0","17,0","12,5","",""
"ST-ANICET","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2007/01/06","1994/02/20","2012/03/21","2002/04/17","2010/05/26","2005/06/25","2011/07/21","2001/08/09","2007/09/07","2002/10/02","2002/11/11","2001/12/06",""," "
"ST-ANICET","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-26,5","-27,5","-21,0","-8,8","2,8","10,3","14,0","13,0","4,0","-1,0","-10,5","-25,0","",""
"ST-ANICET","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1993/02/07","2007/03/06","1995/04/05","2010/05/09","2000/06/11","1992/07/03","2004/08/24","1992/09/30","1992/10/31","2012/11/30","1993/12/27",""," "
"ST-ANICET","QC","Normales","Température","Maximum extrême (°C)","17,5","15,5","27,0","31,0","36,0","35,0","36,0","35,5","34,0","29,5","25,0","20,0","",""
"ST-ANICET","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2017/02/23","2012/03/21","2012/04/16","2020/05/27","2020/06/22","2020/07/09","2001/08/08","2002/09/09","2007/10/19","2020/11/10","2015/12/24",""," "
