"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"ST-JOVITE","QC","Normales","Température","Moyenne quotidienne (°C)","-11,9","-10,6","-4,4","3,5","11,0","15,7","18,2","17,2","12,9","6,4","-0,2","-7,7","4,2","C"
"ST-JOVITE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,2","2,8","2,8","1,6","1,7","1,2","1,1","1,0","1,4","1,6","2,2","2,9","1,0","C"
"ST-JOVITE","QC","Normales","Température","Maximum quotidien (°C)","-5,5","-3,3","2,6","10,3","18,5","23,0","25,3","24,5","20,1","12,3","4,6","-2,5","10,8","C"
"ST-JOVITE","QC","Normales","Température","Minimum quotidien (°C)","-18,3","-17,9","-11,3","-3,2","3,3","8,5","10,9","9,8","5,6","0,5","-5,1","-12,9","-2,5","C"
"ST-JOVITE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","7,6","7,0","13,6","20,1","25,5","25,5","26,6","26,8","25,0","20,1","12,5","9,1","",""
"ST-JOVITE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","2000/02/27","2012/03/21","2012/04/16","2020/05/27","2012/06/21","2002/07/02","2006/08/01","2010/09/01","2005/10/04","1996/11/08","2015/12/24",""," "
"ST-JOVITE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-33,6","-28,8","-25,6","-13,0","-1,2","5,0","9,8","8,7","1,0","-3,6","-17,5","-27,5","",""
"ST-JOVITE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","2003/02/15","2007/03/06","1995/04/05","2020/05/09","2000/06/04","2013/07/24","2017/08/31","2000/09/28","1997/10/23","2018/11/23","2004/12/20",""," "
"ST-JOVITE","QC","Normales","Température","Maximum extrême (°C)","12,4","11,8","27,1","29,5","35,7","33,4","35,6","33,9","35,7","26,9","20,7","16,2","",""
"ST-JOVITE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2000/02/27","2012/03/21","2009/04/27","2020/05/27","2003/06/24","2020/07/10","2006/08/01","2002/09/09","2005/10/04","2020/11/10","2015/12/24",""," "
"ST-JOVITE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,7","-25,2","-17,3","-7,9","2,7","9,7","15,3","12,9","6,8","0,0","-9,3","-22,6","",""
"ST-JOVITE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/15","1995/02/06","2003/03/03","1995/04/05","2017/05/08","2019/06/03","2013/07/24","2009/08/29","1999/09/22","2008/10/29","2018/11/22","2004/12/20",""," "
"ST-JOVITE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","3,4","2,1","3,6","13,1","17,6","19,3","21,4","19,9","19,7","16,1","9,0","5,0","",""
"ST-JOVITE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2008/01/08","2000/02/27","1995/03/08","2012/04/16","2012/05/25","2014/06/30","2005/07/18","1998/08/10","2018/09/02","2014/10/15","2001/11/25","2015/12/11",""," "
"ST-JOVITE","QC","Normales","Température","Minimum extrême (°C)","-41,4","-38,8","-38,3","-19,4","-6,9","-2,1","1,2","0,1","-6,7","-12,0","-28,0","-34,9","",""
"ST-JOVITE","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2004/01/15","2003/02/15","2007/03/07","2003/04/07","2020/05/13","2000/06/05","2001/07/27","2007/08/20","2000/09/29","2020/10/31","2018/11/23","2013/12/17",""," "
"ST-JOVITE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","7,6","7,0","13,6","20,1","25,5","25,5","26,6","26,8","25,0","20,1","12,5","9,1","",""
"ST-JOVITE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","2000/02/27","2012/03/21","2012/04/16","2020/05/27","2012/06/21","2002/07/02","2006/08/01","2010/09/01","2005/10/04","1996/11/08","2015/12/24",""," "
"ST-JOVITE","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-33,6","-28,8","-25,6","-13,0","-1,2","5,0","9,8","8,7","1,0","-3,6","-17,5","-27,5","",""
"ST-JOVITE","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","2003/02/15","2007/03/06","1995/04/05","2020/05/09","2000/06/04","2013/07/24","2017/08/31","2000/09/28","1997/10/23","2018/11/23","2004/12/20",""," "
"ST-JOVITE","QC","Long terme","Température","Maximum extrême (°C)","12,4","11,8","27,1","29,5","35,7","33,4","35,6","33,9","35,7","26,9","20,7","16,2","",""
"ST-JOVITE","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2000/02/27","2012/03/21","2009/04/27","2020/05/27","2003/06/24","2020/07/10","2006/08/01","2002/09/09","2005/10/04","2020/11/10","2015/12/24",""," "
"ST-JOVITE","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-25,7","-25,2","-17,3","-7,9","2,7","9,7","15,3","12,9","6,8","0,0","-9,3","-22,6","",""
"ST-JOVITE","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/15","1995/02/06","2003/03/03","1995/04/05","2017/05/08","2019/06/03","2013/07/24","2009/08/29","1999/09/22","2008/10/29","2018/11/22","2004/12/20",""," "
"ST-JOVITE","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","3,4","2,1","3,6","13,1","17,6","19,3","21,4","19,9","19,7","16,1","9,0","5,0","",""
"ST-JOVITE","QC","Long terme","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2008/01/08","2000/02/27","1995/03/08","2012/04/16","2012/05/25","2014/06/30","2005/07/18","1998/08/10","2018/09/02","2014/10/15","2001/11/25","2015/12/11",""," "
"ST-JOVITE","QC","Long terme","Température","Minimum extrême (°C)","-41,4","-38,8","-38,3","-19,4","-6,9","-2,1","1,2","0,1","-6,7","-12,0","-28,0","-34,9","",""
"ST-JOVITE","QC","Long terme","Température","Minimum extrême (°C) (aaaa/mm/jj)","2004/01/15","2003/02/15","2007/03/07","2003/04/07","2020/05/13","2000/06/05","2001/07/27","2007/08/20","2000/09/29","2020/10/31","2018/11/23","2013/12/17",""," "
"ST-JOVITE","QC","Normales","Précipitation","Précipitation (mm)","","64,2","88,2","","","","","106,3","","","","89,1","",""
"ST-JOVITE","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm)","52,0","42,0","94,0","43,0","45,0","63,0","83,0","58,0","105,0","78,0","40,0","39,0","",""
"ST-JOVITE","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","2020/01/11","1996/02/20","1999/03/22","2007/04/16","1996/05/20","2006/06/27","1997/07/14","2003/08/08","2004/09/09","1995/10/21","1999/11/26","2003/12/11",""," "
"ST-JOVITE","QC","Long terme","Précipitation","Extrême quotidien de précipitation (mm)","52,0","42,0","94,0","43,0","45,0","63,0","83,0","58,0","105,0","78,0","40,0","39,0","",""
"ST-JOVITE","QC","Long terme","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","2020/01/11","1996/02/20","1999/03/22","2007/04/16","1996/05/20","2006/06/27","1997/07/14","2003/08/08","2004/09/09","1995/10/21","1999/11/26","2003/12/11",""," "
"ST-JOVITE","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -30 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"ST-JOVITE","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -20 °C","0,87","0,08","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,04","0,99","C"
"ST-JOVITE","QC","Normales","Jours avec température maximale","Jours avec température maximale <= -10 °C","7,6","4,2","0,75","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,6","16,2","C"
"ST-JOVITE","QC","Normales","Jours avec température maximale","Jours avec température maximale <= 0 °C","24,7","19,8","9,8","1,1","0,0","0,0","0,0","0,0","0,0","0,05","6,3","20,8","82,5","C"
"ST-JOVITE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 0 °C","6,3","8,5","21,2","28,9","31,0","30,0","31,0","31,0","30,0","31,0","23,7","10,3","282,8","C"
"ST-JOVITE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 10 °C","0,30","0,17","3,3","14,4","28,8","29,9","31,0","31,0","29,8","18,9","5,8","0,33","193,6","C"
"ST-JOVITE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 20 °C","0,0","0,0","0,25","2,0","12,3","21,6","28,7","27,7","15,3","2,7","0,14","0,0","110,6","C"
"ST-JOVITE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 30 °C","0,0","0,0","0,0","0,0","0,48","1,7","3,2","1,4","0,70","0,0","0,0","0,0","7,5","C"
"ST-JOVITE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 35 °C","0,0","0,0","0,0","0,0","0,05","0,0","0,0","0,0","0,05","0,0","0,0","0,0","0,10","C"
"ST-JOVITE","QC","Normales","Jours avec température maximale","Jours avec température maximale > 40 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","C"
"ST-JOVITE","QC","Normales","Jours avec température minimale","Jours avec température minimale > 20 °C","0,0","0,0","0,0","0,0","0,0","0,0","0,12","0,0","0,0","0,0","0,0","0,0","0,12","C"
"ST-JOVITE","QC","Normales","Jours avec température minimale","Jours avec température minimale > 10 °C","0,0","0,0","0,0","0,08","3,0","11,2","18,0","14,8","6,5","0,83","0,0","0,0","54,3","C"
"ST-JOVITE","QC","Normales","Jours avec température minimale","Jours avec température minimale > 0 °C","0,43","0,43","2,0","6,2","21,5","29,1","31,0","31,0","25,2","15,4","5,5","1,4","169,2","C"
"ST-JOVITE","QC","Normales","Jours avec température minimale","Jours avec température minimale <= 2 °C","30,9","28,3","30,8","26,8","13,6","2,1","0,08","0,88","8,1","20,4","27,7","30,7","220,2","C"
"ST-JOVITE","QC","Normales","Jours avec température minimale","Jours avec température minimale <= 0 °C","30,6","27,9","29,0","23,8","9,5","0,90","0,0","0,0","4,8","15,6","24,5","29,6","196,1","C"
"ST-JOVITE","QC","Normales","Jours avec température minimale","Jours avec température minimale < -2 °C","29,7","26,7","26,9","18,6","4,8","0,05","0,0","0,0","1,1","10,4","19,8","27,5","165,5","C"
"ST-JOVITE","QC","Normales","Jours avec température minimale","Jours avec température minimale < -10 °C","23,9","21,8","14,5","2,2","0,0","0,0","0,0","0,0","0,0","0,17","5,8","17,3","85,6","C"
"ST-JOVITE","QC","Normales","Jours avec température minimale","Jours avec température minimale < -20 °C","14,5","12,5","5,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,45","7,4","40,6","C"
"ST-JOVITE","QC","Normales","Jours avec température minimale","Jours avec température minimale < -30 °C","4,1","2,5","0,60","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,84","8,1","C"
"ST-JOVITE","QC","Normales","Jours avec température minimale","Jours avec température minimale < -40 °C","0,09","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,09","C"
"ST-JOVITE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 0,2 mm","","12,7","13,4","","","","","13,1","","","","15,5","",""
"ST-JOVITE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 1 mm","","12,7","13,4","","","","","13,1","","","","15,5","",""
"ST-JOVITE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 5 mm","","4,6","5,3","","","","","6,3","","","","5,9","",""
"ST-JOVITE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 10 mm","","1,8","2,5","","","","","3,2","","","","2,5","",""
"ST-JOVITE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 25 mm","","0,13","0,60","","","","","1,0","","","","0,60","",""
"ST-JOVITE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 50 mm","","0,0","0,07","","","","","0,11","","","","0,0","",""
"ST-JOVITE","QC","Normales","Jours avec précipitation","Jours avec précipitation >= 100 mm","","0,0","0,0","","","","","0,0","","","","0,0","",""
"ST-JOVITE","QC","Normales","Vent","Vitesse horaire moyenne du vent (km/h)","4,0","4,4","4,8","5,2","4,7","3,7","3,6","3,2","3,4","3,9","4,2","3,7","4,1","C"
"ST-JOVITE","QC","Normales","Vent","Direction dominante du vent","O","O","O","O","O","O","O","O","S","O","O","O","O","C"
