"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"ST CAMILLE","QC","Normales","Température","Moyenne quotidienne (°C)","-13,0","-11,1","-5,4","2,3","10,0","15,1","17,4","16,5","12,2","5,4","-1,3","-8,4","3,3","C"
"ST CAMILLE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,0","2,7","2,6","1,4","1,6","1,0","1,1","1,1","1,5","1,8","1,7","2,5","3,1","C"
"ST CAMILLE","QC","Normales","Température","Maximum quotidien (°C)","-7,8","-5,6","0,2","7,2","16,2","21,2","23,5","22,5","18,1","10,1","2,5","-4,2","8,6","A"
"ST CAMILLE","QC","Normales","Température","Minimum quotidien (°C)","-17,5","-16,5","-10,9","-3,0","3,8","8,9","11,8","10,6","6,3","0,6","-5,3","-12,4","-2,0","A"
"ST CAMILLE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","9,3","8,0","14,5","17,5","22,5","25,5","27,3","24,3","25,3","18,8","13,5","6,5","",""
"ST CAMILLE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","1994/02/20","2012/03/22","2004/04/30","2007/05/25","1994/06/17","2002/07/03","2009/08/18","2002/09/09","2005/10/05","1996/11/09","2001/12/06",""," "
"ST CAMILLE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-32,3","-28,0","-24,8","-17,5","-2,0","5,3","10,0","7,8","-0,3","-5,3","-17,5","-31,3","",""
"ST CAMILLE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1995/02/06","2003/03/03","1995/04/05","1996/05/12","2015/06/02","1992/07/02","2006/08/24","1992/09/30","1992/10/30","1995/11/30","1993/12/27",""," "
"ST CAMILLE","QC","Normales","Température","Maximum extrême (°C)","18,5","14,5","22,2","26,8","31,2","32,6","33,3","32,0","31,5","26,0","20,2","13,0","",""
"ST CAMILLE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2017/02/23","2012/03/21","2012/04/16","2020/05/28","2020/06/18","2020/07/10","2012/08/05","2002/09/09","2005/10/05","2020/11/10","2020/12/01",""," "
"ST CAMILLE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-28,5","-26,0","-21,0","-14,0","1,0","6,0","11,5","12,0","1,5","-2,5","-13,5","-29,0","",""
"ST CAMILLE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/14","1995/02/06","2003/03/03","1995/04/05","1996/05/12","2015/06/02","1992/07/04","2009/08/29","1992/09/30","1992/10/30","2018/11/22","1993/12/27",""," "
"ST CAMILLE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","5,2","3,5","8,0","10,0","18,4","20,0","22,0","20,5","19,5","14,5","11,0","3,9","",""
"ST CAMILLE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2018/01/12","1994/02/20","2012/03/22","2004/04/30","2020/05/29","1994/06/17","2002/07/03","2006/08/02","2007/09/08","2014/10/15","1996/11/09","2020/12/01",""," "
"ST CAMILLE","QC","Normales","Température","Minimum extrême (°C)","-42,5","-37,0","-34,5","-21,5","-6,0","-3,0","1,0","-2,0","-6,0","-11,7","-25,0","-37,5","",""
"ST CAMILLE","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2009/01/26","1993/02/07","2008/03/24","2015/04/06","1995/05/07","2020/06/02","2005/07/31","2006/08/25","2000/09/29","2018/10/27","1995/11/30","2008/12/21",""," "
"ST CAMILLE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","9,3","8,0","14,5","18,8","23,1","25,5","27,3","27,8","25,3","19,7","13,8","7,8","",""
"ST CAMILLE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","1994/02/20","2012/03/22","1990/04/27","1977/05/22","1994/06/17","2002/07/03","1975/08/02","2002/09/09","1979/10/22","1982/11/04","1964/12/26",""," "
"ST CAMILLE","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-32,3","-31,4","-24,8","-17,5","-4,2","3,6","8,0","5,8","-0,3","-6,1","-17,5","-31,3","",""
"ST CAMILLE","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1967/02/12","1989/03/07","1995/04/05","1966/05/07","1980/06/09","1982/07/04","1982/08/29","1992/09/30","1972/10/20","1995/11/30","1993/12/27",""," "
"ST CAMILLE","QC","Long terme","Température","Maximum extrême (°C)","18,5","14,5","22,2","27,0","31,2","32,6","33,3","34,4","31,5","26,0","20,2","13,0","",""
"ST CAMILLE","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2017/02/23","2012/03/21","1990/04/27","2020/05/28","2020/06/18","2020/07/10","1975/08/02","2002/09/09","2005/10/05","2020/11/10","2020/12/01",""," "
"ST CAMILLE","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-28,5","-28,9","-21,0","-14,0","0,6","6,0","9,5","8,3","1,5","-3,3","-14,5","-29,0","",""
"ST CAMILLE","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/14","1967/02/12","2003/03/03","1995/04/05","1970/05/06","2015/06/02","1988/07/01","1976/08/30","1992/09/30","1969/10/23","1989/11/29","1993/12/27",""," "
