"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"ST GEORGES","QC","Normales","Température","Moyenne quotidienne (°C)","-11,4","-10,1","-4,0","4,1","11,5","16,7","19,0","18,2","13,8","7,1","0,5","-7,2","4,9","A"
"ST GEORGES","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,1","2,8","2,5","1,4","1,6","1,0","1,2","1,0","1,4","1,6","1,7","2,3","2,8","A"
"ST GEORGES","QC","Normales","Température","Maximum quotidien (°C)","-5,8","-3,7","2,0","9,8","18,2","23,0","25,3","24,5","20,1","12,3","4,7","-2,4","10,7","A"
"ST GEORGES","QC","Normales","Température","Minimum quotidien (°C)","-16,7","-16,3","-9,8","-1,9","4,6","10,1","13,0","11,9","7,4","1,8","-3,8","-11,1","-0,9","A"
"ST GEORGES","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","9,3","8,8","12,3","17,0","22,5","26,3","28,3","26,3","27,0","20,3","14,8","9,5","",""
"ST GEORGES","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","2012/03/21","2012/04/16","2010/05/26","1995/06/19","2002/07/03","2009/08/18","2002/09/09","2002/10/02","1996/11/09","2001/12/06",""," "
"ST GEORGES","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-32,0","-27,8","-22,5","-14,8","0,8","7,3","11,3","9,8","1,5","-4,3","-18,8","-28,3","",""
"ST GEORGES","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1993/02/06","2001/03/01","1995/04/05","1997/05/07","2002/06/03","1992/07/02","1994/08/31","1992/09/30","1992/10/31","1995/11/30","1993/12/28",""," "
"ST GEORGES","QC","Normales","Température","Maximum extrême (°C)","16,0","16,0","25,0","29,5","32,0","34,3","34,0","33,5","34,5","28,0","22,5","16,0","",""
"ST GEORGES","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2000/02/27","2012/03/21","2009/04/25","2010/05/25","2020/06/21","2010/07/07","2002/08/14","2002/09/09","2005/10/05","2002/11/11","2020/12/01",""," "
"ST GEORGES","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,5","-24,5","-19,0","-11,5","2,0","9,0","14,0","13,5","3,5","0,0","-12,0","-25,0","",""
"ST GEORGES","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/14","1995/02/06","2007/03/08","1995/04/05","1997/05/07","2015/06/02","1992/07/04","2009/08/29","1992/09/30","2018/10/25","2018/11/22","1993/12/27",""," "
"ST GEORGES","QC","Normales","Température","Minimum extrême le plus élevé (°C)","5,0","2,5","3,5","11,5","20,0","22,0","23,0","21,5","20,0","15,5","10,0","7,0","",""
"ST GEORGES","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","1998/03/29","2002/04/17","2020/05/29","2004/06/09","1993/07/07","2001/08/03","1999/09/08","2002/10/02","1997/11/02","2020/12/25",""," "
"ST GEORGES","QC","Normales","Température","Minimum extrême (°C)","-41,0","-41,0","-33,0","-23,0","-6,0","-2,0","2,0","1,5","-5,5","-10,0","-28,0","-34,0","",""
"ST GEORGES","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2009/01/16","1993/02/07","2001/03/02","2015/04/06","2003/05/04","2002/06/04","1992/07/02","2001/08/25","2000/09/29","1992/10/31","1995/11/30","1993/12/28",""," "
"ST GEORGES","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","9,3","9,0","12,3","17,5","23,1","26,3","28,3","27,2","27,0","20,3","16,8","9,5","",""
"ST GEORGES","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1981/02/21","2012/03/21","1990/04/27","1978/05/28","1995/06/19","2002/07/03","1975/08/02","2002/09/09","2002/10/02","1982/11/04","2001/12/06",""," "
"ST GEORGES","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-32,0","-29,2","-23,5","-14,8","-2,8","6,0","9,5","6,4","1,5","-4,3","-18,8","-30,8","",""
"ST GEORGES","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1966/02/19","1984/03/09","1995/04/05","1966/05/07","1980/06/09","1969/07/07","1965/08/29","1992/09/30","1992/10/31","1995/11/30","1980/12/25",""," "
"ST GEORGES","QC","Long terme","Température","Maximum extrême (°C)","16,0","16,0","25,0","30,0","32,8","34,3","35,0","35,0","34,5","28,0","22,5","16,0","",""
"ST GEORGES","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","1981/02/22","2012/03/21","1990/04/27","1977/05/22","2020/06/21","1988/07/09","1975/08/01","2002/09/09","2005/10/05","1982/11/04","2020/12/01",""," "
"ST GEORGES","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-27,5","-27,2","-19,0","-11,5","1,7","9,0","11,5","10,6","3,5","-1,1","-12,0","-28,0","",""
"ST GEORGES","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1981/01/03","1967/02/12","2007/03/08","1995/04/05","1966/05/07","2015/06/02","1988/07/01","1976/08/30","1992/09/30","1969/10/22","2018/11/22","1980/12/25",""," "
"ST GEORGES","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","5,0","7,0","7,2","12,2","20,0","22,2","23,0","21,5","21,7","15,5","11,0","7,0","",""
"ST GEORGES","QC","Long terme","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1996/01/19","1981/02/21","1979/03/25","1979/04/27","2020/05/29","1975/06/24","1993/07/07","1988/08/05","1973/09/03","2002/10/02","1982/11/04","2020/12/25",""," "
"ST GEORGES","QC","Long terme","Température","Minimum extrême (°C)","-41,0","-41,7","-37,0","-23,0","-7,8","-2,8","0,0","-2,2","-8,0","-10,6","-28,0","-39,0","",""
"ST GEORGES","QC","Long terme","Température","Minimum extrême (°C) (aaaa/mm/jj)","2009/01/16","1967/02/18","1989/03/08","2015/04/06","1966/05/03","1971/06/06","1969/07/07","1965/08/31","1980/09/29","1969/10/31","1995/11/30","1989/12/30",""," "
"ST GEORGES","QC","Normales","Précipitation","Chute de pluie (mm)","20,6","10,3","23,8","77,6","90,3","105,1","128,0","115,1","88,3","104,5","57,4","28,8","849,8","C"
"ST GEORGES","QC","Normales","Précipitation","Chute de neige (cm)","46,0","41,4","32,5","11,5","0,1","0,0","0,0","0,0","0,0","2,3","15,3","53,4","202,4","A"
"ST GEORGES","QC","Normales","Précipitation","Précipitation (mm)","67,4","52,1","57,4","89,0","90,5","105,1","128,0","115,1","88,3","107,4","72,8","81,2","1054,0","C"
"ST GEORGES","QC","Normales","Précipitation","Couverture de neige moyenne (cm)","19","30","21","3","0","0","0","0","0","0","1","9","7","A"
"ST GEORGES","QC","Normales","Précipitation","Couverture de neige médiane (cm)","18","29","20","1","0","0","0","0","0","0","1","9","6","A"
"ST GEORGES","QC","Normales","Précipitation","Couverture de neige, fin de mois (cm)","21","29","10","0","0","0","0","0","0","0","3","16","7","A"
"ST GEORGES","QC","Normales","Précipitation","Extrême quotidien de pluie (mm)","28,0","18,6","24,8","45,0","52,0","59,2","100,0","85,2","61,6","101,2","45,8","45,0","",""
"ST GEORGES","QC","Normales","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","2014/01/11","1996/02/21","1998/03/27","2019/04/19","2012/05/29","2009/06/26","2010/07/09","1993/08/17","2011/09/05","2019/10/31","1994/11/02","2000/12/17",""," "
"ST GEORGES","QC","Normales","Précipitation","Extrême quotidien de neige (cm)","31,3","35,8","30,0","40,4","4,0","0,0","0,0","0,0","0,0","16,2","32,0","36,4","",""
"ST GEORGES","QC","Normales","Précipitation","Extrême quotidien de neige (cm) (aaaa/mm/jj)","1998/01/23","2007/02/14","2011/03/06","2007/04/12","2020/05/11","1991/06/01","1991/07/01","1991/08/01","1991/09/01","2000/10/29","1991/11/11","2007/12/16",""," "
"ST GEORGES","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm)","31,3","35,8","38,0","45,0","52,0","59,2","100,0","85,2","61,6","101,2","45,8","46,4","",""
"ST GEORGES","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","1998/01/23","2007/02/14","2011/03/06","2019/04/19","2012/05/29","2009/06/26","2010/07/09","1993/08/17","2011/09/05","2019/10/31","1994/11/02","2000/12/17",""," "
"ST GEORGES","QC","Normales","Précipitation","Extrême quotidien couverture de neige (cm)","63","85","85","68","4","0","0","0","0","20","30","60","",""
"ST GEORGES","QC","Normales","Précipitation","Extrême quotidien couverture de neige (cm) (aaaa/mm/jj)","2019/01/30","2000/02/17","2008/03/21","2014/04/01","2020/05/12","1991/06/01","1991/07/01","1991/08/01","1991/09/01","2000/10/30","2018/11/17","2013/12/29",""," "
"ST GEORGES","QC","Long terme","Précipitation","Extrême quotidien de pluie (mm)","39,6","18,6","29,0","45,0","52,0","59,2","100,0","102,6","80,8","101,2","45,8","45,0","",""
"ST GEORGES","QC","Long terme","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","1986/01/26","1996/02/21","1989/03/28","2019/04/19","2012/05/29","2009/06/26","2010/07/09","1990/08/13","1981/09/23","2019/10/31","1994/11/02","2000/12/17",""," "
