"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"ST LUDGER","QC","Normales","Température","Moyenne quotidienne (°C)","-10,9","-9,7","-4,1","3,8","10,8","16,0","18,5","17,5","13,3","6,5","0,2","-7,0","4,6","C"
"ST LUDGER","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,1","3,0","2,0","1,5","1,7","1,1","1,3","1,0","1,5","1,7","1,6","2,2","3,2","C"
"ST LUDGER","QC","Normales","Température","Maximum quotidien (°C)","-5,5","-4,0","1,4","9,1","17,4","22,1","24,5","23,5","19,4","11,8","4,5","-2,1","10,2","A"
"ST LUDGER","QC","Normales","Température","Minimum quotidien (°C)","-15,9","-15,3","-9,6","-2,0","4,4","9,8","12,8","11,5","7,2","1,5","-4,2","-11,0","-0,9","A"
"ST LUDGER","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","11,5","8,6","13,5","19,0","24,3","25,3","27,5","25,2","26,5","19,6","15,5","10,8","",""
"ST LUDGER","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","2018/02/21","2012/03/22","2004/04/30","2017/05/18","1995/06/19","2002/07/03","2009/08/18","2002/09/09","2005/10/05","2002/11/11","2001/12/06",""," "
"ST LUDGER","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-30,5","-28,0","-24,5","-15,3","0,3","5,8","10,3","9,0","0,0","-4,3","-14,0","-28,3","",""
"ST LUDGER","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1993/02/06","2007/03/06","1995/04/05","1997/05/07","2002/06/03","1992/07/02","1994/08/31","1992/09/30","1992/10/31","1995/11/30","1993/12/27",""," "
"ST LUDGER","QC","Normales","Température","Maximum extrême (°C)","18,0","15,8","24,5","29,2","33,3","33,2","33,0","32,5","33,0","27,1","22,0","16,8","",""
"ST LUDGER","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2017/02/23","2012/03/21","2010/04/03","2020/05/27","2020/06/20","1993/07/06","2002/08/14","2002/09/09","2005/10/05","2020/11/10","2020/12/01",""," "
