"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"THETFORD MINES","QC","Normales","Température","Moyenne quotidienne (°C)","-11,5","-10,2","-4,5","3,1","10,9","15,9","18,4","17,4","13,2","6,4","-0,3","-7,3","4,3","A"
"THETFORD MINES","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,9","2,7","2,4","1,7","1,7","1,3","1,2","1,1","1,5","1,7","2,1","2,5","1,4","A"
"THETFORD MINES","QC","Normales","Température","Maximum quotidien (°C)","-6,9","-5,4","0,3","7,8","16,4","21,3","23,5","22,5","18,3","10,7","3,4","-3,5","9,0","A"
"THETFORD MINES","QC","Normales","Température","Minimum quotidien (°C)","-16,1","-15,0","-9,2","-1,7","5,3","10,5","13,2","12,3","8,0","2,2","-3,9","-11,1","-0,5","A"
"THETFORD MINES","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","11,0","9,0","14,7","18,5","24,8","26,3","27,8","25,0","25,5","20,5","15,0","10,5","",""
"THETFORD MINES","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","1994/02/20","2012/03/21","2004/04/30","2020/05/27","1994/06/17","2002/07/03","2002/08/14","2002/09/09","2005/10/05","1996/11/08","2001/12/06",""," "
"THETFORD MINES","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-30,4","-29,5","-24,5","-15,5","-0,7","4,2","10,0","9,3","0,3","-4,8","-17,4","-29,5","",""
"THETFORD MINES","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1993/02/06","2003/03/03","1995/04/05","2020/05/09","2020/06/01","2007/07/01","2020/08/30","1992/09/30","2013/10/29","2018/11/22","1993/12/27",""," "
"THETFORD MINES","QC","Normales","Température","Maximum extrême (°C)","14,0","14,3","22,2","27,5","32,1","32,5","32,5","31,0","32,0","26,0","20,5","15,0","",""
"THETFORD MINES","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2017/02/25","2012/03/21","2009/04/27","2020/05/27","2020/06/23","2002/07/03","2002/08/14","1999/09/04","2005/10/05","1999/11/03","2001/12/06",""," "
"THETFORD MINES","QC","Normales","Température","Maximum extrême le plus bas (°C)","-28,0","-26,0","-21,0","-12,0","0,0","7,2","13,0","11,7","2,0","-1,9","-13,8","-27,0","",""
"THETFORD MINES","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/14","1993/02/06","2003/03/03","1995/04/05","1997/05/07","2015/06/02","1992/07/04","2009/08/29","1992/09/30","2018/10/25","2018/11/22","1993/12/27",""," "
"THETFORD MINES","QC","Normales","Température","Minimum extrême le plus élevé (°C)","9,0","6,0","8,0","12,0","18,6","21,0","23,0","21,0","19,1","16,4","10,4","7,0","",""
"THETFORD MINES","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","2012/03/22","2001/04/24","2020/05/28","1994/06/17","2002/07/03","2002/08/15","2010/09/02","2014/10/16","2020/11/11","1999/12/06",""," "
"THETFORD MINES","QC","Normales","Température","Minimum extrême (°C)","-35,0","-35,0","-28,7","-19,0","-6,0","-1,2","3,8","1,4","-3,7","-9,8","-22,2","-32,0","",""
"THETFORD MINES","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2014/01/02","1993/02/07","2007/03/07","1995/04/05","1995/05/07","2020/06/01","2015/07/16","1993/08/22","2020/09/20","2020/10/31","2012/11/30","1993/12/27",""," "
"THETFORD MINES","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","11,0","9,5","14,7","21,3","25,6","26,3","27,8","27,3","25,5","20,6","16,0","10,5","",""
"THETFORD MINES","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","1981/02/22","2012/03/21","1990/04/27","1977/05/22","1994/06/17","2002/07/03","1975/08/02","2002/09/09","1979/10/23","1982/11/04","2001/12/06",""," "
"THETFORD MINES","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-32,5","-30,6","-24,5","-15,5","-3,4","2,5","7,5","6,4","0,3","-6,4","-17,4","-30,0","",""
"THETFORD MINES","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1981/01/03","1967/02/12","1984/03/12","1995/04/05","1978/05/01","1980/06/09","1988/07/01","1976/08/30","1992/09/30","1976/10/27","2018/11/22","1980/12/25",""," "
"THETFORD MINES","QC","Long terme","Température","Maximum extrême (°C)","14,0","15,0","22,2","28,5","32,1","32,5","33,0","32,8","32,0","26,1","20,5","15,0","",""
"THETFORD MINES","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","1981/02/22","2012/03/21","1990/04/27","2020/05/27","2020/06/23","1983/07/04","1975/08/01","1999/09/04","1979/10/23","1999/11/03","2001/12/06",""," "
"THETFORD MINES","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-31,0","-27,8","-21,0","-12,0","0,0","6,0","9,0","8,3","2,0","-3,9","-13,8","-27,0","",""
