DT_MAJ_GDUNO,COMBINE_NUO_NUI,CD_ORGNS,NOM_COURT_ORGNS,NOM_OFFCL_ORGNS,ADRS_GEO_L1_GDUNO_ORGNS,ADRS_GEO_L2_GDUNO_ORGNS,CD_POSTL_GDUNO_ORGNS,CD_MUNCP_GDUNO_ORGNS,NOM_MUNCP_GDUNO_ORGNS,CD_IMM,NOM_IMM,ADRS_GEO_L1_GDUNO_IMM,ADRS_GEO_L2_GDUNO_IMM,CD_MUNCP_GDUNO_IMM,NOM_MUNCP_GDUNO_IMM,CD_POSTL_GDUNO_IMM,PRESC,PRIM,SEC,FORM_PRO,ADULTE,SITE_WEB_ORGNS,COORD_X_LL84_IMM,COORD_Y_LL84_IMM,ORDRE_ENS,CD_CS,TYPE_CS,STYLE_CART,NOM_MUNCP,NOM_MRC,NOM_REG_ADM,NOM_CEP,NOM_CS
,91773842,689310,CEA Mountain Ridge,Centre d'éducation des adultes Mountain Ridge,"503, boulevard Bonne-Espérance",Vieux-Fort,G0G2G0,98010,Bonne-Espérance,689065,Mountain Ridge,Vieux Fort,,98010,Bonne-Espérance,G0G2G0,0,0,0,0,1,,-57.817514,51.425927,Éducation aux adultes,689000,Statut,9_OrgImm_Statut_Adu,Bonne-Espérance,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,281473792,689311,CEA Saint-Bernard,Centre d'éducation des adultes Saint-Bernard,"16, rue du Cap",Lourdes-de-Blanc-Sablon,G0G1W0,98005,Blanc-Sablon,689011,Centre éducatif Saint-Bernard,Lourdes-de-Blanc-Sablon,,98005,Blanc-Sablon,G0G1W0,0,0,0,0,1,www.cssdulittoral.gouv.qc.ca,-57.201969,51.412858,Éducation aux adultes,689000,Statut,9_OrgImm_Statut_Adu,Blanc-Sablon,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,91793810,689312,CEA Saint-Augustine,Centre d'éducation des adultes Saint-Augustine,"107, rue de la Brunante",,G0G2R0,98012,Saint-Augustin,689031,Saint-Augustin,Saint-Augustin,,98012,Saint-Augustin,G0G2R0,0,0,0,0,1,,-58.647792,51.226592,Éducation aux adultes,689000,Statut,9_OrgImm_Statut_Adu,Saint-Augustin,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,91803782,689313,CEA Saint-Lawrence,Centre d'éducation des adultes Saint-Lawrence,"3, rue St-Lawrence",Mutton Bay,G0G2C0,98014,Gros-Mécatina,689002,Centre St. Lawrence,Baie-des-Moutons,,98014,Gros-Mécatina,G0G2C0,0,0,0,0,1,,-59.02694,50.773547,Éducation aux adultes,689000,Statut,9_OrgImm_Statut_Adu,Gros-Mécatina,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,91815549,689314,CEA Saint-Paul,Centre d'éducation des adultes Saint-Paul,"2, Baylis West",Rivière Saint-Paul,G0G2P0,98010,Bonne-Espérance,689076,Saint-Paul,Rivière Saint-Paul,,98010,Bonne-Espérance,G0G2P0,0,0,0,0,1,,-57.70766,51.476938,Éducation aux adultes,689000,Statut,9_OrgImm_Statut_Adu,Bonne-Espérance,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,91863846,689317,CEA Saint-Joseph,Centre d'éducation des adultes Saint-Joseph,"2, rue Savoy",Port-Menier,G0G2Y0,98020,L'Île-d'Anticosti,689039,Saint-Joseph,Port-Menier,,98020,L'Île-d'Anticosti,G0G2Y0,0,0,0,0,1,,-64.350185,49.817597,Éducation aux adultes,689000,Statut,9_OrgImm_Statut_Adu,L'Île-d'Anticosti,Minganie,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,91873816,689318,CEA Gabriel-Dionne,Centre d'éducation des adultes Gabriel-Dionne,"261, avenue de l'Église",Tête-à-la-Baleine,G0G2W0,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,689037,Gabriel Dionne,Tête-à-la-Baleine,,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,G0G2W0,0,0,0,0,1,,-59.324862,50.701468,Éducation aux adultes,689000,Statut,9_OrgImm_Statut_Adu,Côte-Nord-du-Golfe-du-Saint-Laurent,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,91883815,689319,CEA Netagamiou,Centre d'éducation des adultes Netagamiou,"61, chemin Netagamiou",Chevery,G0G1G0,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,689036,Nétagamiou,Chevery,,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,G0G1G0,0,0,0,0,1,,-59.618853,50.467458,Éducation aux adultes,689000,Statut,9_OrgImm_Statut_Adu,Côte-Nord-du-Golfe-du-Saint-Laurent,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,91916098,689404,CFP Marie-Sarah,Centre de formation professionnelle Marie-Sarah,"24, chemin du Ruisseau",La Romaine,G0G1M0,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,689118,Centre Marie-Sarah,La Romaine,,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,G0G1M0,0,0,0,1,0,,-60.661024,50.216895,Formation professionnelle,689000,Statut,8_OrgImm_Statut_Fp,La Romaine,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,91923804,689407,CFP Harrington,Centre de formation professionnelle Harrington,"4, allée Mary-Morency",Harrington Harbour,G0G1N0,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,689024,Harrington,Harrington Harbour,,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,G0G1N0,0,0,0,1,0,,-59.48002,50.500156,Formation professionnelle,689000,Statut,8_OrgImm_Statut_Fp,Côte-Nord-du-Golfe-du-Saint-Laurent,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
