DATE_SCRUTIN;NOM_CIRCONSCRIPTION;CODE_CIRCONSCRIPTION;NB_ELECTEURS_DECRET_AV_REV;NB_INSCRIPT_AP_REV_ORD;NB_RADIATION_AP_REV_ORD;NB_CORRECTIONS_AP_REV_ORD;NB_ELECTEURS_AP_REV_ORD;NB_INSCRIPT_AP_REV_SPE;NB_RADIATION_AP_REV_SPE;NB_CORRECTIONS_AP_REV_SPE;NB_ELECTEURS_AP_REV_SPE
2022-10-03;Abitibi-Est;648;33711;104;178;4;33637;182;124;7;33695
2022-10-03;Abitibi-Ouest;642;35416;277;297;15;35396;73;73;7;35396
2022-10-03;Acadie;338;49217;231;225;14;49223;266;128;26;49361
2022-10-03;Anjou-Louis-Riel;366;41818;223;184;14;41857;212;139;9;41930
2022-10-03;Argenteuil;520;51527;169;164;12;51532;229;148;13;51613
2022-10-03;Arthabaska;144;62102;174;266;18;62010;339;262;15;62087
2022-10-03;Beauce-Nord;806;44091;140;208;11;44023;207;158;14;44072
2022-10-03;Beauce-Sud;802;49663;154;209;20;49608;276;181;8;49703
2022-10-03;Beauharnois;218;50872;142;250;4;50764;311;162;7;50913
2022-10-03;Bellechasse;822;45184;122;141;14;45165;243;173;8;45235
2022-10-03;Berthier;566;62354;152;241;10;62265;258;184;16;62339
2022-10-03;Bertrand;588;54872;210;196;14;54886;328;231;11;54983
2022-10-03;Blainville;536;59984;208;165;22;60027;236;163;14;60100
2022-10-03;Bonaventure;850;35968;101;161;8;35908;132;107;14;35933
2022-10-03;Borduas;258;59944;212;278;19;59878;216;199;20;59895
2022-10-03;Bourassa-Sauvé;360;46126;162;118;10;46170;257;193;7;46234
2022-10-03;Brome-Missisquoi;204;66628;236;230;26;66634;350;279;16;66705
2022-10-03;Camille-Laurin;370;49242;280;173;13;49349;327;206;15;49470
2022-10-03;Chambly;238;52365;186;228;12;52323;200;160;10;52363
2022-10-03;Champlain;676;59910;170;139;12;59941;216;165;9;59992
2022-10-03;Chapleau;620;53603;275;157;16;53721;310;184;19;53847
2022-10-03;Charlesbourg;748;57055;227;307;11;56975;276;182;29;57069
2022-10-03;Charlevoix-Côte-de-Beaupré;760;53675;140;148;13;53667;306;238;12;53735
2022-10-03;Châteauguay;226;54259;197;144;22;54312;296;170;6;54438
2022-10-03;Chauveau;754;57780;247;158;18;57869;252;189;10;57932
2022-10-03;Chicoutimi;918;45707;170;154;19;45723;227;176;24;45774
2022-10-03;Chomedey;460;60352;284;144;20;60492;250;147;22;60595
2022-10-03;Chutes-de-la-Chaudière;814;59646;196;171;8;59671;213;157;10;59727
2022-10-03;Côte-du-Sud;826;50069;140;168;14;50041;218;263;20;49996
2022-10-03;D'Arcy-McGee;320;54769;328;168;27;54929;273;199;10;55003
2022-10-03;Deux-Montagnes;508;49070;174;150;17;49094;216;151;15;49159
2022-10-03;Drummond-Bois-Francs;138;52999;146;181;16;52964;297;208;8;53053
2022-10-03;Dubuc;914;41747;115;132;7;41730;113;94;9;41749
2022-10-03;Duplessis;902;37082;132;153;39;37061;118;97;11;37082
2022-10-03;Fabre;466;55278;192;210;18;55260;261;88;18;55433
2022-10-03;Gaspé;854;30171;91;104;14;30158;108;94;16;30172
2022-10-03;Gatineau;614;62462;338;207;28;62593;200;132;4;62661
2022-10-03;Gouin;346;41696;622;373;18;41945;390;268;4;42067
2022-10-03;Granby;206;54998;154;331;6;54821;305;218;18;54908
2022-10-03;Groulx;502;53792;188;233;14;53747;283;171;15;53859
2022-10-03;Hochelaga-Maisonneuve;352;40366;446;348;7;40464;386;225;11;40625
2022-10-03;Hull;602;55209;530;268;22;55471;369;195;9;55645
2022-10-03;Huntingdon;216;46143;102;118;13;46127;121;92;12;46156
2022-10-03;Iberville;210;49549;195;189;7;49555;178;115;12;49618
2022-10-03;Îles-de-la-Madeleine;858;11140;44;45;7;11139;148;136;8;11151
2022-10-03;Jacques-Cartier;310;45986;337;195;10;46128;190;115;11;46203
2022-10-03;Jean-Lesage;736;45089;427;229;12;45287;410;369;9;45328
