"NOM_STATION_COMPOSITE","CODE_DES_NORMALES","NOM_DE_LA_STATION","ID_CLIMATOLOGIQUE","ID_DE_l'OMM","ID_DE_TC","PROVINCE_OU_TERRITOIRE","LATITUDE","LONGITUDE","ALTITUDE(m)"
"BANFF","C","BANFF","3050520","","","ALBERTA","51,18","-115,57","1383,7"
"BANFF","C","BANFF (AUT)","3050521","","","ALBERTA","51,18","-115,57","1396,9"
"BANFF","C","BANFF CS","3050519","71122","WZG","ALBERTA","51,19","-115,55","1396,9"
"BRETON","D","BRETON","3010815","","","ALBERTA","53,17","-114,48","843,0"
"BROOKS","D","BROOKS","3030QLP","71457","WBO","ALBERTA","50,56","-111,85","747,0"
"CALGARY (AÉROPORT)","C","CALGARY INT'L A","3031093","71877","YYC","ALBERTA","51,11","-114,02","1084,1"
"CALGARY (AÉROPORT)","C","CALGARY INTL A","3031092","71877","YYC","ALBERTA","51,12","-114,01","1099,1"
"CAMPSIE","C","CAMPSIE","3061200","","","ALBERTA","54,13","-114,68","670,6"
"CAMPSIE","C","CAMPSIE AUTO","3061201","71636","PZC","ALBERTA","54,13","-114,68","647,0"
"CAMROSE","C","CAMROSE","3011240","71254","WRV","ALBERTA","53,05","-112,82","739,0"
"CARWAY","C","CARWAY","3031400","","","ALBERTA","49,00","-113,38","1354,0"
"CARWAY","C","CARWAY","3031402","71488","PCY","ALBERTA","49,00","-113,38","1354,0"
"CLARESHOLM","A","CLARESHOLM","3031640","71234","WDK","ALBERTA","50,00","-113,64","1009,0"
"CLARESHOLM","A","CLARESHOLM WATERWORKS","3031658","","","ALBERTA","50,02","-113,71","1008,0"
"COLD LAKE","A","COLD LAKE A","3081680","71120","YOD","ALBERTA","54,42","-110,28","541,0"
"CORONATION","C","CORONATION (AUT)","3011885","","WCT","ALBERTA","52,08","-111,45","790,7"
"CORONATION","C","CORONATION A","3011880","","","ALBERTA","52,07","-111,45","791,0"
"CORONATION","C","CORONATION CLIMATE","3011887","71318","WCT","ALBERTA","52,07","-111,45","791,0"
"DRUMHELLER EAST","G","DRUMHELLER EAST","30221LG","71237","WDZ","ALBERTA","51,45","-112,68","678,2"
"EDMONTON (AÉROPORT)","B","EDMONTON INT'L A","3012205","71123","YEG","ALBERTA","53,32","-113,58","723,3"
"EDMONTON (AÉROPORT)","B","EDMONTON INTERNATIONAL CS","3012206","71155","XEG","ALBERTA","53,31","-113,61","715,0"
"EDMONTON (AÉROPORT)","B","EDMONTON INTL A","3012216","71123","YEG","ALBERTA","53,31","-113,58","723,3"
"EDMONTON (CITÉ)","D","EDMONTON BLATCHFORD","3012209","71157","XEC","ALBERTA","53,57","-113,52","671,0"
"EDMONTON (CITÉ)","D","EDMONTON CITY CENTRE A","3012208","","","ALBERTA","53,57","-113,52","670,6"
"EDMONTON (CITÉ)","D","EDMONTON CITY CENTRE AWOS","3012202","71879","YXD","ALBERTA","53,57","-113,52","671,4"
"EDSON","D","EDSON","3062239","71167","YET","ALBERTA","53,58","-116,47","926,9"
"EDSON","D","EDSON A","3062242","71881","YET","ALBERTA","53,60","-116,48","925,4"
"EDSON","D","EDSON A","3062244","","","ALBERTA","53,58","-116,47","927,2"
"EDSON","D","EDSON AWOS A","3062245","71881","PDS","ALBERTA","53,58","-116,47","926,9"
"EDSON","D","EDSON CLIMATE","3062246","71156","ZZJ","ALBERTA","53,58","-116,45","927,0"
"ESTHER","E","ESTHER 1","301B460","71240","WGY","ALBERTA","51,67","-110,21","707,0"
"FABYAN","C","FABYAN","3012515","","","ALBERTA","52,97","-111,00","698,0"
"FORESTBURG PLANT SITE","C","FORESTBURG PLANT SITE","3012652","","","ALBERTA","52,47","-112,12","662,9"
"FORT CHIPEWYAN","C","FORT CHIPEWYAN","3072655","71305","YPY","ALBERTA","58,77","-111,12","238,0"
"FORT CHIPEWYAN","C","FORT CHIPEWYAN A","3072658","","","ALBERTA","58,77","-111,12","232,0"
"FORT CHIPEWYAN","C","FORT CHIPEWYAN AWOS A","3072662","","PCP","ALBERTA","58,77","-111,12","238,0"
"FORT CHIPEWYAN","C","FORT CHIPEWYAN RCS","3072659","71056","PCH","ALBERTA","58,77","-111,12","238,0"
"FORT MCMURRAY","C","FORT MCMURRAY A","3062693","","","ALBERTA","56,65","-111,22","369,1"
"FORT MCMURRAY","C","FORT MCMURRAY A","3062697","71689","YMM","ALBERTA","56,65","-111,22","369,1"
"FORT MCMURRAY","C","FORT MCMURRAY AWOS A","3062700","","","ALBERTA","56,65","-111,22","369,1"
"FORT MCMURRAY","C","FORT MCMURRAY CS","3062696","71585","XMM","ALBERTA","56,65","-111,21","368,8"
"FORT SASKATCHEWAN","D","FORT SASKATCHEWAN","3012710","","","ALBERTA","53,72","-113,18","620,0"
"GARDEN RIVER","G","GARDEN RIVER","307KPFP","71253","WGF","ALBERTA","58,71","-113,87","240,8"
"GRANDE PRAIRIE","C","GRANDE PRAIRIE A","3072920","71940","YQU","ALBERTA","55,18","-118,89","669,0"
"GRANDE PRAIRIE","C","GRANDE PRAIRIE A","3072921","71940","YQU","ALBERTA","55,18","-118,88","669,0"
"HIGH LEVEL","A","HIGH LEVEL A","3073140","71066","YOJ","ALBERTA","58,62","-117,16","338,0"
"HIGH LEVEL","A","HIGH LEVEL A","3073146","","YOJ","ALBERTA","58,62","-117,16","338,0"
"JASPER","C","JASPER","3053520","","","ALBERTA","52,88","-118,07","1062,2"
"JASPER","C","JASPER WARDEN","3053536","71486","WJW","ALBERTA","52,93","-118,03","1020,0"
"LAC LA BICHE","E","LAC LA BICHE (AUT)","3063685","","","ALBERTA","54,77","-112,02","567,0"
"LAC LA BICHE","E","LAC LA BICHE CLIMATE","3063686","71316","WLB","ALBERTA","54,77","-112,02","567,0"
"LETHBRIDGE","C","LETHBRIDGE","3033875","71267","YQL","ALBERTA","49,63","-112,80","929,0"
"LETHBRIDGE","C","LETHBRIDGE A","3033880","","YQL","ALBERTA","49,63","-112,80","928,7"
"LETHBRIDGE","C","LETHBRIDGE AWOS A","3033884","","YQL","ALBERTA","49,63","-112,80","929,0"
"LETHBRIDGE","C","LETHBRIDGE CDA","3033890","71243","WQL","ALBERTA","49,70","-112,77","910,0"
"LLOYDMINSTER","A","LLOYDMINSTER","3013959","71871","YLL","ALBERTA","53,31","-110,07","668,7"
"LLOYDMINSTER","A","LLOYDMINSTER A","3013961","","","ALBERTA","53,31","-110,07","668,4"
"MEDICINE HAT","C","MEDICINE HAT","3034479","71247","YXH","ALBERTA","50,02","-110,72","716,9"
"MEDICINE HAT","C","MEDICINE HAT A","3034480","","YXH","ALBERTA","50,02","-110,72","716,9"
"MEDICINE HAT","C","MEDICINE HAT AWOS","3034483","","","ALBERTA","50,02","-110,72","716,9"
"MEDICINE HAT","C","MEDICINE HAT RCS","3034485","71026","XMW","ALBERTA","50,03","-110,72","715,0"
"MILK RIVER","D","MILK RIVER","3044533","71244","WRY","ALBERTA","49,13","-112,05","1050,0"
"NORDEGG","D","NORDEGG CS","3054843","71060","XND","ALBERTA","52,49","-116,04","1332,0"
"NORDEGG","D","NORDEGG RS","3054845","","","ALBERTA","52,50","-116,05","1320,1"
"ONEFOUR","E","ONEFOUR CDA","3044923","71116","WOE","ALBERTA","49,12","-110,47","935,0"
"PEACE RIVER","C","PEACE RIVER A","3075040","71068","YPE","ALBERTA","56,23","-117,45","570,9"
"PEACE RIVER","C","PEACE RIVER A","3075041","71068","YPE","ALBERTA","56,23","-117,45","570,9"
"PINCHER CREEK","D","PINCHER CREEK","3035198","71085","ZPC","ALBERTA","49,52","-114,00","1189,6"
"PINCHER CREEK","D","PINCHER CREEK (AUT)","3035206","","PPX","ALBERTA","49,52","-114,00","1189,6"
"PINCHER CREEK","D","PINCHER CREEK A","3035202","","","ALBERTA","49,52","-114,00","1189,9"
"PINCHER CREEK","D","PINCHER CREEK CLIMATE","3035208","71736","PCK","ALBERTA","49,52","-114,00","1190,0"
"QUEENSTOWN","A","QUEENSTOWN","3035340","","","ALBERTA","50,61","-112,98","940,0"
"RED DEER","C","RED DEER A","3025480","71878","YQF","ALBERTA","52,18","-113,89","904,6"
"RED DEER","C","RED DEER REGIONAL A","3025481","","YQF","ALBERTA","52,18","-113,89","904,6"
"RED DEER","C","RED DEER REGIONAL A","3025484","71878","YQF","ALBERTA","52,18","-113,89","904,6"
"RED EARTH","E","RED EARTH","3075488","71246","WRD","ALBERTA","56,55","-115,28","546,0"
"SLAVE LAKE","C","SLAVE LAKE","3065995","71369","YZH","ALBERTA","55,29","-114,78","582,8"
"SLAVE LAKE","C","SLAVE LAKE A","3065999","","","ALBERTA","55,28","-114,78","582,8"
"SLAVE LAKE","C","SLAVE LAKE A","3066001","","","ALBERTA","55,30","-114,78","580,6"
"SLAVE LAKE","C","SLAVE LAKE AWOS A","3066002","","PLV","ALBERTA","55,29","-114,78","582,8"
"SLAVE LAKE","C","SLAVE LAKE RCS","3065997","71693","PZH","ALBERTA","55,29","-114,78","582,8"
"SUNDRE","D","SUNDRE A","3026KNQ","71248","WAV","ALBERTA","51,78","-114,68","1114,4"
"VAUXHALL","E","VAUXHALL CDA CS","3036682","71251","WVO","ALBERTA","50,05","-112,13","779,0"
"VEGREVILLE","C","VEGREVILLE","3016GF0","71458","WVI","ALBERTA","53,51","-112,10","639,3"
"WHITECOURT","C","WHITECOURT A","3057376","","YZU","ALBERTA","54,14","-115,79","782,4"
"WHITECOURT","C","WHITECOURT A","3067372","","YZU","ALBERTA","54,14","-115,79","782,4"
"WHITECOURT","C","WHITECOURT A","3067373","71930","YZU","ALBERTA","54,14","-115,79","782,4"
"ABBOTSFORD","C","ABBOTSFORD A","1100030","71108","YXX","COLOMBIE-BRITANNIQUE","49,03","-122,36","59,1"
"ABBOTSFORD","C","ABBOTSFORD A","1100031","71108","YXX","COLOMBIE-BRITANNIQUE","49,03","-122,36","59,1"
"ADDENBROKE ISLAND","A","ADDENBROKE ISLAND","1060080","","WCZ","COLOMBIE-BRITANNIQUE","51,60","-127,86","21,3"
"AGASSIZ","C","AGASSIZ CDA","1100120","","","COLOMBIE-BRITANNIQUE","49,24","-121,76","15,0"
"AGASSIZ","C","AGASSIZ RCS","1100119","71113","WZA","COLOMBIE-BRITANNIQUE","49,24","-121,76","19,3"
"ATLIN","C","ATLIN","1200560","","","COLOMBIE-BRITANNIQUE","59,57","-133,70","673,6"
"BELLA COOLA","C","BELLA COOLA A","1060841","71206","YBD","COLOMBIE-BRITANNIQUE","52,39","-126,60","35,7"
"BELLA COOLA","C","BELLA COOLA AIRPORT","1060844","71533","VBD","COLOMBIE-BRITANNIQUE","52,39","-126,59","36,9"
"BLUE RIVER","C","BLUE RIVER A","1160899","","YCP","COLOMBIE-BRITANNIQUE","52,13","-119,29","690,4"
"BLUE RIVER","C","BLUE RIVER CS","1160H99","71883","WSV","COLOMBIE-BRITANNIQUE","52,13","-119,29","682,8"
"BOAT BLUFF","B","BOAT BLUFF","1060901","","WZM","COLOMBIE-BRITANNIQUE","52,64","-128,52","10,7"
"BONILLA ISLAND","A","BONILLA ISLAND","1060902","","WVB","COLOMBIE-BRITANNIQUE","53,49","-130,64","16,2"
"BONILLA ISLAND","A","BONILLA ISLAND (AUT)","1060R0K","71484","WWL","COLOMBIE-BRITANNIQUE","53,49","-130,64","12,5"
"BURNS LAKE DECKER LAKE","E","BURNS LAKE DECKER LAKE","1091174","71952","WPZ","COLOMBIE-BRITANNIQUE","54,38","-125,96","713,2"
"CAMPBELL RIVER","C","CAMPBELL RIVER A","1021261","","YBL","COLOMBIE-BRITANNIQUE","49,95","-125,27","108,8"
"CAMPBELL RIVER","C","CAMPBELL RIVER A","1021270","","YBL","COLOMBIE-BRITANNIQUE","49,95","-125,27","108,8"
"CAPE BEALE LIGHT","C","CAPE BEALE LIGHT","1031316","","","COLOMBIE-BRITANNIQUE","48,79","-125,22","25,9"
"CLINTON","E","CLINTON (AUT)","1161661","","ZCL","COLOMBIE-BRITANNIQUE","51,14","-121,50","1056,7"
"CLINTON","E","CLINTON A","1161662","71717","YIN","COLOMBIE-BRITANNIQUE","51,27","-121,68","1126,2"
"CLINTON","E","CLINTON RCS","1161663","71474","NCN","COLOMBIE-BRITANNIQUE","51,14","-121,50","1059,0"
"COMOX","A","COMOX A","1021830","71893","YQQ","COLOMBIE-BRITANNIQUE","49,72","-124,90","25,6"
"CRANBROOK","B","CRANBROOK A","1152102","71880","YXC","COLOMBIE-BRITANNIQUE","49,61","-115,78","940,0"
"CRANBROOK","B","CRANBROOK A","1152105","71880","YXC","COLOMBIE-BRITANNIQUE","49,61","-115,78","940,0"
"CRANBROOK","B","CRANBROOK AIRPORT AUTO","1152106","71660","VXC","COLOMBIE-BRITANNIQUE","49,62","-115,79","926,7"
"CRESTON","A","CRESTON","1142160","","","COLOMBIE-BRITANNIQUE","49,10","-116,52","610,4"
"CRESTON","A","CRESTON CAMPBELL SCIENTIFIC","114B1F0","71770","WJR","COLOMBIE-BRITANNIQUE","49,08","-116,50","640,7"
