"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"ANGERS","QC","Normales","Température","Moyenne quotidienne (°C)","-11,2","-9,5","-3,7","5,0","12,2","17,4","19,6","18,7","14,2","7,4","1,0","-7,0","5,3","C"
"ANGERS","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,5","2,8","2,5","1,5","1,8","1,2","1,2","1,1","1,6","1,7","1,8","2,5","3,8","C"
"ANGERS","QC","Normales","Température","Maximum quotidien (°C)","-5,6","-3,3","2,3","10,7","19,1","23,8","26,2","25,1","20,4","12,6","5,2","-2,1","11,2","A"
"ANGERS","QC","Normales","Température","Minimum quotidien (°C)","-16,5","-15,5","-8,7","-1,0","5,6","10,9","13,4","12,5","8,1","2,2","-3,5","-11,0","-0,3","A"
"ANGERS","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","5,8","7,0","15,0","21,3","24,8","26,5","27,5","28,3","25,0","19,8","14,5","11,0","",""
"ANGERS","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2007/01/05","1994/02/20","2012/03/21","2002/04/17","2010/05/26","1994/06/18","2016/07/22","2006/08/01","2001/09/09","2005/10/04","2015/11/06","2015/12/24",""," "
"ANGERS","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-30,5","-27,8","-23,0","-10,5","1,5","7,3","11,8","10,8","1,5","-4,3","-14,3","-30,0","",""
"ANGERS","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/19","1993/02/06","2003/03/03","1995/04/05","2002/05/02","2009/06/01","2007/07/01","2009/08/27","1991/09/30","1997/10/23","1995/11/29","1993/12/27",""," "
"ANGERS","QC","Normales","Température","Maximum extrême (°C)","10,0","12,0","27,0","30,0","34,0","34,1","35,1","36,0","34,0","27,5","22,0","17,0","",""
"ANGERS","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2011/02/18","2012/03/21","2002/04/17","2010/05/26","2020/06/22","2020/07/09","2001/08/09","2002/09/09","2005/10/04","2020/11/10","2015/12/24",""," "
"ANGERS","QC","Normales","Température","Maximum extrême le plus bas (°C)","-26,0","-24,0","-16,0","-5,5","4,0","11,5","15,0","14,2","6,0","0,0","-8,7","-24,0","",""
"ANGERS","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/15","2016/02/13","2003/03/03","2016/04/03","2010/05/09","2002/06/15","1992/07/03","2017/08/31","1992/09/30","1995/10/30","2018/11/22","1993/12/27",""," "
"ANGERS","QC","Normales","Température","Minimum extrême le plus élevé (°C)","3,0","4,0","4,5","14,0","18,9","22,5","23,2","22,5","20,5","16,5","10,9","6,0","",""
"ANGERS","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/06","1994/02/20","1998/03/31","2012/04/16","2020/05/29","2014/06/30","2020/07/27","2001/08/10","2015/09/09","2014/10/15","2020/11/11","2015/12/11",""," "
