"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"COATICOOK","QC","Normales","Température","Moyenne quotidienne (°C)","-9,5","-8,2","-2,7","5,0","12,1","17,1","19,4","18,6","14,4","7,8","1,4","-5,5","5,8","D"
"COATICOOK","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,1","2,9","2,5","1,6","1,7","1,1","1,1","1,0","1,4","1,7","1,8","2,6","2,5","D"
"COATICOOK","QC","Normales","Température","Maximum quotidien (°C)","-4,8","-3,2","2,0","9,7","17,7","22,3","24,7","23,7","19,5","12,0","4,9","-1,5","10,6","C"
"COATICOOK","QC","Normales","Température","Minimum quotidien (°C)","-13,9","-12,8","-7,2","-0,1","6,7","11,8","14,5","13,5","9,3","3,5","-2,5","-9,2","1,1","C"
"COATICOOK","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","14,3","11,8","16,0","20,0","24,6","26,5","28,0","27,0","26,5","21,0","16,1","12,5","",""
"COATICOOK","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/16","2018/02/21","2012/03/21","2010/04/03","2017/05/18","2005/06/28","2002/07/03","2002/08/15","2002/09/09","2014/10/15","2015/11/06","2001/12/06",""," "
"COATICOOK","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-28,3","-28,0","-23,5","-13,5","0,0","6,8","11,3","11,0","0,0","-2,8","-12,5","-25,5","",""
"COATICOOK","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1993/02/06","2003/03/03","1995/04/05","1997/05/07","2002/06/03","1992/07/02","1992/08/12","1992/09/30","1997/10/23","1996/11/24","1993/12/27",""," "
"COATICOOK","QC","Normales","Température","Maximum extrême (°C)","17,0","18,9","24,5","28,3","33,0","32,5","33,0","32,0","32,0","26,5","22,1","17,0","",""
"COATICOOK","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/16","2018/02/21","1998/03/31","2010/04/03","2020/05/27","2001/06/15","1993/07/06","2002/08/14","2002/09/09","2005/10/05","2020/11/10","1998/12/07",""," "
"COATICOOK","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,5","-25,0","-21,0","-10,0","1,8","9,0","14,0","12,0","2,0","-1,0","-13,2","-22,8","",""
"COATICOOK","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/26","1993/02/06","2007/03/06","1995/04/05","2010/05/09","2016/06/09","1993/07/22","1994/08/05","1992/09/30","2008/10/29","2018/11/22","2017/12/28",""," "
"COATICOOK","QC","Normales","Température","Minimum extrême le plus élevé (°C)","11,5","6,0","9,5","17,0","20,0","21,5","24,0","23,0","21,0","18,0","13,2","8,5","",""
"COATICOOK","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1995/01/16","1994/02/20","1998/03/28","2002/04/17","2010/05/26","2005/06/13","2010/07/06","2002/08/15","1999/09/07","2014/10/16","2015/11/06","1999/12/06",""," "
"COATICOOK","QC","Normales","Température","Minimum extrême (°C)","-35,5","-35,5","-28,5","-17,0","-5,0","-0,3","3,0","3,5","-4,0","-8,6","-20,5","-30,5","",""
"COATICOOK","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/27","1993/02/07","2007/03/09","1995/04/05","1995/05/07","2020/06/01","1992/07/02","1993/08/22","2000/09/29","2020/10/31","2012/11/30","1993/12/27",""," "
"COATICOOK","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","14,3","12,3","16,0","23,9","24,7","26,5","28,0","27,5","26,5","23,9","17,8","13,4","",""
"COATICOOK","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/16","1981/02/21","2012/03/21","1976/04/18","1971/05/20","2005/06/28","2002/07/03","1987/08/17","2002/09/09","1963/10/25","1959/11/06","1966/12/10",""," "
"COATICOOK","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-30,0","-28,4","-23,5","-14,5","-2,3","5,3","9,5","6,7","0,0","-4,8","-15,0","-30,3","",""
"COATICOOK","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1968/01/08","1979/02/17","2003/03/03","1954/04/03","1978/05/01","1965/06/03","1962/07/02","1957/08/28","1992/09/30","1972/10/20","1958/11/30","1955/12/21",""," "
"COATICOOK","QC","Long terme","Température","Maximum extrême (°C)","17,8","18,9","24,5","29,5","33,0","33,3","35,0","34,4","32,2","28,9","25,0","17,8","",""
"COATICOOK","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1950/01/04","2018/02/21","1998/03/31","1990/04/27","2020/05/27","1957/06/17","1964/07/22","1975/08/02","1960/09/09","1949/10/11","1950/11/02","1966/12/10",""," "
"COATICOOK","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-28,9","-25,0","-21,0","-12,2","1,1","7,2","10,0","10,0","2,0","-3,3","-13,3","-26,7","",""
"COATICOOK","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1968/01/08","1979/02/10","2007/03/06","1954/04/03","1966/05/09","1972/06/10","1957/07/01","1965/08/29","1992/09/30","1969/10/23","1958/11/30","1955/12/21",""," "
"COATICOOK","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","11,5","9,5","9,5","20,0","20,0","22,2","24,0","23,0","21,0","21,1","14,4","8,9","",""
"COATICOOK","QC","Long terme","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1995/01/16","1981/02/21","1986/03/30","1976/04/18","2010/05/26","1975/06/24","2010/07/06","2002/08/15","1999/09/07","1963/10/25","1959/11/06","1966/12/10",""," "
"COATICOOK","QC","Long terme","Température","Minimum extrême (°C)","-41,7","-36,1","-29,4","-20,0","-7,8","-2,2","-1,1","-1,1","-5,6","-10,6","-25,0","-36,1","",""
"COATICOOK","QC","Long terme","Température","Minimum extrême (°C) (aaaa/mm/jj)","1957/01/15","1955/02/02","1950/03/04","1954/04/05","1956/05/07","1953/06/03","1962/07/02","1957/08/28","1956/09/27","1956/10/25","1949/11/28","1955/12/22",""," "
"COATICOOK","QC","Normales","Précipitation","Chute de pluie (mm)","23,7","12,9","28,9","76,0","105,5","129,5","120,4","119,5","103,8","104,2","62,0","33,3","919,6","D"
"COATICOOK","QC","Normales","Précipitation","Chute de neige (cm)","59,3","60,8","51,7","15,0","1,3","0,0","0,0","0,0","0,0","5,3","26,1","71,1","290,6","C"
"COATICOOK","QC","Normales","Précipitation","Précipitation (mm)","84,5","73,8","80,1","90,1","107,8","129,5","120,4","119,5","103,8","110,0","91,3","105,6","1216,5","D"
"COATICOOK","QC","Normales","Précipitation","Couverture de neige moyenne (cm)","19","26","22","3","0","0","0","0","0","0","3","12","7","C"
"COATICOOK","QC","Normales","Précipitation","Couverture de neige médiane (cm)","19","26","21","0","0","0","0","0","0","0","2","12","7","C"
"COATICOOK","QC","Normales","Précipitation","Couverture de neige, fin de mois (cm)","21","25","10","0","0","0","0","0","0","0","5","17","7","A"
"COATICOOK","QC","Normales","Précipitation","Extrême quotidien de pluie (mm)","44,6","43,6","30,4","43,6","54,2","76,0","54,8","87,0","116,2","82,8","41,6","45,8","",""
"COATICOOK","QC","Normales","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","1998/01/08","2016/02/24","2010/03/22","2011/04/26","2011/05/26","2015/06/09","2010/07/09","2011/08/28","2012/09/04","2019/10/31","2009/11/14","1996/12/01",""," "
"COATICOOK","QC","Normales","Précipitation","Extrême quotidien de neige (cm)","24,0","49,0","56,0","29,0","12,0","0,0","0,0","0,0","0,0","32,0","27,0","39,0","",""
"COATICOOK","QC","Normales","Précipitation","Extrême quotidien de neige (cm) (aaaa/mm/jj)","1998/01/15","2007/02/14","2017/03/14","2007/04/04","2004/05/03","1991/06/01","1991/07/01","1991/08/01","1991/09/01","2005/10/25","2018/11/27","2003/12/06",""," "
"COATICOOK","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm)","44,6","49,0","59,0","43,6","54,2","76,0","54,8","87,0","116,2","82,8","41,6","50,6","",""
"COATICOOK","QC","Normales","Précipitation","Extrême quotidien de précipitation (mm) (aaaa/mm/jj)","1998/01/08","2007/02/14","2011/03/06","2011/04/26","2011/05/26","2015/06/09","2010/07/09","2011/08/28","2012/09/04","2019/10/31","2009/11/14","2000/12/17",""," "
"COATICOOK","QC","Normales","Précipitation","Extrême quotidien couverture de neige (cm)","53","78","92","54","12","0","0","0","0","32","37","56","",""
"COATICOOK","QC","Normales","Précipitation","Extrême quotidien couverture de neige (cm) (aaaa/mm/jj)","1994/01/24","2000/02/19","2011/03/08","2001/04/01","2004/05/04","1991/06/01","1991/07/01","1991/08/01","1991/09/01","2005/10/26","2018/11/28","2003/12/15",""," "
"COATICOOK","QC","Long terme","Précipitation","Extrême quotidien de pluie (mm)","44,6","46,5","38,9","43,6","54,2","113,0","69,3","87,0","116,2","82,8","53,3","45,8","",""
"COATICOOK","QC","Long terme","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","1998/01/08","1954/02/21","1973/03/17","2011/04/26","2011/05/26","1954/06/27","1951/07/12","2011/08/28","2012/09/04","2019/10/31","1959/11/27","1996/12/01",""," "
