"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"DRUMMONDVILLE","QC","Normales","Température","Moyenne quotidienne (°C)","-9,7","-8,0","-2,4","5,9","13,4","18,8","21,1","20,1","15,7","9,0","2,2","-5,2","6,7","C"
"DRUMMONDVILLE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,2","2,7","2,6","1,5","1,7","1,1","1,2","1,1","1,4","1,8","1,7","2,9","3,8","C"
"DRUMMONDVILLE","QC","Normales","Température","Maximum quotidien (°C)","-5,2","-3,2","2,3","10,7","19,1","23,8","26,0","25,1","20,7","13,2","5,9","-1,4","11,4","A"
"DRUMMONDVILLE","QC","Normales","Température","Minimum quotidien (°C)","-14,2","-12,8","-7,2","0,9","8,0","13,6","16,2","15,2","10,9","4,7","-1,5","-8,8","2,1","C"
"DRUMMONDVILLE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","11,3","9,3","17,5","22,3","25,8","28,3","29,3","28,0","27,5","22,0","17,0","11,8","",""
"DRUMMONDVILLE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/22","2004/04/30","2010/05/25","2012/06/21","2002/07/02","2001/08/07","2002/09/09","2002/10/02","2002/11/11","2001/12/06",""," "
"DRUMMONDVILLE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-30,0","-27,3","-22,0","-11,5","1,8","9,0","13,8","11,8","3,0","-2,5","-12,8","-27,8","",""
"DRUMMONDVILLE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","1993/02/06","2003/03/03","1995/04/05","1997/05/07","2015/06/02","1997/07/19","1994/08/31","1992/09/30","1992/10/31","2012/11/30","1993/12/27",""," "
"DRUMMONDVILLE","QC","Normales","Température","Maximum extrême (°C)","16,0","16,0","25,0","30,0","33,0","34,5","34,5","34,5","34,0","27,0","22,0","18,0","",""
"DRUMMONDVILLE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2017/02/25","2012/03/21","2009/04/27","2010/05/25","1994/06/18","2002/07/02","2002/08/14","2002/09/09","2005/10/04","2002/11/11","2015/12/24",""," "
"DRUMMONDVILLE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,5","-24,5","-18,0","-7,0","4,5","11,0","16,5","14,0","6,0","1,0","-9,5","-24,5","",""
