"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"FORET MONTMORENCY","QC","Normales","Température","Moyenne quotidienne (°C)","-15,0","-14,0","-8,5","-0,6","6,9","12,5","14,8","13,7","9,4","3,3","-4,0","-10,7","0,6","C"
"FORET MONTMORENCY","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,0","3,0","2,7","1,7","1,6","1,0","1,1","1,0","1,2","1,8","2,0","2,6","3,2","C"
"FORET MONTMORENCY","QC","Normales","Température","Maximum quotidien (°C)","-8,9","-7,4","-1,9","5,1","13,6","19,3","21,2","20,1","15,3","7,9","0,5","-5,4","6,6","C"
"FORET MONTMORENCY","QC","Normales","Température","Minimum quotidien (°C)","-21,2","-20,6","-15,0","-6,4","0,1","5,7","8,4","7,3","3,4","-1,3","-8,5","-15,9","-5,4","A"
"FORET MONTMORENCY","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","7,0","5,3","10,2","12,0","20,1","24,0","23,0","22,0","22,5","18,1","9,8","6,5","",""
"FORET MONTMORENCY","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","2012/03/21","2012/04/16","2020/05/29","1994/06/17","2018/07/02","1993/08/26","2001/09/09","2011/10/09","1996/11/08","2020/12/01",""," "
"FORET MONTMORENCY","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-34,9","-30,8","-27,3","-19,8","-5,9","1,9","7,0","5,4","-3,0","-10,3","-20,2","-33,5","",""
"FORET MONTMORENCY","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2009/01/16","1995/02/06","2017/03/11","1995/04/05","2008/05/01","2020/06/01","2001/07/26","2006/08/24","1991/09/29","2020/10/31","2013/11/30","1993/12/27",""," "
"FORET MONTMORENCY","QC","Normales","Température","Maximum extrême (°C)","9,5","8,5","21,1","23,0","29,0","31,5","31,0","29,0","28,8","23,2","16,2","10,8","",""
"FORET MONTMORENCY","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","1998/02/28","2012/03/21","2010/04/03","1992/05/21","2001/06/15","2012/07/14","1993/08/26","2008/09/02","2011/10/09","2008/11/06","2020/12/01",""," "
"FORET MONTMORENCY","QC","Normales","Température","Maximum extrême le plus bas (°C)","-31,5","-28,5","-23,6","-15,0","-0,7","6,2","10,5","10,1","-1,0","-4,0","-14,7","-30,0","",""
"FORET MONTMORENCY","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1997/01/17","1995/02/06","2017/03/11","1995/04/05","2010/05/10","2015/06/02","1991/07/09","2020/08/30","1992/09/30","1997/10/23","2018/11/22","1993/12/27",""," "
"FORET MONTMORENCY","QC","Normales","Température","Minimum extrême le plus élevé (°C)","4,5","2,5","3,4","6,5","15,6","19,5","20,0","19,0","19,0","13,0","6,0","2,2","",""
