"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"FRELIGHSBURG","QC","Normales","Température","Moyenne quotidienne (°C)","-8,1","-6,8","-1,8","5,8","13,1","17,7","20,3","19,4","15,3","8,7","2,5","-4,3","6,8","C"
"FRELIGHSBURG","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,1","2,7","2,5","1,5","1,7","1,0","1,1","1,0","1,3","1,8","2,1","2,7","1,2","C"
"FRELIGHSBURG","QC","Normales","Température","Maximum quotidien (°C)","-3,4","-1,9","3,0","11,0","18,7","23,0","25,6","24,6","20,5","13,2","6,5","-0,2","11,7","C"
"FRELIGHSBURG","QC","Normales","Température","Minimum quotidien (°C)","-12,9","-11,8","-6,6","0,5","7,4","12,4","15,1","14,2","10,0","4,3","-1,6","-8,4","1,9","C"
"FRELIGHSBURG","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","16,1","10,5","18,2","22,2","26,5","27,6","28,6","28,1","26,5","22,6","17,8","12,3","",""
"FRELIGHSBURG","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","2017/02/23","1998/03/28","2012/04/16","2020/05/27","1995/06/19","1995/07/14","2001/08/09","2010/09/03","2014/10/15","2012/11/12","2001/12/06",""," "
"FRELIGHSBURG","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-29,8","-25,6","-22,2","-11,2","0,9","7,8","12,9","11,6","2,5","-2,1","-15,5","-25,2","",""
"FRELIGHSBURG","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","1995/02/06","2003/03/03","1995/04/05","2020/05/09","2020/06/01","2007/07/01","2000/08/17","2000/09/28","2002/10/30","2018/11/22","1993/12/27",""," "
"FRELIGHSBURG","QC","Normales","Température","Maximum extrême (°C)","18,4","18,2","25,7","30,5","33,4","34,1","34,0","34,4","33,0","26,3","22,2","18,5","",""
"FRELIGHSBURG","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2018/02/21","2012/03/21","2009/04/27","2020/05/27","1999/06/27","2020/07/10","2001/08/09","1999/09/04","1995/10/13","2020/11/10","2001/12/06",""," "
"FRELIGHSBURG","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,2","-23,4","-19,1","-7,4","2,8","11,1","14,8","14,2","7,1","0,1","-12,5","-22,3","",""
"FRELIGHSBURG","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/15","1995/02/06","2007/03/06","1995/04/05","2010/05/09","2016/06/09","1997/07/19","2000/08/17","2000/09/28","2000/10/29","2018/11/22","2017/12/28",""," "
"FRELIGHSBURG","QC","Normales","Température","Minimum extrême le plus élevé (°C)","13,8","5,4","11,5","16,2","20,8","22,9","24,0","22,9","22,4","18,8","14,9","10,8","",""
"FRELIGHSBURG","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1995/01/15","2017/02/23","1998/03/27","2012/04/16","2020/05/28","1995/06/19","1995/07/14","2002/08/15","2010/09/02","2014/10/15","2012/11/12","1999/12/06",""," "
"FRELIGHSBURG","QC","Normales","Température","Minimum extrême (°C)","-37,0","-31,8","-29,1","-15,0","-3,2","1,7","5,9","4,1","-3,1","-7,3","-19,2","-30,0","",""
