"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"ILES DE LA MADELEINE","QC","Normales","Température","Moyenne quotidienne (°C)","-5,5","-6,8","-3,6","1,5","7,1","12,5","17,7","18,4","14,5","9,0","3,6","-1,3","5,6","A"
"ILES DE LA MADELEINE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,0","2,4","2,0","1,3","1,2","1,1","1,4","1,0","1,1","1,2","1,1","1,5","0,9","A"
"ILES DE LA MADELEINE","QC","Normales","Température","Maximum quotidien (°C)","-2,5","-3,6","-0,7","4,1","10,4","15,9","20,8","21,3","17,3","11,4","6,1","1,1","8,5","A"
"ILES DE LA MADELEINE","QC","Normales","Température","Minimum quotidien (°C)","-8,4","-10,1","-6,4","-1,2","3,7","9,1","14,6","15,4","11,7","6,4","1,3","-3,6","2,7","A"
"ILES DE LA MADELEINE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","9,1","6,4","6,8","11,4","18,6","21,7","24,8","25,4","23,0","18,3","13,6","9,5","",""
"ILES DE LA MADELEINE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2006/01/15","2000/02/28","2012/03/22","2011/04/29","2020/05/29","2014/06/30","2007/07/28","2002/08/15","2010/09/02","2010/10/01","2020/11/10","2020/12/02",""," "
"ILES DE LA MADELEINE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-22,3","-23,8","-20,6","-9,3","-1,7","4,5","9,3","10,7","6,8","1,7","-5,5","-16,7","",""
"ILES DE LA MADELEINE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1994/02/08","1992/03/01","1994/04/02","1993/05/10","2018/06/03","1992/07/02","1995/08/26","2000/09/29","2018/10/26","2018/11/22","1993/12/28",""," "
"ILES DE LA MADELEINE","QC","Normales","Température","Maximum extrême (°C)","12,3","9,0","12,0","17,2","25,4","27,1","29,4","30,1","26,6","21,6","17,3","13,1","",""
"ILES DE LA MADELEINE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","2006/01/15","2000/02/28","2012/03/22","2007/04/23","2020/05/28","2020/06/18","1999/07/17","2001/08/10","2001/09/09","2010/10/01","2020/11/10","2020/12/02",""," "
"ILES DE LA MADELEINE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-19,4","-21,4","-19,0","-5,8","0,8","5,9","10,7","12,3","9,0","2,8","-3,3","-15,0","",""
"ILES DE LA MADELEINE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1993/01/31","1994/02/08","1992/03/01","1994/04/02","1992/05/06","2018/06/03","1993/07/17","1998/08/13","2004/09/21","2020/10/30","2014/11/29","1993/12/28",""," "
"ILES DE LA MADELEINE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","5,9","3,7","4,4","8,9","14,7","17,7","21,8","21,7","19,9","15,1","10,9","6,5","",""
"ILES DE LA MADELEINE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2006/01/15","2000/02/28","1998/03/10","2017/04/28","2020/05/29","2005/06/29","2007/07/28","2002/08/15","2010/09/02","2011/10/01","2003/11/21","2005/12/01",""," "
"ILES DE LA MADELEINE","QC","Normales","Température","Minimum extrême (°C)","-26,5","-26,3","-22,2","-12,9","-4,7","1,1","7,7","6,6","2,1","-1,9","-9,4","-18,4","",""
"ILES DE LA MADELEINE","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/26","1993/02/06","2014/03/05","1995/04/05","1993/05/10","2000/06/06","1992/07/02","1995/08/23","2008/09/25","2018/10/23","1993/11/24","1993/12/28",""," "
"ILES DE LA MADELEINE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","9,1","6,4","6,8","11,4","18,6","21,7","24,8","25,4","23,0","18,3","13,6","9,5","",""
