"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"L'ASSOMPTION","QC","Normales","Température","Moyenne quotidienne (°C)","-10,9","-9,4","-3,2","5,5","13,2","18,4","20,7","19,6","15,2","8,1","1,3","-6,1","6,0","A"
"L'ASSOMPTION","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,1","2,8","2,4","1,4","1,6","1,0","1,3","1,0","1,3","1,7","1,8","2,9","2,1","A"
"L'ASSOMPTION","QC","Normales","Température","Maximum quotidien (°C)","-5,9","-4,0","1,8","10,8","19,2","24,3","26,6","25,5","21,1","13,0","5,4","-1,9","11,3","A"
"L'ASSOMPTION","QC","Normales","Température","Minimum quotidien (°C)","-16,0","-14,8","-8,3","0,1","7,2","12,4","14,8","13,7","9,2","3,2","-2,7","-10,2","0,7","A"
"L'ASSOMPTION","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","6,6","5,8","15,3","22,0","27,4","28,4","29,1","28,1","27,2","21,6","15,3","10,4","",""
"L'ASSOMPTION","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2007/01/05","1994/02/20","2012/03/21","2012/04/16","2020/05/27","2012/06/21","2011/07/21","2006/08/01","2010/09/01","2005/10/04","1996/11/08","2015/12/24",""," "
"L'ASSOMPTION","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-28,6","-26,0","-23,8","-10,4","2,6","8,4","13,4","12,4","3,0","-1,9","-16,3","-28,5","",""
"L'ASSOMPTION","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","2016/02/14","2003/03/03","1995/04/05","2020/05/08","2003/06/01","2001/07/06","2009/08/28","1992/09/30","2013/10/29","1995/11/29","1993/12/27",""," "
"L'ASSOMPTION","QC","Normales","Température","Maximum extrême (°C)","11,7","8,8","26,0","30,9","36,2","35,2","36,1","34,3","32,8","27,1","22,3","16,4","",""
"L'ASSOMPTION","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2017/02/23","2012/03/21","2009/04/27","2020/05/27","2020/06/22","2018/07/02","2006/08/01","2010/09/01","2005/10/04","2020/11/10","2015/12/24",""," "
"L'ASSOMPTION","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,0","-22,8","-19,4","-5,7","4,3","11,5","16,6","15,5","6,0","1,5","-10,0","-25,5","",""
"L'ASSOMPTION","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/15","1995/02/06","2003/03/03","1995/04/05","2002/05/14","2003/06/01","2017/07/24","2020/08/29","1992/09/30","1992/10/29","1995/11/29","1993/12/27",""," "
"L'ASSOMPTION","QC","Normales","Température","Minimum extrême le plus élevé (°C)","4,6","3,0","5,9","14,8","22,2","23,0","24,2","21,8","21,5","16,0","11,8","4,8","",""
"L'ASSOMPTION","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","1994/02/20","2012/03/22","2012/04/16","2020/05/28","2005/06/13","2005/07/18","2006/08/01","2003/09/15","2005/10/04","1996/11/08","2017/12/05",""," "
"L'ASSOMPTION","QC","Normales","Température","Minimum extrême (°C)","-40,0","-33,0","-29,5","-15,1","-3,8","1,3","5,0","3,2","-2,5","-8,4","-22,9","-31,5","",""
