"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"LACHUTE","QC","Normales","Température","Moyenne quotidienne (°C)","-10,2","-8,3","-2,5","5,9","13,3","18,4","20,5","19,8","15,4","8,4","1,6","-6,0","6,4","C"
"LACHUTE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,2","2,5","2,5","1,5","1,7","1,1","1,1","1,0","1,6","1,6","1,7","2,9","3,2","C"
"LACHUTE","QC","Normales","Température","Maximum quotidien (°C)","-5,5","-3,6","2,4","11,0","19,4","24,1","26,5","25,4","20,8","12,8","5,2","-1,9","11,4","A"
"LACHUTE","QC","Normales","Température","Minimum quotidien (°C)","-14,7","-13,6","-7,2","0,5","7,4","12,6","15,1","14,3","9,9","3,7","-2,3","-9,5","1,4","A"
"LACHUTE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","6,8","7,0","16,0","21,3","26,8","28,0","28,6","28,3","26,2","20,3","13,3","10,9","",""
"LACHUTE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2008/01/09","1994/02/20","2012/03/21","2002/04/16","2010/05/26","1994/06/17","2010/07/07","2001/08/07","2010/09/01","2005/10/04","2003/11/01","2015/12/24",""," "
"LACHUTE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-28,0","-25,8","-23,5","-10,5","2,8","8,3","13,3","11,8","2,5","-1,8","-13,1","-28,5","",""
"LACHUTE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2009/01/16","1993/02/06","2003/03/03","1995/04/05","2002/05/02","2009/06/01","2001/07/06","1994/08/31","1991/09/30","1997/10/23","2012/11/30","1993/12/27",""," "
"LACHUTE","QC","Normales","Température","Maximum extrême (°C)","10,5","12,5","26,5","31,5","35,8","34,5","36,0","35,5","34,0","27,5","22,0","17,3","",""
"LACHUTE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","2012/03/21","2009/04/27","2020/05/27","1994/06/17","2020/07/10","2001/08/09","2002/09/09","2005/10/04","2020/11/10","2015/12/24",""," "
"LACHUTE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,0","-22,7","-19,0","-6,0","5,0","11,2","15,0","14,5","7,0","1,6","-9,0","-25,5","",""
"LACHUTE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1992/01/16","2016/02/13","2003/03/03","1995/04/05","1996/05/12","2019/06/03","2017/07/24","1994/08/31","1991/09/28","2018/10/28","2018/11/22","1993/12/27",""," "
"LACHUTE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","4,5","3,0","7,7","14,0","20,8","22,0","23,5","24,0","23,0","15,5","11,0","6,0","",""
"LACHUTE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/06","1996/02/21","2012/03/22","2002/04/16","2020/05/28","2005/06/13","2001/07/24","2001/08/10","2007/09/08","1991/10/26","1996/11/08","2001/12/06",""," "
"LACHUTE","QC","Normales","Température","Minimum extrême (°C)","-36,0","-35,0","-30,5","-15,0","-3,5","0,8","6,0","5,0","-3,5","-8,9","-21,6","-31,5","",""
"LACHUTE","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/27","1993/02/07","2007/03/07","1995/04/05","2005/05/13","2020/06/01","1992/07/02","1992/08/13","1991/09/30","2020/10/31","2018/11/22","1993/12/27",""," "
"LACHUTE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","6,8","8,0","16,0","22,3","26,8","28,0","28,6","28,3","26,2","20,3","14,7","10,9","",""
"LACHUTE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2008/01/09","1981/02/22","2012/03/21","1990/04/27","2010/05/26","1994/06/17","2010/07/07","2001/08/07","1973/09/03","1979/10/22","1975/11/08","2015/12/24",""," "
"LACHUTE","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-32,8","-29,5","-23,5","-10,5","-2,0","5,0","11,5","7,8","2,5","-2,8","-14,2","-28,5","",""
"LACHUTE","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1981/01/03","1967/02/12","2003/03/03","1995/04/05","1978/05/01","1980/06/09","1982/07/03","1965/08/31","1991/09/30","1966/10/31","1978/11/27","1980/12/25",""," "
"LACHUTE","QC","Long terme","Température","Maximum extrême (°C)","10,5","12,5","26,5","31,5","35,8","35,0","36,0","35,5","34,0","27,5","22,0","17,3","",""
"LACHUTE","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","2012/03/21","2009/04/27","2020/05/27","1964/06/30","2020/07/10","2001/08/09","2002/09/09","2005/10/04","2020/11/10","2015/12/24",""," "
"LACHUTE","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-29,5","-26,1","-19,0","-6,0","2,2","10,0","13,3","11,7","7,0","1,1","-10,0","-25,5","",""
"LACHUTE","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1981/01/03","1967/02/12","2003/03/03","1995/04/05","1978/05/01","1980/06/09","1972/07/03","1965/08/29","1991/09/28","1969/10/22","1989/11/29","1993/12/27",""," "
"LACHUTE","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","4,5","4,5","7,7","14,0","20,8","24,5","23,5","24,0","23,0","15,5","12,2","6,0","",""
