"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"LA POCATIERE","QC","Normales","Température","Moyenne quotidienne (°C)","-10,9","-9,6","-4,4","3,0","10,4","15,8","18,7","18,0","13,6","7,0","0,8","-6,4","4,7","A"
"LA POCATIERE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,6","2,6","2,1","1,2","1,5","1,1","1,1","1,1","1,2","1,4","1,7","2,4","0,8","A"
"LA POCATIERE","QC","Normales","Température","Maximum quotidien (°C)","-6,5","-5,0","0,1","7,6","16,2","21,6","24,2","23,6","18,9","11,1","4,3","-2,6","9,5","A"
"LA POCATIERE","QC","Normales","Température","Minimum quotidien (°C)","-15,3","-14,3","-8,8","-1,5","4,7","10,0","13,2","12,4","8,3","2,7","-2,7","-10,1","-0,1","A"
"LA POCATIERE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","6,0","8,3","12,6","17,9","27,1","28,9","28,9","27,9","28,6","21,5","18,0","10,4","",""
"LA POCATIERE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1994/02/20","2012/03/21","2009/04/25","2020/05/29","2020/06/19","2002/07/02","2010/08/31","2010/09/01","2005/10/04","2020/11/10","2020/12/01",""," "
"LA POCATIERE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-28,4","-25,5","-20,1","-14,0","0,8","6,4","11,0","10,3","2,0","-3,4","-13,3","-27,8","",""
"LA POCATIERE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1994/02/08","2007/03/08","1995/04/05","1995/05/07","2020/06/01","2009/07/03","2009/08/28","1991/09/29","2008/10/22","1995/11/30","1993/12/27",""," "
"LA POCATIERE","QC","Normales","Température","Maximum extrême (°C)","14,5","11,0","21,8","28,2","33,7","34,7","34,0","35,7","32,7","24,7","21,1","16,2","",""
"LA POCATIERE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","2018/01/12","1994/02/20","2012/03/21","2012/04/16","2020/05/28","2020/06/19","1991/07/20","2012/08/05","2010/09/01","2005/10/04","2002/11/11","2020/12/01",""," "
"LA POCATIERE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-24,9","-22,5","-16,4","-11,0","3,0","8,8","11,9","12,1","5,0","0,0","-9,5","-26,0","",""
"LA POCATIERE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2014/01/02","1995/02/06","2007/03/08","1995/04/05","1992/05/03","2013/06/28","2009/07/03","2008/08/03","1991/09/29","2008/10/22","1995/11/29","1993/12/27",""," "
"LA POCATIERE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","4,0","5,5","4,7","10,3","21,9","23,1","24,7","23,2","24,4","18,2","15,8","6,0","",""
"LA POCATIERE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","1994/02/20","2003/03/29","2007/04/23","2020/05/29","2020/06/19","2002/07/02","1998/08/09","2010/09/01","2005/10/04","2020/11/10","2020/12/25",""," "
"LA POCATIERE","QC","Normales","Température","Minimum extrême (°C)","-33,5","-32,0","-27,2","-17,0","-5,0","-0,2","5,0","2,9","-2,5","-8,8","-18,5","-29,5","",""
"LA POCATIERE","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","1994/01/26","1993/02/21","2007/03/07","1995/04/05","1992/05/07","2020/06/02","1992/07/03","2002/08/31","2018/09/24","2020/10/31","1995/11/30","1993/12/27",""," "
"LA POCATIERE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","6,1","9,3","12,6","19,8","27,1","28,9","30,6","27,9","28,6","22,0","18,0","10,4","",""
"LA POCATIERE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1932/01/14","1981/02/22","2012/03/21","1913/04/25","2020/05/29","2020/06/19","1955/07/10","2010/08/31","2010/09/01","1926/10/05","2020/11/10","2020/12/01",""," "
"LA POCATIERE","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-29,7","-32,2","-24,8","-14,0","-2,0","0,6","8,0","4,5","2,0","-3,9","-16,0","-31,4","",""
"LA POCATIERE","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1914/01/13","1914/02/11","1950/03/03","1995/04/05","1947/05/01","1929/06/03","1988/07/01","1924/08/31","1991/09/29","1929/10/28","1982/11/27","1933/12/29",""," "
"LA POCATIERE","QC","Long terme","Température","Maximum extrême (°C)","14,5","12,5","21,8","28,5","33,7","35,0","35,0","35,7","32,8","27,2","21,1","16,2","",""
"LA POCATIERE","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","2018/01/12","1981/02/11","2012/03/21","1990/04/27","2020/05/28","1919/06/25","1953/07/18","2012/08/05","1900/09/03","1949/10/11","1927/11/02","2020/12/01",""," "
"LA POCATIERE","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-29,4","-28,9","-21,7","-11,0","1,1","5,0","9,0","5,0","4,4","-1,1","-13,3","-30,0","",""
"LA POCATIERE","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1914/01/14","1914/02/12","1950/03/03","1995/04/05","1917/05/12","1925/06/02","1988/07/01","1924/08/31","1928/09/15","1913/10/31","1914/11/18","1933/12/29",""," "
"LA POCATIERE","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","4,0","6,0","7,0","13,5","23,9","23,3","26,1","24,4","24,4","18,2","15,8","6,0","",""
