"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"MONT-JOLI","QC","Normales","Température","Moyenne quotidienne (°C)","-11,3","-10,3","-4,9","2,0","9,0","14,6","17,9","17,1","12,7","6,1","0,4","-6,2","3,9","A"
"MONT-JOLI","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,6","2,7","2,0","1,3","1,4","1,2","1,1","0,9","1,2","1,4","1,7","2,2","1,4","A"
"MONT-JOLI","QC","Normales","Température","Maximum quotidien (°C)","-7,2","-6,2","-0,9","6,0","14,0","19,8","22,9","22,1","17,3","9,7","3,5","-2,9","8,2","A"
"MONT-JOLI","QC","Normales","Température","Minimum quotidien (°C)","-15,4","-14,4","-8,9","-1,9","3,9","9,2","12,9","12,1","8,0","2,5","-2,8","-9,6","-0,4","A"
"MONT-JOLI","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","8,9","8,5","12,8","16,7","25,1","29,0","27,0","27,0","28,6","19,2","18,8","11,7","",""
"MONT-JOLI","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2009/04/25","2020/05/29","2020/06/18","2018/07/25","1998/08/09","2010/09/01","2003/10/11","2020/11/10","2020/12/25",""," "
"MONT-JOLI","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-30,7","-25,4","-22,0","-12,3","-0,5","5,3","9,3","9,0","2,5","-4,0","-10,8","-26,2","",""
"MONT-JOLI","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1993/02/06","1992/03/01","1995/04/05","2020/05/12","1994/06/01","1992/07/09","2020/08/30","2000/09/28","2008/10/22","2018/11/22","1993/12/28",""," "
"MONT-JOLI","QC","Normales","Température","Maximum extrême (°C)","13,3","12,4","23,3","24,5","33,7","35,1","33,0","35,1","32,6","26,2","23,3","16,3","",""
"MONT-JOLI","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","2013/01/31","2000/02/27","2012/03/21","2007/04/23","2020/05/28","2003/06/27","2005/07/19","2012/08/05","2010/09/01","2005/10/04","2020/11/10","2020/12/01",""," "
"MONT-JOLI","QC","Normales","Température","Maximum extrême le plus bas (°C)","-27,3","-22,9","-18,6","-9,0","2,0","6,6","10,9","10,0","6,4","-0,5","-8,7","-24,5","",""
"MONT-JOLI","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2014/01/02","1993/02/06","1992/03/01","1995/04/05","2004/05/09","1994/06/01","1996/07/20","2020/08/30","1992/09/30","2018/10/27","2018/11/22","1993/12/28",""," "
"MONT-JOLI","QC","Normales","Température","Minimum extrême le plus élevé (°C)","4,8","4,6","4,7","9,3","19,5","22,9","23,9","22,7","24,5","15,2","14,2","8,8","",""
