"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"NEW CARLISLE","QC","Normales","Température","Moyenne quotidienne (°C)","-10,1","-9,4","-4,3","2,0","8,3","13,9","17,8","17,3","12,9","6,9","0,9","-5,4","4,2","A"
"NEW CARLISLE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,3","2,5","2,1","1,3","1,2","1,1","1,1","0,9","1,1","1,3","1,4","2,2","1,1","A"
"NEW CARLISLE","QC","Normales","Température","Maximum quotidien (°C)","-5,8","-4,9","0,1","6,1","13,3","19,1","22,7","22,2","17,8","10,8","4,2","-1,9","8,6","A"
"NEW CARLISLE","QC","Normales","Température","Minimum quotidien (°C)","-14,2","-13,8","-8,7","-2,2","3,3","8,7","12,8","12,4","8,0","2,9","-2,4","-8,9","-0,2","A"
"NEW CARLISLE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","5,3","5,8","10,9","14,9","24,5","26,3","26,5","25,8","24,3","20,7","14,0","8,0","",""
"NEW CARLISLE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2018/01/12","2000/02/28","2012/03/22","2012/04/17","2020/05/29","2020/06/18","2005/07/19","2002/08/15","2010/09/01","2011/10/09","2020/11/11","2020/12/01",""," "
"NEW CARLISLE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-26,3","-23,5","-21,5","-11,6","-0,5","3,7","8,8","10,5","4,0","-3,5","-12,4","-25,5","",""
"NEW CARLISLE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1994/02/08","1992/03/01","2016/04/05","1992/05/03","2018/06/03","2009/07/06","2002/08/30","2000/09/29","1993/10/26","1997/11/27","1993/12/28",""," "
"NEW CARLISLE","QC","Normales","Température","Maximum extrême (°C)","10,2","9,6","18,0","24,7","31,7","34,1","33,1","32,7","31,4","25,3","19,9","11,7","",""
"NEW CARLISLE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","2013/01/31","2000/02/28","2012/03/20","2004/04/30","2020/05/29","2003/06/27","2013/07/15","2002/08/15","2010/09/01","2011/10/09","2020/11/11","2020/12/01",""," "
