"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"NICOLET","QC","Normales","Température","Moyenne quotidienne (°C)","-11,6","-10,0","-3,7","4,9","12,9","18,0","20,2","19,2","14,7","8,1","1,2","-6,5","5,6","D"
"NICOLET","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,3","2,5","2,5","1,4","1,5","0,8","1,1","1,0","1,4","1,6","1,8","3,0","2,3","D"
"NICOLET","QC","Normales","Température","Maximum quotidien (°C)","-6,7","-4,8","1,1","9,9","18,9","23,8","25,7","24,7","20,3","12,6","4,9","-2,5","10,6","C"
"NICOLET","QC","Normales","Température","Minimum quotidien (°C)","-16,4","-15,3","-8,6","-0,2","7,0","12,3","14,7","13,7","9,2","3,5","-2,5","-10,3","0,6","C"
"NICOLET","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","9,0","7,0","14,5","20,0","26,6","27,0","29,5","27,0","25,8","20,5","16,5","9,8","",""
"NICOLET","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","1996/02/21","2012/03/22","2004/04/30","2020/05/28","1994/06/16","2002/07/02","2001/08/07","2010/09/01","2002/10/02","1996/11/08","2020/12/01",""," "
"NICOLET","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-29,5","-27,0","-22,5","-11,5","2,5","8,4","13,0","10,0","3,3","-2,0","-14,8","-28,0","",""
"NICOLET","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","2003/02/15","2007/03/07","1995/04/05","1997/05/07","2020/06/02","1992/07/22","1994/08/31","1991/09/29","1992/10/31","2012/11/30","1993/12/27",""," "
"NICOLET","QC","Normales","Température","Maximum extrême (°C)","13,0","11,0","24,5","30,0","34,0","35,0","35,0","33,8","33,0","26,0","21,3","15,3","",""
"NICOLET","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","1996/02/21","2012/03/21","2009/04/25","2010/05/25","2003/06/24","2002/07/02","2002/08/14","2002/09/09","2005/10/04","2020/11/10","2020/12/01",""," "
"NICOLET","QC","Normales","Température","Maximum extrême le plus bas (°C)","-26,0","-24,0","-17,0","-7,0","5,0","10,0","16,0","14,9","6,0","2,0","-10,0","-25,0","",""
"NICOLET","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/14","1993/02/06","2003/03/03","1995/04/05","1996/05/12","2015/06/02","1997/07/19","2020/08/29","1992/09/30","1992/10/29","1995/11/29","1993/12/27",""," "
"NICOLET","QC","Normales","Température","Minimum extrême le plus élevé (°C)","5,0","3,0","9,0","13,0","23,6","22,0","24,0","23,0","22,0","18,0","13,0","5,0","",""
"NICOLET","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","1996/01/19","1996/02/21","2012/03/22","2004/04/30","2020/05/28","2006/06/19","2002/07/02","2012/08/05","2007/09/08","2014/10/15","1996/11/08","1999/12/06",""," "
"NICOLET","QC","Normales","Température","Minimum extrême (°C)","-40,0","-36,5","-32,0","-17,0","-5,0","1,0","5,0","3,0","-4,0","-7,8","-24,0","-35,0","",""
"NICOLET","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2004/01/15","1993/02/21","2007/03/07","2015/04/06","2005/05/13","2000/06/05","1992/07/22","1993/08/22","1992/09/24","2020/10/31","1995/11/30","2004/12/21",""," "
