"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"NORMANDIN","QC","Normales","Température","Moyenne quotidienne (°C)","-17,2","-15,4","-8,4","0,6","9,4","14,9","17,5","16,2","11,5","4,7","-2,5","-11,7","1,6","A"
"NORMANDIN","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,9","3,3","2,9","2,1","1,7","1,3","1,2","1,0","1,5","1,8","2,3","3,1","1,4","A"
"NORMANDIN","QC","Normales","Température","Maximum quotidien (°C)","-10,9","-8,5","-1,7","6,2","16,3","21,7","23,9","22,6","17,7","9,6","1,7","-6,5","7,7","A"
"NORMANDIN","QC","Normales","Température","Minimum quotidien (°C)","-23,4","-22,4","-15,4","-5,0","2,4","8,0","11,1","9,8","5,3","-0,1","-6,6","-16,9","-4,4","A"
"NORMANDIN","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","3,5","4,9","9,2","14,5","24,6","26,9","27,9","25,7","26,4","20,3","16,6","4,6","",""
"NORMANDIN","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2008/01/07","2000/02/27","2012/03/21","2009/04/25","2007/05/24","2003/06/26","2002/07/02","2010/08/31","2010/09/01","2011/10/09","2020/11/10","2015/12/24",""," "
"NORMANDIN","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-39,7","-32,8","-28,5","-17,2","-1,9","3,5","9,4","8,0","0,0","-7,0","-21,1","-36,4","",""
"NORMANDIN","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","2015/02/02","1992/03/01","2016/04/03","2019/05/01","2002/06/02","2006/07/02","2009/08/27","2000/09/28","2020/10/31","1995/11/27","1993/12/27",""," "
"NORMANDIN","QC","Normales","Température","Maximum extrême (°C)","10,4","7,8","17,0","26,2","33,0","36,2","36,5","33,1","33,8","27,8","21,5","9,3","",""
"NORMANDIN","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","1998/02/28","2012/03/21","2009/04/25","1992/05/21","2003/06/26","2002/07/02","2010/08/31","2010/09/01","2011/10/09","2020/11/10","2001/12/06",""," "
"NORMANDIN","QC","Normales","Température","Maximum extrême le plus bas (°C)","-32,8","-26,2","-20,9","-13,6","2,8","5,8","12,5","11,4","5,5","-2,3","-15,0","-31,2","",""
"NORMANDIN","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2014/01/02","2015/02/02","2007/03/06","1995/04/05","1995/05/06","2002/06/02","2006/07/02","2003/08/23","1993/09/30","2020/10/30","1995/11/27","1993/12/27",""," "
"NORMANDIN","QC","Normales","Température","Minimum extrême le plus élevé (°C)","1,7","3,1","1,7","6,5","17,9","19,4","21,5","19,4","18,9","13,5","11,6","1,2","",""
"NORMANDIN","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","2000/02/27","2000/03/29","2013/04/30","2010/05/25","2020/06/19","2018/07/24","1996/08/07","2001/09/09","1991/10/25","2020/11/10","1996/12/02",""," "
"NORMANDIN","QC","Normales","Température","Minimum extrême (°C)","-46,6","-40,4","-39,0","-24,5","-8,8","-3,3","0,0","0,0","-7,4","-13,9","-28,0","-41,6","",""
"NORMANDIN","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2014/01/02","1996/02/04","1992/03/01","2016/04/04","2019/05/01","2000/06/11","1999/07/12","1991/08/25","1995/09/29","2020/10/31","1995/11/30","1993/12/27",""," "
"NORMANDIN","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","4,5","4,9","9,2","18,0","24,6","27,8","27,9","28,6","26,4","20,3","16,6","7,2","",""
"NORMANDIN","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1946/01/06","2000/02/27","2012/03/21","1987/04/18","2007/05/24","1938/06/21","2002/07/02","1942/08/22","2010/09/01","2011/10/09","2020/11/10","1941/12/06",""," "
