"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Moyenne quotidienne (°C)","-11,9","-10,4","-4,5","3,5","11,6","16,7","19,5","18,4","13,7","6,8","-0,1","-7,3","4,7","A"
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,9","2,7","2,4","1,6","1,4","1,1","1,1","0,9","1,3","1,5","1,8","2,6","0,9","A"
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Maximum quotidien (°C)","-7,1","-5,0","0,4","8,3","17,5","22,5","25,0","24,0","19,1","11,3","3,6","-3,3","9,7","A"
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Minimum quotidien (°C)","-16,7","-15,7","-9,3","-1,2","5,6","10,8","13,9","12,8","8,3","2,4","-3,8","-11,4","-0,4","A"
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","7,2","7,1","9,0","18,8","25,7","26,7","28,0","26,2","26,4","18,5","14,5","8,6","",""
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2012/04/16","2020/05/29","2003/06/26","2002/07/02","2002/08/14","2010/09/01","2002/10/01","1996/11/08","2020/12/01",""," "
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-28,8","-27,0","-23,6","-13,9","1,9","5,8","11,9","10,7","1,4","-2,8","-15,5","-29,7","",""
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","1994/02/08","2014/03/03","1995/04/05","1992/05/03","2020/06/01","1997/07/19","2020/08/30","1992/09/30","2020/10/31","2012/11/30","1993/12/27",""," "
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Maximum extrême (°C)","17,7","12,0","18,3","27,5","33,1","34,2","33,4","33,3","33,0","24,8","22,9","12,1","",""
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2012/04/16","2020/05/27","2003/06/26","2010/07/07","2002/08/14","2002/09/09","2005/10/04","1999/11/03","2020/12/01",""," "
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,4","-23,8","-18,2","-10,2","3,8","10,1","14,3","14,3","4,2","0,6","-9,8","-27,3","",""
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/16","1995/02/06","2017/03/11","1995/04/05","1992/05/03","2004/06/02","1992/07/04","2020/08/29","1991/09/29","2000/10/29","2018/11/22","1993/12/27",""," "
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Minimum extrême le plus élevé (°C)","2,1","3,6","3,7","10,0","20,0","19,9","23,0","21,4","20,9","14,2","9,7","5,0","",""
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","1994/02/20","2000/03/28","2012/04/16","2020/05/29","1996/06/11","2002/07/02","2009/08/18","2010/09/01","2002/10/01","1996/11/08","2020/12/01",""," "
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Minimum extrême (°C)","-36,7","-34,8","-32,6","-19,3","-4,2","-1,3","5,6","4,6","-3,6","-9,2","-22,8","-33,4","",""
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2015/01/14","2020/02/21","2014/03/03","2015/04/06","2018/05/12","2020/06/01","1991/07/01","2006/08/24","2000/09/29","2020/10/31","2013/11/30","2013/12/14",""," "
"QUEBEC JEAN LESAGE (AÉROPORT)","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","7,2","7,1","10,0","18,8","25,7","27,5","28,9","27,5","26,4","19,2","14,5","8,9","",""
