"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"RIMOUSKI","QC","Normales","Température","Moyenne quotidienne (°C)","-11,0","-9,6","-3,9","3,2","10,2","15,7","18,6","17,8","13,4","7,0","0,9","-5,8","4,7","C"
"RIMOUSKI","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,6","2,8","2,0","1,2","1,5","1,2","1,1","1,1","1,2","1,5","1,6","2,1","1,4","C"
"RIMOUSKI","QC","Normales","Température","Maximum quotidien (°C)","-7,1","-5,7","0,1","7,3","15,1","20,8","23,5","22,5","17,7","10,3","3,7","-2,9","8,8","C"
"RIMOUSKI","QC","Normales","Température","Minimum quotidien (°C)","-14,6","-13,6","-7,8","-0,9","5,2","10,7","13,7","13,1","9,1","3,6","-1,8","-9,0","0,6","C"
"RIMOUSKI","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","6,3","7,5","18,3","18,0","24,3","29,5","27,8","26,5","26,5","22,8","19,3","7,0","",""
"RIMOUSKI","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2007/01/05","2000/02/27","2012/03/21","2009/04/25","2007/05/25","2003/06/27","2005/07/19","2012/08/05","2010/09/01","2011/10/09","1996/11/09","1996/12/02",""," "
"RIMOUSKI","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-27,3","-26,3","-21,3","-11,5","0,3","7,0","10,5","11,0","4,0","-2,5","-12,5","-27,5","",""
"RIMOUSKI","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/14","1993/02/06","1992/03/01","2016/04/04","1996/05/12","2002/06/02","1992/07/03","2004/08/30","2000/09/28","2008/10/22","1995/11/29","1993/12/28",""," "
"RIMOUSKI","QC","Normales","Température","Maximum extrême (°C)","14,5","12,5","24,0","26,0","32,0","35,0","33,5","35,5","33,0","26,5","21,5","15,0","",""
"RIMOUSKI","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2009/04/25","1992/05/22","2003/06/27","2005/07/19","2012/08/05","2010/09/01","2005/10/04","1999/11/03","2010/12/13",""," "
