"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Moyenne quotidienne (°C)","-11,4","-10,2","-4,9","2,1","9,3","14,5","17,7","17,0","12,5","5,9","-0,3","-7,1","3,8","C"
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,4","2,8","2,1","1,2","1,4","1,2","1,2","1,0","1,2","1,6","1,8","2,4","1,2","C"
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Maximum quotidien (°C)","-7,3","-6,1","-0,8","6,0","14,2","19,7","22,5","21,8","17,2","9,6","2,8","-3,7","8,0","C"
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Minimum quotidien (°C)","-15,5","-14,4","-9,0","-1,9","4,2","9,4","12,8","12,2","7,9","2,2","-3,3","-10,4","-0,5","C"
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","5,2","7,9","15,8","15,7","25,2","25,8","26,3","26,3","27,0","19,2","16,8","11,3","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2009/04/25","2020/05/29","2020/06/18","2018/07/05","2010/08/31","2010/09/01","2005/10/04","2020/11/10","2020/12/01",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-27,8","-26,1","-21,5","-14,8","-0,7","4,8","9,8","8,3","2,2","-4,2","-14,5","-26,6","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1993/02/06","2017/03/11","1995/04/05","2020/05/12","1994/06/02","2004/07/09","2020/08/30","2000/09/28","2020/10/30","1995/11/29","1993/12/28",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Maximum extrême (°C)","12,1","11,2","21,1","24,4","31,1","32,3","32,7","34,2","30,7","24,1","21,2","15,4","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2012/04/16","2020/05/28","2003/06/26","2018/07/02","2012/08/05","2010/09/01","2005/10/03","2002/11/11","2020/12/01",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Maximum extrême le plus bas (°C)","-26,3","-23,3","-17,8","-11,7","3,2","5,7","10,6","10,2","6,0","-1,0","-11,1","-24,6","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2014/01/02","1993/02/06","2017/03/11","1995/04/05","1995/05/07","1994/06/02","2004/07/09","2020/08/30","1997/09/26","2008/10/22","1995/11/29","1993/12/28",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Minimum extrême le plus élevé (°C)","3,4","4,5","10,4","7,5","20,6","20,6","22,2","22,1","23,2","14,8","14,2","7,1","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","2000/02/27","2012/03/21","2018/04/25","2020/05/29","2020/06/18","2005/07/18","1998/08/09","2010/09/01","2005/10/04","2020/11/10","2020/12/01",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Minimum extrême (°C)","-31,3","-30,3","-25,8","-17,8","-4,6","-0,7","6,2","1,6","-2,0","-9,1","-18,4","-29,9","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2009/01/16","1993/02/21","2003/03/03","1995/04/05","2020/05/12","2020/06/02","2017/07/23","2002/08/31","2018/09/24","2020/10/31","1995/11/30","1993/12/29",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","5,2","7,9","15,8","15,7","25,2","25,8","26,3","26,3","27,0","19,2","16,8","11,3","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2009/04/25","2020/05/29","2020/06/18","2018/07/05","2010/08/31","2010/09/01","2005/10/04","2020/11/10","2020/12/01",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-27,8","-26,1","-21,5","-14,8","-0,7","4,8","9,8","8,3","2,2","-4,2","-14,5","-26,6","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2014/01/02","1993/02/06","2017/03/11","1995/04/05","2020/05/12","1994/06/02","2004/07/09","2020/08/30","2000/09/28","2020/10/30","1995/11/29","1993/12/28",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Maximum extrême (°C)","12,1","11,2","21,1","24,4","31,1","32,3","32,7","34,2","30,7","24,1","21,2","15,4","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2012/04/16","2020/05/28","2003/06/26","2018/07/02","2012/08/05","2010/09/01","2005/10/03","2002/11/11","2020/12/01",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-26,3","-23,3","-17,8","-11,7","3,2","5,7","10,6","10,2","6,0","-1,0","-11,1","-24,6","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2014/01/02","1993/02/06","2017/03/11","1995/04/05","1995/05/07","1994/06/02","2004/07/09","2020/08/30","1997/09/26","2008/10/22","1995/11/29","1993/12/28",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","3,4","4,5","10,4","7,5","20,6","20,6","22,2","22,1","23,2","14,8","14,2","7,1","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","2000/02/27","2012/03/21","2018/04/25","2020/05/29","2020/06/18","2005/07/18","1998/08/09","2010/09/01","2005/10/04","2020/11/10","2020/12/01",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Minimum extrême (°C)","-31,3","-30,3","-25,8","-17,8","-4,6","-0,7","6,2","1,6","-2,0","-9,1","-18,4","-29,9","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Long terme","Température","Minimum extrême (°C) (aaaa/mm/jj)","2009/01/16","1993/02/21","2003/03/03","1995/04/05","2020/05/12","2020/06/02","2017/07/23","2002/08/31","2018/09/24","2020/10/31","1995/11/30","1993/12/29",""," "
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Précipitation","Chute de pluie (mm)","","7,0","12,6","","","","","","","","45,0","20,1","",""
"RIVIERE-DU-LOUP/ST-ANTONIN","QC","Normales","Précipitation","Chute de neige (cm)","","66,0","78,3","","","","","","","","39,4","81,4","",""
