"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"SAINT MICHEL","QC","Normales","Température","Moyenne quotidienne (°C)","-11,6","-10,1","-4,6","3,5","11,4","16,9","19,3","18,7","14,1","7,1","0,6","-6,7","4,9","C"
"SAINT MICHEL","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,9","2,8","2,2","1,3","1,6","0,9","1,2","1,0","1,4","1,5","1,6","2,6","3,4","C"
"SAINT MICHEL","QC","Normales","Température","Maximum quotidien (°C)","-6,9","-5,0","0,2","7,7","16,9","22,3","25,1","24,2","19,3","11,3","4,0","-3,1","9,7","A"
"SAINT MICHEL","QC","Normales","Température","Minimum quotidien (°C)","-16,0","-14,8","-8,8","-1,3","5,8","11,1","14,1","13,2","8,8","2,8","-3,3","-10,5","0,1","A"
"SAINT MICHEL","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","5,8","4,5","11,3","20,0","23,8","27,0","27,8","27,5","26,8","20,3","14,8","6,8","",""
"SAINT MICHEL","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2012/04/16","1992/05/23","2003/06/26","1995/07/07","2002/08/14","2010/09/01","2002/10/02","1999/11/03","1999/12/05",""," "
"SAINT MICHEL","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-30,0","-26,5","-21,8","-14,0","1,0","7,0","11,0","11,0","2,0","-2,0","-14,8","-28,8","",""
"SAINT MICHEL","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1993/02/06","2003/03/03","1995/04/05","1997/05/03","1998/06/03","1992/07/03","1994/08/31","1991/09/30","1993/10/26","1993/11/25","1993/12/27",""," "
"SAINT MICHEL","QC","Normales","Température","Maximum extrême (°C)","13,5","11,2","19,5","29,0","33,4","35,9","35,0","35,0","34,0","24,5","23,5","14,5","",""
"SAINT MICHEL","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2020/02/24","2012/03/21","2009/04/25","2018/05/31","2020/06/23","1991/07/20","2012/08/05","2002/09/09","2002/10/02","1999/11/03","2020/12/01",""," "
"SAINT MICHEL","QC","Normales","Température","Maximum extrême le plus bas (°C)","-25,0","-24,0","-19,0","-10,0","4,0","8,5","15,0","14,1","4,0","1,0","-10,3","-25,5","",""
"SAINT MICHEL","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/26","1995/02/06","2003/03/03","1995/04/05","1994/05/01","2015/06/02","1999/07/10","2020/08/29","1992/09/30","2008/10/22","2018/11/22","1993/12/27",""," "
"SAINT MICHEL","QC","Normales","Température","Minimum extrême le plus élevé (°C)","2,0","1,0","5,0","11,0","20,9","21,5","22,7","22,0","21,5","16,0","10,0","2,3","",""
"SAINT MICHEL","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/05","2000/02/28","2012/03/22","2012/04/16","2020/05/29","2012/06/20","2020/07/20","2002/08/14","2010/09/02","2002/10/02","2001/11/26","2015/12/25",""," "
"SAINT MICHEL","QC","Normales","Température","Minimum extrême (°C)","-35,5","-33,0","-29,0","-18,0","-4,0","-0,6","5,0","3,5","-3,7","-10,3","-21,0","-32,0","",""
