"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"SHERBROOKE","QC","Normales","Température","Moyenne quotidienne (°C)","-10,8","-9,4","-3,6","4,4","11,6","16,1","18,8","17,9","13,6","6,9","1,1","-6,1","5,1","C"
"SHERBROOKE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,3","2,5","2,2","1,4","1,5","1,1","1,3","1,0","1,3","1,5","1,8","2,7","1,4","C"
"SHERBROOKE","QC","Normales","Température","Maximum quotidien (°C)","-5,0","-3,2","2,3","10,4","18,6","22,7","25,3","24,3","20,2","12,6","5,8","-1,4","11,1","C"
"SHERBROOKE","QC","Normales","Température","Minimum quotidien (°C)","-16,5","-15,5","-9,4","-1,7","4,7","9,6","12,3","11,3","6,8","1,3","-3,7","-10,8","-1,0","C"
"SHERBROOKE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","7,5","9,9","13,9","19,0","24,9","25,8","27,4","25,5","24,1","21,2","16,2","11,6","",""
"SHERBROOKE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2008/01/09","1994/02/20","2012/03/21","2012/04/16","2020/05/29","2012/06/21","2002/07/03","2001/08/09","2010/09/03","2014/10/15","2001/11/02","2015/12/24",""," "
"SHERBROOKE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-33,5","-29,5","-23,9","-9,9","1,1","5,2","9,9","10,0","0,2","-3,4","-16,3","-27,3","",""
"SHERBROOKE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","1993/02/06","2007/03/07","2003/04/07","2020/05/09","2020/06/01","2007/07/01","1994/08/31","1992/09/30","2013/10/29","2018/11/22","1993/12/27",""," "
"SHERBROOKE","QC","Normales","Température","Maximum extrême (°C)","13,5","18,0","25,3","29,6","33,5","33,0","33,6","32,6","34,0","27,0","22,2","17,1","",""
"SHERBROOKE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","2005/01/13","2017/02/25","2012/03/21","2009/04/27","2020/05/27","2020/06/21","2020/07/10","2002/08/14","2002/09/09","2005/10/05","2020/11/10","2020/12/01",""," "
"SHERBROOKE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-26,5","-23,7","-19,2","-3,9","3,6","9,8","15,7","13,8","2,2","0,0","-12,5","-24,1","",""
"SHERBROOKE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/14","1993/02/06","2007/03/06","2018/04/05","2016/05/16","2000/06/11","2007/07/01","1992/08/20","1992/09/30","2000/10/29","2018/11/22","1993/12/27",""," "
"SHERBROOKE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","3,1","5,5","6,9","11,1","18,5","20,0","22,4","20,4","19,9","16,3","11,2","6,7","",""
"SHERBROOKE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2008/01/08","1994/02/20","2016/03/31","2002/04/17","2020/05/29","2012/06/21","2002/07/03","2007/08/25","2018/09/03","2017/10/08","2001/11/02","2001/12/01",""," "
"SHERBROOKE","QC","Normales","Température","Minimum extrême (°C)","-41,2","-39,3","-35,3","-19,1","-5,5","-2,0","1,9","1,1","-5,6","-10,2","-24,9","-32,2","",""
"SHERBROOKE","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2004/01/15","1993/02/07","2007/03/07","2003/04/07","2004/05/08","2020/06/01","1992/07/02","2007/08/20","2000/09/29","2002/10/31","2018/11/23","2004/12/20",""," "
"SHERBROOKE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","7,5","11,0","13,9","19,5","24,9","26,4","27,4","26,9","24,5","22,3","16,4","13,1","",""
"SHERBROOKE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2008/01/09","1981/02/21","2012/03/21","1990/04/27","2020/05/29","1971/06/30","2002/07/03","1987/08/17","1965/09/22","1979/10/22","1975/11/08","1964/12/25",""," "
"SHERBROOKE","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-33,5","-29,5","-24,2","-11,7","-2,3","5,0","8,9","6,7","0,2","-5,9","-17,4","-30,7","",""
"SHERBROOKE","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","1993/02/06","1989/03/07","1964/04/01","1966/05/07","1965/06/03","1979/07/05","1965/08/31","1992/09/30","1965/10/29","1978/11/27","1980/12/25",""," "
"SHERBROOKE","QC","Long terme","Température","Maximum extrême (°C)","13,5","18,0","25,3","30,0","33,5","33,0","33,7","32,8","34,0","27,8","22,2","17,8","",""
"SHERBROOKE","QC","Long terme","Température","Maximum extrême (°C) (aaaa/mm/jj)","2005/01/13","2017/02/25","2012/03/21","1976/04/19","2020/05/27","2020/06/21","1983/07/04","1975/08/01","2002/09/09","1970/10/09","1982/11/04","1964/12/25",""," "
"SHERBROOKE","QC","Long terme","Température","Maximum extrême le plus bas (°C)","-26,6","-23,7","-19,2","-7,8","0,7","8,2","12,2","10,0","2,2","-1,7","-12,5","-24,4","",""
"SHERBROOKE","QC","Long terme","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1981/01/03","1993/02/06","2007/03/06","1982/04/07","1978/05/01","1978/06/14","1988/07/01","1976/08/30","1992/09/30","1974/10/20","2018/11/22","1968/12/26",""," "
"SHERBROOKE","QC","Long terme","Température","Minimum extrême le plus élevé (°C)","3,1","7,8","7,4","13,0","18,8","21,1","22,4","21,7","20,0","18,4","12,5","8,3","",""
"SHERBROOKE","QC","Long terme","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2008/01/08","1981/02/21","1989/03/28","1979/04/27","1987/05/30","1971/06/30","2002/07/03","1987/08/17","1965/09/21","1979/10/22","1990/11/03","1964/12/25",""," "
"SHERBROOKE","QC","Long terme","Température","Minimum extrême (°C)","-41,2","-40,0","-35,3","-21,1","-6,7","-2,2","0,5","-1,7","-7,4","-13,3","-25,5","-37,8","",""
"SHERBROOKE","QC","Long terme","Température","Minimum extrême (°C) (aaaa/mm/jj)","2004/01/15","1979/02/12","2007/03/07","1972/04/08","1966/05/03","1965/06/03","1982/07/04","1965/08/31","1980/09/29","1972/10/20","1978/11/27","1980/12/25",""," "
"SHERBROOKE","QC","Normales","Précipitation","Chute de pluie (mm)","","","31,9","","","","","","","","","","",""
"SHERBROOKE","QC","Normales","Précipitation","Chute de neige (cm)","","","49,4","","","","","","","","","","",""
"SHERBROOKE","QC","Normales","Précipitation","Précipitation (mm)","69,2","57,9","63,4","77,5","90,8","113,9","116,3","115,4","98,6","96,6","79,3","","",""
"SHERBROOKE","QC","Normales","Précipitation","Extrême quotidien de pluie (mm)","25,2","47,2","29,5","34,6","28,2","65,4","27,6","34,6","54,9","40,8","44,5","29,0","",""
"SHERBROOKE","QC","Normales","Précipitation","Extrême quotidien de pluie (mm) (aaaa/mm/jj)","1994/01/28","2016/02/24","1991/03/04","1991/04/09","1994/05/26","1994/06/18","1994/07/22","1992/08/04","1992/09/03","1991/10/06","2009/11/14","2006/12/01",""," "
"SHERBROOKE","QC","Normales","Précipitation","Extrême quotidien de neige (cm)","33,4","60,0","52,6","36,0","0,0","0,0","0,0","0,0","0,0","5,0","15,0","36,6","",""
"SHERBROOKE","QC","Normales","Précipitation","Extrême quotidien de neige (cm) (aaaa/mm/jj)","1994/01/17","2007/02/14","2011/03/06","1993/04/01","1991/05/01","1991/06/01","1991/07/01","1991/08/01","1991/09/29","1992/10/26","2009/11/27","2008/12/21",""," "
