"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"STE LUCIE","QC","Normales","Température","Moyenne quotidienne (°C)","-13,6","-11,8","-6,0","1,9","9,4","14,8","17,3","16,0","11,8","5,1","-1,4","-9,2","2,9","D"
"STE LUCIE","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,0","2,7","2,1","1,5","1,6","1,0","1,1","0,9","1,4","1,8","1,7","2,4","4,5","D"
"STE LUCIE","QC","Normales","Température","Maximum quotidien (°C)","-7,1","-5,2","0,5","7,5","16,4","21,6","23,9","22,8","18,1","10,4","2,8","-3,7","9,0","C"
"STE LUCIE","QC","Normales","Température","Minimum quotidien (°C)","-19,6","-18,5","-12,4","-4,1","2,5","7,9","10,9","9,5","5,3","0,0","-5,9","-13,8","-3,2","C"
"STE LUCIE","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","7,2","9,8","12,5","18,3","22,3","25,5","26,5","25,8","26,0","20,0","13,8","8,3","",""
"STE LUCIE","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2018/01/12","1994/02/20","2012/03/22","2004/04/30","2007/05/25","1994/06/17","2002/07/02","1999/08/01","2010/09/01","2011/10/09","1999/11/03","2001/12/06",""," "
"STE LUCIE","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-33,0","-29,3","-25,3","-15,5","-1,5","5,3","9,8","7,5","0,0","-7,0","-17,5","-29,5","",""
"STE LUCIE","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","2004/02/15","2001/03/01","1995/04/05","1995/05/07","2015/06/02","1992/07/22","2006/08/25","1992/09/30","1992/10/31","1995/11/30","1993/12/27",""," "
"STE LUCIE","QC","Normales","Température","Maximum extrême (°C)","13,5","14,5","22,5","27,0","31,0","34,0","33,0","31,0","32,5","26,5","21,0","15,0","",""
"STE LUCIE","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2000/02/27","2012/03/21","2012/04/16","1992/05/22","2003/06/24","2002/07/02","1998/08/09","1999/09/06","2005/10/05","2020/11/10","2001/12/06",""," "
"STE LUCIE","QC","Normales","Température","Maximum extrême le plus bas (°C)","-27,5","-23,5","-20,0","-10,0","1,0","6,0","12,0","12,5","1,5","-2,5","-13,0","-25,5","",""
"STE LUCIE","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","2004/01/14","1995/02/06","2003/03/03","1995/04/05","1996/05/12","2015/06/02","1992/07/04","2009/08/29","1992/09/30","1992/10/31","2018/11/22","1993/12/27",""," "
"STE LUCIE","QC","Normales","Température","Minimum extrême le plus élevé (°C)","5,0","6,5","6,0","10,5","19,5","21,0","23,5","22,0","21,0","17,0","10,5","4,5","",""
"STE LUCIE","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2018/01/12","1994/02/20","2012/03/08","2004/04/30","2020/05/29","2005/06/25","2002/07/03","1999/08/01","2010/09/01","2014/10/15","1999/11/03","2020/12/25",""," "
"STE LUCIE","QC","Normales","Température","Minimum extrême (°C)","-45,0","-41,5","-37,0","-23,5","-9,0","-4,0","-0,5","-2,5","-8,0","-15,0","-28,5","-40,0","",""
"STE LUCIE","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2009/01/26","1993/02/21","2001/03/02","2016/04/05","2008/05/02","2002/06/04","1992/07/16","2006/08/25","2000/09/29","2020/10/31","1995/11/30","2008/12/21",""," "
"STE LUCIE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","7,2","9,8","12,5","18,3","23,6","26,1","26,5","26,4","26,0","20,0","13,8","8,3","",""
"STE LUCIE","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","2018/01/12","1994/02/20","2012/03/22","1987/04/21","1978/05/28","1969/06/28","2002/07/02","1975/08/02","2010/09/01","2011/10/09","1982/11/04","2001/12/06",""," "
"STE LUCIE","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-33,0","-31,4","-25,3","-15,5","-4,2","4,5","8,3","6,1","0,0","-7,0","-18,3","-30,8","",""
"STE LUCIE","QC","Long terme","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","1966/02/19","2001/03/01","1995/04/05","1966/05/07","1980/06/09","1969/07/07","1965/08/31","1992/09/30","1992/10/31","1989/11/24","1970/12/22",""," "
