"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"SUTTON","QC","Normales","Température","Moyenne quotidienne (°C)","-8,9","-7,4","-2,0","5,8","12,8","17,4","19,7","19,0","14,9","8,5","2,0","-4,8","6,4","A"
"SUTTON","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","3,2","2,9","2,5","1,5","1,6","1,1","1,1","1,0","1,4","1,8","1,9","2,6","2,5","A"
"SUTTON","QC","Normales","Température","Maximum quotidien (°C)","-3,9","-2,3","2,8","10,8","18,6","22,9","25,3","24,3","20,3","13,1","5,9","-0,7","11,4","A"
"SUTTON","QC","Normales","Température","Minimum quotidien (°C)","-13,5","-12,3","-6,7","0,4","7,1","11,9","14,5","13,7","9,6","3,9","-2,1","-8,7","1,5","A"
"SUTTON","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","13,8","11,3","18,3","21,5","24,0","27,5","27,3","26,8","25,8","21,3","17,3","14,5","",""
"SUTTON","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1995/01/15","2018/02/21","2012/03/22","2002/04/17","2010/05/26","2005/06/28","2001/07/24","2001/08/09","2007/09/07","2014/10/15","2002/11/11","2015/12/24",""," "
"SUTTON","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-29,0","-26,3","-22,8","-12,3","0,8","7,3","11,5","10,5","1,8","-2,3","-13,3","-25,3","",""
"SUTTON","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","2004/01/15","1993/02/06","2003/03/03","1995/04/05","2010/05/09","2002/06/03","1992/07/02","1992/08/12","1992/09/30","2013/10/29","2012/11/30","2004/12/20",""," "
"SUTTON","QC","Normales","Température","Maximum extrême (°C)","17,5","19,0","26,5","30,5","33,0","33,0","33,5","33,0","32,5","27,0","23,0","19,0","",""
"SUTTON","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1995/01/15","2018/02/21","2012/03/21","2009/04/27","2020/05/27","1994/06/18","2010/07/08","2001/08/09","1999/09/04","2005/10/04","2020/11/10","2015/12/24",""," "
