"NOM_DE_L'EMPLACEMENT","PROVINCE_OU_TERRITOIRE","PÉRIODE_DE_DONNÉES","GROUPE_D'ÉLÉMENTS","ÉLÉMENT_DES_NORMALES","janv.","févr.","mars","avr.","mai","juin","juil.","août","sept.","oct.","nov.","déc.","année","code"
"TROIS-RIVIERES","QC","Normales","Température","Moyenne quotidienne (°C)","-9,9","-8,5","-3,1","4,6","12,6","18,1","20,9","19,9","15,5","8,5","1,8","-5,3","6,2","C"
"TROIS-RIVIERES","QC","Normales","Température","Écart-type de la température moyenne mensuelle (°C)","2,8","2,4","2,3","1,5","1,7","1,0","1,1","1,0","1,3","1,4","1,7","2,6","1,4","C"
"TROIS-RIVIERES","QC","Normales","Température","Maximum quotidien (°C)","-5,6","-3,9","1,2","8,8","17,3","22,5","25,1","24,1","19,8","12,2","4,9","-2,0","10,4","C"
"TROIS-RIVIERES","QC","Normales","Température","Minimum quotidien (°C)","-14,1","-13,1","-7,3","0,3","7,9","13,6","16,7","15,6","11,0","5,1","-1,3","-8,6","2,1","C"
"TROIS-RIVIERES","QC","Normales","Température","Moyenne extrême la plus élevée (°C)","4,2","5,0","8,7","17,5","24,5","27,0","28,4","26,7","26,1","20,7","13,3","8,4","",""
"TROIS-RIVIERES","QC","Normales","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2012/04/16","2010/05/25","2001/06/15","2011/07/22","2001/08/07","2010/09/01","2005/10/05","1996/11/08","2001/12/06",""," "
"TROIS-RIVIERES","QC","Normales","Température","Moyenne extrême la plus basse (°C)","-27,4","-24,4","-20,9","-11,8","2,5","9,0","13,7","12,7","4,6","-1,2","-13,4","-27,0","",""
"TROIS-RIVIERES","QC","Normales","Température","Moyenne extrême la plus basse (°C) (aaaa/mm/jj)","1994/01/26","2003/02/15","2003/03/03","1995/04/05","2020/05/08","2020/06/01","1997/07/19","1994/08/31","2000/09/28","2020/10/30","2018/11/22","1993/12/27",""," "
"TROIS-RIVIERES","QC","Normales","Température","Maximum extrême (°C)","12,0","9,3","16,1","25,4","31,5","34,0","32,9","32,3","30,8","24,8","18,9","12,8","",""
"TROIS-RIVIERES","QC","Normales","Température","Maximum extrême (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2002/04/19","2010/05/26","2001/06/15","2011/07/22","2001/08/07","2002/09/09","2005/10/05","1999/11/03","2015/12/24",""," "
"TROIS-RIVIERES","QC","Normales","Température","Maximum extrême le plus bas (°C)","-24,0","-21,7","-16,3","-7,9","4,8","11,5","16,5","15,1","8,3","2,1","-8,5","-23,4","",""
"TROIS-RIVIERES","QC","Normales","Température","Maximum extrême le plus bas (°C) (aaaa/mm/jj)","1994/01/26","1995/02/06","2017/03/11","1995/04/05","2020/05/09","2004/06/01","2016/07/09","2020/08/29","2000/09/28","2020/10/30","1995/11/30","1993/12/27",""," "
"TROIS-RIVIERES","QC","Normales","Température","Minimum extrême le plus élevé (°C)","2,2","2,0","4,3","11,5","18,4","21,6","23,8","23,0","22,2","16,5","9,7","4,4","",""
"TROIS-RIVIERES","QC","Normales","Température","Minimum extrême le plus élevé (°C) (aaaa/mm/jj)","2007/01/06","1998/02/26","2000/03/28","2012/04/16","2020/05/29","2012/06/20","2011/07/22","2001/08/06","2010/09/01","2005/10/05","2005/11/01","2001/12/06",""," "
"TROIS-RIVIERES","QC","Normales","Température","Minimum extrême (°C)","-32,3","-30,5","-26,4","-15,6","-1,3","3,8","9,0","6,7","0,9","-4,9","-18,3","-30,6","",""
"TROIS-RIVIERES","QC","Normales","Température","Minimum extrême (°C) (aaaa/mm/jj)","2009/01/16","1997/02/17","2003/03/03","1995/04/05","1995/05/07","2020/06/02","2001/07/02","2006/08/25","2000/09/28","2020/10/31","2018/11/22","1993/12/27",""," "
"TROIS-RIVIERES","QC","Long terme","Température","Moyenne extrême la plus élevée (°C)","4,2","5,0","8,7","17,5","24,5","27,0","28,4","26,7","26,1","20,7","13,3","8,4","",""
"TROIS-RIVIERES","QC","Long terme","Température","Moyenne extrême la plus élevée (°C) (aaaa/mm/jj)","1996/01/19","2000/02/27","2012/03/21","2012/04/16","2010/05/25","2001/06/15","2011/07/22","2001/08/07","2010/09/01","2005/10/05","1996/11/08","2001/12/06",""," "
"TROIS-RIVIERES","QC","Long terme","Température","Moyenne extrême la plus basse (°C)","-27,4","-24,4","-20,9","-11,8","2,5","9,0","13,7","12,7","4,6","-1,2","-13,4","-27,0","",""
