
RANG; NOM DE RÈGNE DU PAPE;	DÉBUT DU PONTIFICAT; FIN DU PONTIFICAT; NOM DE NAISSANCE; LIEU DE NAISSANCE
1	Pierre;		            33  67;	                	Bethsaïde en Galilée
2	Lin;	                68	79;	 	                Tuscie (Italie)
3	Anaclet ou Clet;	    79	92;	 	                Rome
4	Clément;                92	98;               	 	Rome
5	Évariste;               98  105;                 	Grèce
6	Alexandre Ier;          105 115;              	 	Rome
7	Sixte Ier;              115 125;             	 	Rome
8	Télésphore;             125 138;	 	            Grèce
9	Hygin;                  138	142;              	 	Grèce
10	Pie Ier;                142 155;              	 	Aquilée (Italie)
11	Anicet;                 155 166;	 	            Homs (Syrie)
12	Soter;                  166	175;	 	            Fondi (Italie)
13	Éleuthère;              175	189;     	 	        Nicopolis d'Épire (Grèce)
14	Victor Ier;             189	198;    	 	        Afrique
15	Zéphyrin;               198	217; 	 	            Rome
16	Calixte Ier;            218	222;
17	Urbain Ier;             222	230;	 	            Rome
18	Pontien;                21.VII.230	28.IX.235;	 	Rome
19	Antère;                 21.XI.235	3.I.236;	 	Grèce
20	Fabien;                 ... 236	20.I.250;	 	    Rome
21	Corneille;           	6.III.251	... VI.253;	 	Rome
22	Lucius Ier;             VII.253	5.III.254;	 	    Rome
23	Étienne Ier;            12.III.254	2.VIII.257;	 	Rome
24	Sixte II;               30.VIII.257	6.VIII.258;	 	Grèce
25	Denys;                  22.VII.259	26.XII.268;	 	patrie ignorée
26	Félix Ier;           	5.I.269	30.XII.274;	     	Rome
27	Eutychien;            	4.I.275	7.XII.283;	 	    Luni (Italie)
28	Caïus;	                17.XII.283	22.IV.296;	 	Dalmatie
29	Marcelin;            	30.VI.296	25.X.304;	 	Rome
30	Marcel Ier;           	306	16.I.309;	 	        Rome
31	Eusèbe;	                18.IV.309	17.VIII.309;	Grèce
32	Miltiade ou Melchiade;	2.VII.311	10.I.314;	 	Afrique
33	Sylvestre Ier;	        31.I.314	31.XII.335;	 	Rome
34	Marc;	                18.I.336	7.X.336;	 	Rome
35	Jules Ier;	            6.II.337	12.IV.352;	 	Rome
36	Libère;	                17.V.352	24.IX.366;	 	Rome
37	Damase Ier;	            1.X.366	11.XII.384;	 	    Rome
38	Sirice;	                15.XII.384	26.XI.399;	 	Rome
39	Anastase Ier;         	27.XI.399	19.XII.401;	 	Rome
40	Innocent Ier;	        22.XII.401	12.III.417;	 	Albano Laziale (Italie)
41	Zosime;	                18.III.417	26.XII.418;	 	Grèce
42	Boniface Ier;        	28.XII.418	4.IX.422;	    Rome
43	Célestin Ier;	        10.IX.422	27.VII.432;	 	Campanie (Italie)
